name,row,anio,entidad_universitaria,nivel_invest,hombres,mujeres,personas_nb,total
311 Investigadores-145 - 2018 - CUAAD,145,2018,CUAAD,Candidato,2,4,,6
311 Investigadores-146 - 2019 - CUAAD,146,2019,CUAAD,Candidato,4,7,,11
311 Investigadores-147 - 2020 - CUAAD,147,2020,CUAAD,Candidato,6,6,,12
311 Investigadores-148 - 2021 - CUAAD,148,2021,CUAAD,Candidato,6,7,,13
311 Investigadores-149 - 2022 - CUAAD,149,2022,CUAAD,Candidato,9,9,,18
311 Investigadores-150 - 2023 - CUAAD,150,2023,CUAAD,Candidato,11,14,,25
311 Investigadores-151 - 2018 - CUAAD,151,2018,CUAAD,Nivel I,8,10,,18
311 Investigadores-152 - 2019 - CUAAD,152,2019,CUAAD,Nivel I,11,9,,20
311 Investigadores-153 - 2020 - CUAAD,153,2020,CUAAD,Nivel I,11,10,,21
311 Investigadores-154 - 2021 - CUAAD,154,2021,CUAAD,Nivel I,11,10,,21
311 Investigadores-155 - 2022 - CUAAD,155,2022,CUAAD,Nivel I,11,11,,22
311 Investigadores-156 - 2023 - CUAAD,156,2023,CUAAD,Nivel I,12,11,,23
311 Investigadores-157 - 2018 - CUAAD,157,2018,CUAAD,Nivel II,2,2,,4
311 Investigadores-158 - 2019 - CUAAD,158,2019,CUAAD,Nivel II,3,4,,7
311 Investigadores-159 - 2020 - CUAAD,159,2020,CUAAD,Nivel II,3,5,,8
311 Investigadores-160 - 2021 - CUAAD,160,2021,CUAAD,Nivel II,3,5,,8
311 Investigadores-161 - 2022 - CUAAD,161,2022,CUAAD,Nivel II,3,5,,8
311 Investigadores-162 - 2023 - CUAAD,162,2023,CUAAD,Nivel II,4,7,,11
311 Investigadores-163 - 2018 - CUAAD,163,2018,CUAAD,Nivel III,0,0,,0
311 Investigadores-164 - 2019 - CUAAD,164,2019,CUAAD,Nivel III,0,0,,0
311 Investigadores-165 - 2020 - CUAAD,165,2020,CUAAD,Nivel III,0,0,,0
311 Investigadores-166 - 2021 - CUAAD,166,2021,CUAAD,Nivel III,0,0,,0
311 Investigadores-167 - 2022 - CUAAD,167,2022,CUAAD,Nivel III,0,0,,0
311 Investigadores-168 - 2023 - CUAAD,168,2023,CUAAD,Nivel III,0,0,,0
311 Investigadores-169 - 2018 - CUAAD,169,2018,CUAAD,Emérito,0,0,,0
311 Investigadores-170 - 2019 - CUAAD,170,2019,CUAAD,Emérito,0,0,,0
311 Investigadores-171 - 2020 - CUAAD,171,2020,CUAAD,Emérito,0,0,,0
