name,row,anio,entidad_universitaria,pa_categoria_t,pa_categoria,pa_nivel,hombres,mujeres,personas_nb,total
712-2024-156 PA DTC Titular B de CUSUR,156,2024,CUSUR,DTC,Titular,B,3,1,,4
712-2024-157 PA DTC Titular B de CUCOSTA,157,2024,CUCOSTA,DTC,Titular,B,0,0,,0
712-2024-158 PA DTC Titular B de CUCOSTASUR,158,2024,CUCOSTASUR,DTC,Titular,B,0,0,,0
712-2024-159 PA DTC Titular B de CUVALLES,159,2024,CUVALLES,DTC,Titular,B,3,0,,3
712-2024-160 PA DTC Titular B de CUNORTE,160,2024,CUNORTE,DTC,Titular,B,0,0,,0
712-2024-161 PA DTC Titular B de CULAGOS,161,2024,CULAGOS,DTC,Titular,B,2,0,,2
712-2024-162 PA DTC Titular B de CUTONALÁ,162,2024,CUTONALÁ,DTC,Titular,B,3,2,,5
712-2024-163 PA DTC Titular B de CUTLAJOMULCO,163,2024,CUTLAJOMULCO,DTC,Titular,B,0,0,,0
712-2024-164 PA DTC Titular B de CUGUADALAJARA,164,2024,CUGUADALAJARA,DTC,Titular,B,0,2,,2
712-2024-165 PA DTC Titular B de CUCHAPALA,165,2024,CUCHAPALA,DTC,Titular,B,0,0,,0
712-2024-166 PA DTC Titular B de CUTLAQUEPAQUE,166,2024,CUTLAQUEPAQUE,DTC,Titular,B,0,0,,0
712-2024-167 PA DTC Titular B de SEMS,167,2024,SEMS,DTC,Titular,B,26,23,,49
712-2024-168 PA DTC Titular B de AG,168,2024,AG,DTC,Titular,B,0,0,,0
712-2024-169 PA DTC Titular C de CUCEA,169,2024,CUCEA,DTC,Titular,C,14,1,,15
712-2024-170 PA DTC Titular C de CUCEI,170,2024,CUCEI,DTC,Titular,C,4,5,,9
712-2024-171 PA DTC Titular C de CUCSH,171,2024,CUCSH,DTC,Titular,C,9,9,,18
712-2024-172 PA DTC Titular C de CUCS,172,2024,CUCS,DTC,Titular,C,18,5,,23
712-2024-173 PA DTC Titular C de CUAAD,173,2024,CUAAD,DTC,Titular,C,2,1,,3
712-2024-174 PA DTC Titular C de CUCBA,174,2024,CUCBA,DTC,Titular,C,6,2,,8
712-2024-175 PA DTC Titular C de CUALTOS,175,2024,CUALTOS,DTC,Titular,C,1,1,,2
712-2024-176 PA DTC Titular C de CUCIÉNEGA,176,2024,CUCIÉNEGA,DTC,Titular,C,1,1,,2
712-2024-177 PA DTC Titular C de CUSUR,177,2024,CUSUR,DTC,Titular,C,2,1,,3
712-2024-178 PA DTC Titular C de CUCOSTA,178,2024,CUCOSTA,DTC,Titular,C,0,2,,2
712-2024-179 PA DTC Titular C de CUCOSTASUR,179,2024,CUCOSTASUR,DTC,Titular,C,4,1,,5
712-2024-180 PA DTC Titular C de CUVALLES,180,2024,CUVALLES,DTC,Titular,C,1,1,,2
712-2024-181 PA DTC Titular C de CUNORTE,181,2024,CUNORTE,DTC,Titular,C,2,1,,3
712-2024-182 PA DTC Titular C de CULAGOS,182,2024,CULAGOS,DTC,Titular,C,0,0,,0
712-2024-183 PA DTC Titular C de CUTONALÁ,183,2024,CUTONALÁ,DTC,Titular,C,1,3,,4
712-2024-184 PA DTC Titular C de CUTLAJOMULCO,184,2024,CUTLAJOMULCO,DTC,Titular,C,0,0,,0
712-2024-185 PA DTC Titular C de CUGUADALAJARA,185,2024,CUGUADALAJARA,DTC,Titular,C,1,2,,3
712-2024-186 PA DTC Titular C de CUCHAPALA,186,2024,CUCHAPALA,DTC,Titular,C,0,0,,0
712-2024-187 PA DTC Titular C de CUTLAQUEPAQUE,187,2024,CUTLAQUEPAQUE,DTC,Titular,C,0,0,,0
712-2024-188 PA DTC Titular C de SEMS,188,2024,SEMS,DTC,Titular,C,25,26,,51
712-2024-189 PA DTC Titular C de AG,189,2024,AG,DTC,Titular,C,0,0,,0
712-2024-190 PA DMT Asistente A de CUCEA,190,2024,CUCEA,DMT,Asistente,A,0,0,,0
712-2024-191 PA DMT Asistente A de CUCEI,191,2024,CUCEI,DMT,Asistente,A,0,0,,0
712-2024-192 PA DMT Asistente A de CUCSH,192,2024,CUCSH,DMT,Asistente,A,0,0,,0
712-2024-193 PA DMT Asistente A de CUCS,193,2024,CUCS,DMT,Asistente,A,0,0,,0
712-2024-194 PA DMT Asistente A de CUAAD,194,2024,CUAAD,DMT,Asistente,A,0,0,,0
712-2024-195 PA DMT Asistente A de CUCBA,195,2024,CUCBA,DMT,Asistente,A,0,0,,0
712-2024-196 PA DMT Asistente A de CUALTOS,196,2024,CUALTOS,DMT,Asistente,A,0,0,,0
712-2024-197 PA DMT Asistente A de CUCIÉNEGA,197,2024,CUCIÉNEGA,DMT,Asistente,A,0,0,,0
712-2024-198 PA DMT Asistente A de CUSUR,198,2024,CUSUR,DMT,Asistente,A,0,0,,0
712-2024-199 PA DMT Asistente A de CUCOSTA,199,2024,CUCOSTA,DMT,Asistente,A,0,0,,0
712-2024-200 PA DMT Asistente A de CUCOSTASUR,200,2024,CUCOSTASUR,DMT,Asistente,A,0,0,,0
712-2024-201 PA DMT Asistente A de CUVALLES,201,2024,CUVALLES,DMT,Asistente,A,0,0,,0
712-2024-202 PA DMT Asistente A de CUNORTE,202,2024,CUNORTE,DMT,Asistente,A,0,0,,0
712-2024-203 PA DMT Asistente A de CULAGOS,203,2024,CULAGOS,DMT,Asistente,A,0,0,,0
712-2024-204 PA DMT Asistente A de CUTONALÁ,204,2024,CUTONALÁ,DMT,Asistente,A,0,0,,0
712-2024-205 PA DMT Asistente A de CUTLAJOMULCO,205,2024,CUTLAJOMULCO,DMT,Asistente,A,0,0,,0
712-2024-206 PA DMT Asistente A de CUGUADALAJARA,206,2024,CUGUADALAJARA,DMT,Asistente,A,0,0,,0
712-2024-207 PA DMT Asistente A de CUCHAPALA,207,2024,CUCHAPALA,DMT,Asistente,A,0,0,,0
712-2024-208 PA DMT Asistente A de CUTLAQUEPAQUE,208,2024,CUTLAQUEPAQUE,DMT,Asistente,A,0,0,,0
712-2024-209 PA DMT Asistente A de SEMS,209,2024,SEMS,DMT,Asistente,A,0,0,,0
712-2024-210 PA DMT Asistente A de AG,210,2024,AG,DMT,Asistente,A,0,0,,0
712-2024-211 PA DMT Asistente B de CUCEA,211,2024,CUCEA,DMT,Asistente,B,0,0,,0
712-2024-212 PA DMT Asistente B de CUCEI,212,2024,CUCEI,DMT,Asistente,B,0,0,,0
712-2024-213 PA DMT Asistente B de CUCSH,213,2024,CUCSH,DMT,Asistente,B,0,0,,0
712-2024-214 PA DMT Asistente B de CUCS,214,2024,CUCS,DMT,Asistente,B,0,0,,0
712-2024-215 PA DMT Asistente B de CUAAD,215,2024,CUAAD,DMT,Asistente,B,0,0,,0
712-2024-216 PA DMT Asistente B de CUCBA,216,2024,CUCBA,DMT,Asistente,B,0,0,,0
712-2024-217 PA DMT Asistente B de CUALTOS,217,2024,CUALTOS,DMT,Asistente,B,0,0,,0
712-2024-218 PA DMT Asistente B de CUCIÉNEGA,218,2024,CUCIÉNEGA,DMT,Asistente,B,0,0,,0
712-2024-219 PA DMT Asistente B de CUSUR,219,2024,CUSUR,DMT,Asistente,B,0,0,,0
712-2024-220 PA DMT Asistente B de CUCOSTA,220,2024,CUCOSTA,DMT,Asistente,B,0,0,,0
712-2024-221 PA DMT Asistente B de CUCOSTASUR,221,2024,CUCOSTASUR,DMT,Asistente,B,0,0,,0
712-2024-222 PA DMT Asistente B de CUVALLES,222,2024,CUVALLES,DMT,Asistente,B,0,0,,0
712-2024-223 PA DMT Asistente B de CUNORTE,223,2024,CUNORTE,DMT,Asistente,B,0,0,,0
712-2024-224 PA DMT Asistente B de CULAGOS,224,2024,CULAGOS,DMT,Asistente,B,0,0,,0
712-2024-225 PA DMT Asistente B de CUTONALÁ,225,2024,CUTONALÁ,DMT,Asistente,B,0,0,,0
712-2024-226 PA DMT Asistente B de CUTLAJOMULCO,226,2024,CUTLAJOMULCO,DMT,Asistente,B,0,0,,0
712-2024-227 PA DMT Asistente B de CUGUADALAJARA,227,2024,CUGUADALAJARA,DMT,Asistente,B,0,0,,0
712-2024-228 PA DMT Asistente B de CUCHAPALA,228,2024,CUCHAPALA,DMT,Asistente,B,0,0,,0
712-2024-229 PA DMT Asistente B de CUTLAQUEPAQUE,229,2024,CUTLAQUEPAQUE,DMT,Asistente,B,0,0,,0
712-2024-230 PA DMT Asistente B de SEMS,230,2024,SEMS,DMT,Asistente,B,2,0,,2
