name,row,ciclo,clave_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t,
222 2023-2024 14MMS0634U BGC,222,2023-2024,14MMS0634U,BGC,Escolarizada,615,755,,1370,9,12,,21,3,4,,7,
223 2023-2024 14MMS0704Z BGC,223,2023-2024,14MMS0704Z,BGC,Escolarizada,90,94,,184,0,0,,0,0,0,,0,
224 2023-2024 14MMS0700C BGC,224,2023-2024,14MMS0700C,BGC,Escolarizada,131,155,,286,1,0,,1,0,0,,0,
225 2023-2024 14MMS0654H BGAI,225,2023-2024,14MMS0654H,BGAI,Escolarizada,74,75,,149,0,0,,0,0,0,,0,
226 2023-2024 14MMS0654H BGC,226,2023-2024,14MMS0654H,BGC,Escolarizada,349,490,,839,8,8,,16,1,2,,3,
227 2023-2024 14MMS0654H BGC,227,2023-2024,14MMS0654H,BGC,Escolarizada,323,514,,837,5,3,,8,1,0,,1,
228 2023-2024 14MMS0754G BGC,228,2023-2024,14MMS0754G,BGC,Escolarizada,58,66,,124,1,2,,3,0,0,,0,
229 2023-2024 14MMS0754G BGC,229,2023-2024,14MMS0754G,BGC,Escolarizada,59,64,,123,4,3,,7,1,0,,1,
230 2023-2024 14MMS0709U BGC,230,2023-2024,14MMS0709U,BGC,Escolarizada,107,119,,226,0,0,,0,0,0,,0,
231 2023-2024 14MMS0709U BGC,231,2023-2024,14MMS0709U,BGC,Escolarizada,113,111,,224,0,0,,0,0,0,,0,
232 2023-2024 14MMS0627K BGAI,232,2023-2024,14MMS0627K,BGAI,Escolarizada,32,32,,64,0,0,,0,0,0,,0,
233 2023-2024 14MMS0627K BGC,233,2023-2024,14MMS0627K,BGC,Escolarizada,159,182,,341,0,1,,1,0,1,,1,
234 2023-2024 14MMS0627K BGC,234,2023-2024,14MMS0627K,BGC,Escolarizada,142,198,,340,0,0,,0,0,0,,0,
235 2023-2024 14MMS0710J BGC,235,2023-2024,14MMS0710J,BGC,Escolarizada,86,111,,197,0,0,,0,0,0,,0,
236 2023-2024 14MMS0710J BGC,236,2023-2024,14MMS0710J,BGC,Escolarizada,93,102,,195,0,0,,0,0,0,,0,
237 2023-2024 14MMS0832U BGC,237,2023-2024,14MMS0832U,BGC,Escolarizada,69,78,,147,1,0,,1,6,9,,15,
238 2023-2024 14MMS0832U BGC,238,2023-2024,14MMS0832U,BGC,Escolarizada,71,75,,146,0,0,,0,9,7,,16,
239 2023-2024 14MMS0629I BGC,239,2023-2024,14MMS0629I,BGC,Escolarizada,421,555,,976,8,7,,15,1,2,,3,
240 2023-2024 14MMS0629I BGC,240,2023-2024,14MMS0629I,BGC,Escolarizada,423,551,,974,6,7,,13,1,2,,3,
241 2023-2024 14MMS0769I BGC,241,2023-2024,14MMS0769I,BGC,Escolarizada,103,139,,242,4,7,,11,0,0,,0,
242 2023-2024 14MMS0759B BGAI,242,2023-2024,14MMS0759B,BGAI,Escolarizada,18,12,,30,0,0,,0,0,0,,0,
243 2023-2024 14MMS0759B BGC,243,2023-2024,14MMS0759B,BGC,Escolarizada,797,878,,1675,12,9,,21,4,2,,6,
244 2023-2024 14MMS0759B BGC,244,2023-2024,14MMS0759B,BGC,Escolarizada,754,921,,1675,5,9,,14,5,3,,8,
245 2023-2024 14MMS0771X BGC,245,2023-2024,14MMS0771X,BGC,Escolarizada,94,114,,208,0,0,,0,0,0,,0,
246 2023-2024 14MMS0771X BGC,246,2023-2024,14MMS0771X,BGC,Escolarizada,99,108,,207,1,0,,1,0,0,,0,
247 2023-2024 14MMS0655G BGC,247,2023-2024,14MMS0655G,BGC,Escolarizada,332,442,,774,12,17,,29,1,5,,6,
248 2023-2024 14MMS0655G BGC,248,2023-2024,14MMS0655G,BGC,Escolarizada,365,409,,774,6,13,,19,1,1,,2,
249 2023-2024 14MMS0766L BGC,249,2023-2024,14MMS0766L,BGC,Escolarizada,31,51,,82,0,0,,0,0,0,,0,
250 2023-2024 14MMS0690M BGC,250,2023-2024,14MMS0690M,BGC,Escolarizada,49,59,,108,0,0,,0,0,0,,0,
251 2023-2024 14MMS0689X BGC,251,2023-2024,14MMS0689X,BGC,Escolarizada,49,68,,117,0,0,,0,0,0,,0,
252 2023-2024 14MMS0620R BGC,252,2023-2024,14MMS0620R,BGC,Escolarizada,113,149,,262,0,0,,0,0,0,,0,
253 2023-2024 14MMS0620R BGC,253,2023-2024,14MMS0620R,BGC,Escolarizada,97,163,,260,0,0,,0,0,0,,0,
254 2023-2024 14MMS0770Y BGC,254,2023-2024,14MMS0770Y,BGC,Escolarizada,21,42,,63,0,1,,1,0,0,,0,
255 2023-2024 14MMS0740D BGC,255,2023-2024,14MMS0740D,BGC,Escolarizada,37,56,,93,0,1,,1,0,0,,0,
256 2023-2024 14MMS0768J BGC,256,2023-2024,14MMS0768J,BGC,Escolarizada,118,128,,246,1,6,,7,0,0,,0,
257 2023-2024 14MMS0711I BGC,257,2023-2024,14MMS0711I,BGC,Escolarizada,87,106,,193,0,0,,0,0,0,,0,
258 2023-2024 14MMS0730X BGC,258,2023-2024,14MMS0730X,BGC,Escolarizada,79,81,,160,2,1,,3,0,0,,0,
259 2023-2024 14MMS0656F BGC,259,2023-2024,14MMS0656F,BGC,Escolarizada,94,122,,216,0,2,,2,0,0,,0,
260 2023-2024 14MMS0656F BGC,260,2023-2024,14MMS0656F,BGC,Escolarizada,111,105,,216,3,0,,3,0,0,,0,
261 2023-2024 14MMS0670Z BGC,261,2023-2024,14MMS0670Z,BGC,Escolarizada,77,108,,185,0,3,,3,0,0,,0,
262 2023-2024 14MMS0713G BGC,262,2023-2024,14MMS0713G,BGC,Escolarizada,124,144,,268,1,1,,2,0,0,,0,
263 2023-2024 14MMS0713G BGC,263,2023-2024,14MMS0713G,BGC,Escolarizada,118,150,,268,3,0,,3,0,0,,0,
264 2023-2024 14MMS0763O BGC,264,2023-2024,14MMS0763O,BGC,Escolarizada,49,76,,125,0,3,,3,0,0,,0,
265 2023-2024 14MMS0632W BGC,265,2023-2024,14MMS0632W,BGC,Escolarizada,551,620,,1171,9,15,,24,0,1,,1,
266 2023-2024 14MMS0632W BGC,266,2023-2024,14MMS0632W,BGC,Escolarizada,521,649,,1170,9,15,,24,1,2,,3,
267 2023-2024 14MMS0715E BGC,267,2023-2024,14MMS0715E,BGC,Escolarizada,106,151,,257,4,1,,5,0,0,,0,
268 2023-2024 14MMS0716D BGC,268,2023-2024,14MMS0716D,BGC,Escolarizada,131,171,,302,0,0,,0,0,0,,0,
269 2023-2024 14MMS0743A BGC,269,2023-2024,14MMS0743A,BGC,Escolarizada,84,54,,138,0,0,,0,0,0,,0,
270 2023-2024 14MMS0719A BGC,270,2023-2024,14MMS0719A,BGC,Escolarizada,52,51,,103,0,0,,0,0,0,,0,
271 2023-2024 14MMS0719A BGC,271,2023-2024,14MMS0719A,BGC,Escolarizada,47,55,,102,0,0,,0,0,0,,0,
272 2023-2024 14MMS0720Q BGC,272,2023-2024,14MMS0720Q,BGC,Escolarizada,79,89,,168,0,0,,0,0,0,,0,
273 2023-2024 14MMS0720Q BGC,273,2023-2024,14MMS0720Q,BGC,Escolarizada,71,95,,166,1,0,,1,0,0,,0,
274 2023-2024 14MMS0660S BGC,274,2023-2024,14MMS0660S,BGC,Escolarizada,135,172,,307,0,0,,0,0,0,,0,
275 2023-2024 14MMS0660S BGC,275,2023-2024,14MMS0660S,BGC,Escolarizada,148,159,,307,0,0,,0,0,0,,0,
276 2023-2024 14MMS0742B BGC,276,2023-2024,14MMS0742B,BGC,Escolarizada,35,41,,76,0,0,,0,0,0,,0,
277 2023-2024 14MMS0727J BGC,277,2023-2024,14MMS0727J,BGC,Escolarizada,64,68,,132,0,0,,0,0,0,,0,
278 2023-2024 14MMS0744Z BGC,278,2023-2024,14MMS0744Z,BGC,Escolarizada,233,237,,470,6,7,,13,2,0,,2,
279 2023-2024 14MMS0744Z BGC,279,2023-2024,14MMS0744Z,BGC,Escolarizada,236,234,,470,4,7,,11,1,1,,2,
280 2023-2024 14MMS0721P BGAI,280,2023-2024,14MMS0721P,BGAI,Escolarizada,10,6,,16,0,0,,0,0,0,,0,
281 2023-2024 14MMS0721P BGC,281,2023-2024,14MMS0721P,BGC,Escolarizada,149,260,,409,3,2,,5,1,1,,2,
282 2023-2024 14MMS0721P BGC,282,2023-2024,14MMS0721P,BGC,Escolarizada,176,232,,408,4,2,,6,0,0,,0,
283 2023-2024 14MMS0657E BGAI,283,2023-2024,14MMS0657E,BGAI,Escolarizada,466,460,,926,7,1,,8,1,1,,2,
284 2023-2024 14MMS0657E BGC,284,2023-2024,14MMS0657E,BGC,Escolarizada,730,896,,1626,11,13,,24,2,2,,4,
285 2023-2024 14MMS0657E BGC,285,2023-2024,14MMS0657E,BGC,Escolarizada,749,876,,1625,7,13,,20,0,2,,2,
286 2023-2024 14MMS0817B BGC,286,2023-2024,14MMS0817B,BGC,Escolarizada,140,125,,265,2,1,,3,2,0,,2,
287 2023-2024 14MMS0817B BGC,287,2023-2024,14MMS0817B,BGC,Escolarizada,140,124,,264,2,0,,2,0,0,,0,
288 2023-2024 14MMS0773V BGC,288,2023-2024,14MMS0773V,BGC,Escolarizada,544,518,,1062,4,8,,12,1,4,,5,
289 2023-2024 14MMS0773V BGC,289,2023-2024,14MMS0773V,BGC,Escolarizada,552,509,,1061,2,5,,7,1,2,,3,
290 2023-2024 14MMS0772W BGC,290,2023-2024,14MMS0772W,BGC,Escolarizada,55,49,,104,2,1,,3,0,0,,0,
291 2023-2024 14MMS0679Q BGC,291,2023-2024,14MMS0679Q,BGC,Escolarizada,159,194,,353,1,1,,2,0,0,,0,
292 2023-2024 14MMS0723N BGC,292,2023-2024,14MMS0723N,BGC,Escolarizada,73,86,,159,2,0,,2,0,0,,0,
293 2023-2024 14MMS0633V BGC,293,2023-2024,14MMS0633V,BGC,Escolarizada,134,167,,301,4,1,,5,2,0,,2,
294 2023-2024 14MMS0633V BGC,294,2023-2024,14MMS0633V,BGC,Escolarizada,131,169,,300,5,6,,11,1,1,,2,
295 2023-2024 14MMS0669J BGC,295,2023-2024,14MMS0669J,BGC,Escolarizada,61,62,,123,1,1,,2,0,0,,0,
296 2023-2024 14MMS0669J BGC,296,2023-2024,14MMS0669J,BGC,Escolarizada,50,71,,121,2,0,,2,0,0,,0,
297 2023-2024 14MMS0672X BGC,297,2023-2024,14MMS0672X,BGC,Escolarizada,32,37,,69,0,0,,0,0,0,,0,
298 2023-2024 14MMS0712H BGC,298,2023-2024,14MMS0712H,BGC,Escolarizada,112,147,,259,1,0,,1,0,0,,0,
299 2023-2024 14MMS0712H BGC,299,2023-2024,14MMS0712H,BGC,Escolarizada,113,145,,258,4,3,,7,1,1,,2,
300 2023-2024 14MMS0767K BGC,300,2023-2024,14MMS0767K,BGC,Escolarizada,177,193,,370,1,2,,3,0,1,,1,
301 2023-2024 14MMS0767K BGC,301,2023-2024,14MMS0767K,BGC,Escolarizada,159,210,,369,1,3,,4,1,0,,1,
302 2023-2024 14MMS0708V BGC,302,2023-2024,14MMS0708V,BGC,Escolarizada,170,169,,339,6,0,,6,0,0,,0,
303 2023-2024 14MMS0708V BGC,303,2023-2024,14MMS0708V,BGC,Escolarizada,150,187,,337,3,1,,4,0,0,,0,
304 2023-2024 14MMS0746Y BGC,304,2023-2024,14MMS0746Y,BGC,Escolarizada,90,139,,229,1,1,,2,0,0,,0,
305 2023-2024 14MMS0724M BGC,305,2023-2024,14MMS0724M,BGC,Escolarizada,56,56,,112,0,0,,0,0,0,,0,
306 2023-2024 14MMS0724M BGC,306,2023-2024,14MMS0724M,BGC,Escolarizada,47,63,,110,0,0,,0,0,0,,0,
307 2023-2024 14MMS0755F BGC,307,2023-2024,14MMS0755F,BGC,Escolarizada,43,46,,89,1,0,,1,0,0,,0,
308 2023-2024 14MMS0755F BGC,308,2023-2024,14MMS0755F,BGC,Escolarizada,44,44,,88,0,0,,0,0,0,,0,
309 2023-2024 14MMS0745Z BGC,309,2023-2024,14MMS0745Z,BGC,Escolarizada,48,47,,95,1,0,,1,0,0,,0,
310 2023-2024 14MMS0659C BGC,310,2023-2024,14MMS0659C,BGC,Escolarizada,152,188,,340,0,5,,5,0,1,,1,
311 2023-2024 14MMS0659C BGC,311,2023-2024,14MMS0659C,BGC,Escolarizada,164,176,,340,2,3,,5,0,0,,0,
312 2023-2024 14MMS0725L BGC,312,2023-2024,14MMS0725L,BGC,Escolarizada,48,89,,137,2,1,,3,0,0,,0,
313 2023-2024 14MMS0658D BGC,313,2023-2024,14MMS0658D,BGC,Escolarizada,320,412,,732,7,5,,12,1,0,,1,
314 2023-2024 14MMS0658D BGC,314,2023-2024,14MMS0658D,BGC,Escolarizada,322,408,,730,4,8,,12,0,1,,1,
315 2023-2024 14MMS0638Q BGC,315,2023-2024,14MMS0638Q,BGC,Escolarizada,184,249,,433,0,2,,2,0,0,,0,
316 2023-2024 14MMS0638Q BGC,316,2023-2024,14MMS0638Q,BGC,Escolarizada,196,236,,432,2,0,,2,0,0,,0,
317 2023-2024 14MMS0749V BGAI,317,2023-2024,14MMS0749V,BGAI,No escolarizada,81,110,,191,3,6,,9,1,3,,4,
318 2023-2024 14MMS0775T 2021300033,318,2023-2024,14MMS0775T,2021300033,Escolarizada,271,133,,404,13,3,,16,0,0,,0,
319 2023-2024 14MMS0774U 2092100004,319,2023-2024,14MMS0774U,2092100004,Escolarizada,171,474,,645,6,6,,12,1,3,,4,
320 2023-2024 14MMS0777R 2092100004,320,2023-2024,14MMS0777R,2092100004,Escolarizada,97,266,,363,0,0,,0,0,1,,1,
321 2023-2024 14MMS0650L 3095300007,321,2023-2024,14MMS0650L,3095300007,Escolarizada,94,167,,261,0,7,,7,0,1,,1,
322 2023-2024 14MMS0650L 3095300007,322,2023-2024,14MMS0650L,3095300007,Escolarizada,90,170,,260,3,2,,5,1,1,,2,
323 2023-2024 14MMS0650L 3093100005,323,2023-2024,14MMS0650L,3093100005,Escolarizada,88,139,,227,1,1,,2,0,0,,0,
324 2023-2024 14MMS0650L 3093100005,324,2023-2024,14MMS0650L,3093100005,Escolarizada,106,120,,226,2,1,,3,0,1,,1,
325 2023-2024 14MMS0752I 3073200001,325,2023-2024,14MMS0752I,3073200001,Escolarizada,174,165,,339,3,1,,4,1,1,,2,
326 2023-2024 14MMS0752I 3073200001,326,2023-2024,14MMS0752I,3073200001,Escolarizada,160,178,,338,1,7,,8,0,1,,1,
327 2023-2024 14MMS0752I 3061300004,327,2023-2024,14MMS0752I,3061300004,Escolarizada,219,123,,342,5,1,,6,1,0,,1,
328 2023-2024 14MMS0752I 3061300004,328,2023-2024,14MMS0752I,3061300004,Escolarizada,234,108,,342,4,1,,5,0,1,,1,
329 2023-2024 14MMS0776S 3073200001,329,2023-2024,14MMS0776S,3073200001,Escolarizada,198,145,,343,7,4,,11,0,0,,0,
330 2023-2024 14MMS0776S 3073200001,330,2023-2024,14MMS0776S,3073200001,Escolarizada,192,151,,343,5,0,,5,0,0,,0,
331 2023-2024 14MMS0776S 3071700002,331,2023-2024,14MMS0776S,3071700002,Escolarizada,70,99,,169,0,2,,2,0,1,,1,
332 2023-2024 14MMS0776S 2072100002,332,2023-2024,14MMS0776S,2072100002,Escolarizada,141,300,,441,1,4,,5,0,2,,2,
333 2023-2024 14MMS0776S 2072100002,333,2023-2024,14MMS0776S,2072100002,Escolarizada,142,299,,441,1,5,,6,0,0,,0,
334 2023-2024 14MMS0776S 2071200002,334,2023-2024,14MMS0776S,2071200002,Escolarizada,199,8,,207,6,0,,6,0,0,,0,
335 2023-2024 14MMS0776S 2071200002,335,2023-2024,14MMS0776S,2071200002,Escolarizada,192,14,,206,6,0,,6,0,0,,0,
336 2023-2024 14MMS0776S 2072400003,336,2023-2024,14MMS0776S,2072400003,Escolarizada,100,25,,125,3,1,,4,1,1,,2,
337 2023-2024 14MMS0776S 2071100002,337,2023-2024,14MMS0776S,2071100002,Escolarizada,349,27,,376,6,0,,6,2,0,,2,
338 2023-2024 14MMS0776S 2071100002,338,2023-2024,14MMS0776S,2071100002,Escolarizada,357,19,,376,3,1,,4,2,0,,2,
339 2023-2024 14MMS0776S 2072300001,339,2023-2024,14MMS0776S,2072300001,Escolarizada,63,29,,92,1,0,,1,0,0,,0,
340 2023-2024 14MMS0776S 2071400003,340,2023-2024,14MMS0776S,2071400003,Escolarizada,128,124,,252,2,1,,3,0,1,,1,
341 2023-2024 14MMS0776S 2071400003,341,2023-2024,14MMS0776S,2071400003,Escolarizada,119,133,,252,0,5,,5,1,0,,1,
342 2023-2024 14MMS0776S 2062200013,342,2023-2024,14MMS0776S,2062200013,Escolarizada,395,136,,531,8,2,,10,1,0,,1,
343 2023-2024 14MMS0776S 2062200013,343,2023-2024,14MMS0776S,2062200013,Escolarizada,409,121,,530,10,3,,13,3,0,,3,
344 2023-2024 14MMS0799C 3042000001,344,2023-2024,14MMS0799C,3042000001,Escolarizada,117,178,,295,1,1,,2,0,0,,0,
345 2023-2024 14MMS0799C 3042000001,345,2023-2024,14MMS0799C,3042000001,Escolarizada,131,163,,294,2,2,,4,0,0,,0,
346 2023-2024 14MMS0799C 3041100005,346,2023-2024,14MMS0799C,3041100005,Escolarizada,97,112,,209,4,1,,5,0,1,,1,
347 2023-2024 14MMS0799C 3041100005,347,2023-2024,14MMS0799C,3041100005,Escolarizada,92,116,,208,1,2,,3,0,0,,0,
348 2023-2024 14MMS0799C 2051200001,348,2023-2024,14MMS0799C,2051200001,Escolarizada,113,154,,267,2,4,,6,0,0,,0,
349 2023-2024 14MMS0799C 2051200001,349,2023-2024,14MMS0799C,2051200001,Escolarizada,110,157,,267,0,1,,1,0,0,,0,
350 2023-2024 14MMS0799C 2071200011,350,2023-2024,14MMS0799C,2071200011,Escolarizada,188,56,,244,3,1,,4,0,0,,0,
351 2023-2024 14MMS0799C 2071200002,351,2023-2024,14MMS0799C,2071200002,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
352 2023-2024 14MMS0799C 2071200002,352,2023-2024,14MMS0799C,2071200002,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
353 2023-2024 14MMS0799C 2062200007,353,2023-2024,14MMS0799C,2062200007,Escolarizada,286,99,,385,8,1,,9,1,0,,1,
354 2023-2024 14MMS0799C 2062200007,354,2023-2024,14MMS0799C,2062200007,Escolarizada,290,94,,384,7,1,,8,0,0,,0,
355 2023-2024 14MMS0799C 2072000001,355,2023-2024,14MMS0799C,2072000001,Escolarizada,73,28,,101,3,0,,3,0,0,,0,
356 2023-2024 14MMS0799C 2072000001,356,2023-2024,14MMS0799C,2072000001,Escolarizada,69,31,,100,1,1,,2,0,0,,0,
357 2023-2024 14MMS0799C 2071100002,357,2023-2024,14MMS0799C,2071100002,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
358 2023-2024 14MMS0799C 2071100002,358,2023-2024,14MMS0799C,2071100002,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
359 2023-2024 14MMS0799C 2062100003,359,2023-2024,14MMS0799C,2062100003,Escolarizada,138,75,,213,2,0,,2,1,0,,1,
360 2023-2024 14MMS0645Z 3042100001,360,2023-2024,14MMS0645Z,3042100001,Escolarizada,121,151,,272,2,1,,3,0,0,,0,
361 2023-2024 14MMS0645Z 3042100001,361,2023-2024,14MMS0645Z,3042100001,Escolarizada,117,153,,270,2,2,,4,0,0,,0,
362 2023-2024 14MMS0645Z 3021700001,362,2023-2024,14MMS0645Z,3021700001,Escolarizada,81,87,,168,0,1,,1,0,0,,0,
363 2023-2024 14MMS0645Z 3021700001,363,2023-2024,14MMS0645Z,3021700001,Escolarizada,72,95,,167,0,2,,2,0,0,,0,
364 2023-2024 14MMS0614G 3101600003,364,2023-2024,14MMS0614G,3101600003,Escolarizada,118,259,,377,3,3,,6,0,1,,1,
365 2023-2024 14MMS0614G 3101600003,365,2023-2024,14MMS0614G,3101600003,Escolarizada,116,259,,375,5,4,,9,0,1,,1,
366 2023-2024 14MMS0830W 3081100024,366,2023-2024,14MMS0830W,3081100024,Escolarizada,53,16,,69,0,0,,0,53,16,,69,
367 2023-2024 14MMS0830W 3021600010,367,2023-2024,14MMS0830W,3021600010,Escolarizada,12,66,,78,0,0,,0,12,66,,78,
368 2023-2024 14MMS0718B 3042000001,368,2023-2024,14MMS0718B,3042000001,Escolarizada,38,39,,77,0,0,,0,0,0,,0,
369 2023-2024 14MMS0718B 3101600003,369,2023-2024,14MMS0718B,3101600003,Escolarizada,79,106,,185,0,0,,0,0,0,,0,
370 2023-2024 14MMS0651K 3101600003,370,2023-2024,14MMS0651K,3101600003,Escolarizada,53,75,,128,1,1,,2,0,1,,1,
371 2023-2024 14MMS0651K 3101600003,371,2023-2024,14MMS0651K,3101600003,Escolarizada,54,74,,128,2,1,,3,0,0,,0,
372 2023-2024 14MMS0751J 3081100024,372,2023-2024,14MMS0751J,3081100024,Escolarizada,59,9,,68,0,0,,0,59,9,,68,
373 2023-2024 14MMS0751J 3021600010,373,2023-2024,14MMS0751J,3021600010,Escolarizada,6,64,,70,0,0,,0,6,63,,69,
374 2023-2024 14MMS0717C 3042000001,374,2023-2024,14MMS0717C,3042000001,Escolarizada,37,36,,73,0,0,,0,0,0,,0,
375 2023-2024 14MMS0717C 3101600003,375,2023-2024,14MMS0717C,3101600003,Escolarizada,29,66,,95,0,1,,1,0,0,,0,
376 2023-2024 14MMS0748W 3081100003,376,2023-2024,14MMS0748W,3081100003,Escolarizada,52,39,,91,0,0,,0,0,0,,0,
377 2023-2024 14MMS0748W 3081100003,377,2023-2024,14MMS0748W,3081100003,Escolarizada,53,37,,90,1,2,,3,0,0,,0,
378 2023-2024 14MMS0616E 3081100003,378,2023-2024,14MMS0616E,3081100003,Escolarizada,114,114,,228,0,0,,0,0,0,,0,
379 2023-2024 14MMS0616E 3081100003,379,2023-2024,14MMS0616E,3081100003,Escolarizada,115,113,,228,2,3,,5,0,0,,0,
380 2023-2024 14MMS0616E 2092100004,380,2023-2024,14MMS0616E,2092100004,Escolarizada,130,311,,441,2,5,,7,0,0,,0,
381 2023-2024 14MMS0616E 2092100004,381,2023-2024,14MMS0616E,2092100004,Escolarizada,134,307,,441,3,3,,6,0,1,,1,
382 2023-2024 14MMS0616E 2071100002,382,2023-2024,14MMS0616E,2071100002,Escolarizada,127,8,,135,2,0,,2,0,0,,0,
383 2023-2024 14MMS0616E 2071100002,383,2023-2024,14MMS0616E,2071100002,Escolarizada,128,7,,135,0,1,,1,0,0,,0,
384 2023-2024 14MMS0616E 2071400001,384,2023-2024,14MMS0616E,2071400001,Escolarizada,94,137,,231,1,1,,2,0,0,,0,
385 2023-2024 14MMS0616E 2071400001,385,2023-2024,14MMS0616E,2071400001,Escolarizada,87,144,,231,2,2,,4,0,0,,0,
386 2023-2024 14MMS0699D 3081100003,386,2023-2024,14MMS0699D,3081100003,Escolarizada,63,66,,129,2,0,,2,0,0,,0,
387 2023-2024 14MMS0632W 3042100026,387,2023-2024,14MMS0632W,3042100026,Escolarizada,33,45,,78,1,0,,1,0,0,,0,
388 2023-2024 14MMS0632W 3042100026,388,2023-2024,14MMS0632W,3042100026,Escolarizada,40,37,,77,0,0,,0,0,0,,0,
389 2023-2024 14MMS0660S 3042000001,389,2023-2024,14MMS0660S,3042000001,Escolarizada,28,33,,61,0,0,,0,0,0,,0,
390 2023-2024 14MMS0660S 3042000001,390,2023-2024,14MMS0660S,3042000001,Escolarizada,30,29,,59,1,0,,1,0,0,,0,
391 2023-2024 14MMS0660S 3101600003,391,2023-2024,14MMS0660S,3101600003,Escolarizada,24,42,,66,0,0,,0,0,0,,0,
392 2023-2024 14MMS0660S 3101600003,392,2023-2024,14MMS0660S,3101600003,Escolarizada,18,47,,65,0,0,,0,0,0,,0,
393 2023-2024 14MMS0659C 3042100026,393,2023-2024,14MMS0659C,3042100026,Escolarizada,63,46,,109,2,0,,2,1,0,,1,
394 2023-2024 14USU0002Z 5011100022,394,2023-2024,14USU0002Z,5011100022,Escolarizada,23,54,,77,0,0,,0,23,54,,77,
395 2023-2024 14USU0002Z 5011500002,395,2023-2024,14USU0002Z,5011500002,Escolarizada,77,234,,311,6,5,,11,29,33,,62,
396 2023-2024 14USU0002Z 5031100007,396,2023-2024,14USU0002Z,5031100007,Escolarizada,87,319,,406,2,13,,15,0,3,,3,
397 2023-2024 14USU0002Z 5031200004,397,2023-2024,14USU0002Z,5031200004,Escolarizada,7,10,,17,0,0,,0,0,2,,2,
398 2023-2024 14USU0002Z 5033100003,398,2023-2024,14USU0002Z,5033100003,Escolarizada,249,342,,591,2,10,,12,5,5,,10,
399 2023-2024 14USU0002Z 5041100021,399,2023-2024,14USU0002Z,5041100021,Escolarizada,61,37,,98,1,1,,2,10,4,,14,
400 2023-2024 14USU0002Z 5041400032,400,2023-2024,14USU0002Z,5041400032,Escolarizada,64,92,,156,3,4,,7,5,3,,8,
401 2023-2024 14USU0002Z 5042000002,401,2023-2024,14USU0002Z,5042000002,Escolarizada,138,220,,358,5,9,,14,8,8,,16,
402 2023-2024 14USU0002Z 5062100034,402,2023-2024,14USU0002Z,5062100034,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
403 2023-2024 14USU0002Z 5062200073,403,2023-2024,14USU0002Z,5062200073,Escolarizada,117,28,,145,3,1,,4,7,3,,10,
404 2023-2024 14USU0002Z 5071300009,404,2023-2024,14USU0002Z,5071300009,Escolarizada,182,24,,206,5,2,,7,6,0,,6,
405 2023-2024 14USU0002Z 5092100006,405,2023-2024,14USU0002Z,5092100006,Escolarizada,254,781,,1035,5,18,,23,13,48,,61,
406 2023-2024 14USU0002Z 5094200006,406,2023-2024,14USU0002Z,5094200006,Escolarizada,55,141,,196,2,8,,10,0,6,,6,
407 2023-2024 14USU0002Z 5101600013,407,2023-2024,14USU0002Z,5101600013,Escolarizada,10,36,,46,0,2,,2,0,3,,3,
408 2023-2024 14USU0003Y 5011500002,408,2023-2024,14USU0003Y,5011500002,Escolarizada,93,300,,393,1,6,,7,0,1,,1,
409 2023-2024 14USU0003Y 5031100007,409,2023-2024,14USU0003Y,5031100007,Escolarizada,110,412,,522,8,20,,28,0,1,,1,
410 2023-2024 14USU0003Y 5031500008,410,2023-2024,14USU0003Y,5031500008,Escolarizada,8,76,,84,0,2,,2,0,0,,0,
411 2023-2024 14USU0003Y 5031500010,411,2023-2024,14USU0003Y,5031500010,Escolarizada,23,258,,281,1,7,,8,0,1,,1,
412 2023-2024 14USU0003Y 5033100003,412,2023-2024,14USU0003Y,5033100003,Escolarizada,174,316,,490,6,10,,16,0,3,,3,
413 2023-2024 14USU0003Y 5041100021,413,2023-2024,14USU0003Y,5041100021,Escolarizada,81,81,,162,1,3,,4,1,1,,2,
414 2023-2024 14USU0003Y 5041400032,414,2023-2024,14USU0003Y,5041400032,Escolarizada,170,232,,402,7,10,,17,0,1,,1,
415 2023-2024 14USU0003Y 5042000002,415,2023-2024,14USU0003Y,5042000002,Escolarizada,158,254,,412,4,9,,13,0,3,,3,
416 2023-2024 14USU0003Y 5051100015,416,2023-2024,14USU0003Y,5051100015,Escolarizada,50,106,,156,2,6,,8,0,0,,0,
417 2023-2024 14USU0003Y 5052200021,417,2023-2024,14USU0003Y,5052200021,Escolarizada,32,44,,76,1,1,,2,0,0,,0,
418 2023-2024 14USU0003Y 5062200055,418,2023-2024,14USU0003Y,5062200055,Escolarizada,0,0,,0,0,0,,0,0,0,,0,
419 2023-2024 14USU0003Y 5062200073,419,2023-2024,14USU0003Y,5062200073,Escolarizada,242,24,,266,5,0,,5,4,0,,4,
