row,clave_programa,programa_educativo,nivel_educativo,campo_clasificacion,campo_amplio,campo_especifico,campo_detallado,
174,5042200024,Licenciatura en Desarrollo Turístico Sustentable,Licenciatura,042200,040000,042000,042200,
175,5042300027,Licenciatura en Administración Gubernamental y Políticas Públicas,Licenciatura,042300,040000,042000,042300,
176,5042300027,Licenciatura en Administración Gubernamental y Políticas Públicas,Licenciatura,042300,040000,042000,042300,
177,5042400005,Ing. en Administración Industrial,Licenciatura,042400,040000,042000,042400,
178,5042400005,Ingeniería en Administración Industrial,Licenciatura,042400,040000,042000,042400,
179,5051100003,Licenciatura en Biología,Licenciatura,051100,050000,051000,051100,
180,5051100003,Licenciatura en Biología,Licenciatura,051100,050000,051000,051100,
181,5051100006,Licenciatura en Biología Marina,Licenciatura,051100,050000,051000,051100,
182,5051100006,Licenciatura en Biología Marina,Licenciatura,051100,050000,051000,051100,
183,5051100015,Ing. en Sistemas Biológicos,Licenciatura,051100,050000,051000,051100,
184,5051100015,Ingeniería en Sistemas Biológicos,Licenciatura,051100,050000,051000,051100,
185,5051200024,Ing. en Biotecnología,Licenciatura,051200,050000,051000,051200,
186,5051200024,Ingeniería en Biotecnología,Licenciatura,051200,050000,051000,051200,
187,5051200024,Ingeniería en Biotecnología (dual),Licenciatura,051200,050000,051000,051200,
188,5051300005,Ing. en Recursos Naturales y Agropecuarios,Licenciatura,051300,050000,051000,051300,
189,5051300005,Ingeniería en Recursos Naturales y Agropecuarios,Licenciatura,051300,050000,051000,051300,
190,5051300020,Licenciatura en Gestión y Economía Ambiental,Licenciatura,051300,050000,051000,051300,
191,5051300020,Licenciatura en Gestión y Economía Ambiental,Licenciatura,051300,050000,051000,051300,
192,5052100005,Licenciatura en Física,Licenciatura,052100,050000,052000,052100,
193,5052100005,Licenciatura en Física,Licenciatura,052100,050000,052000,052100,
194,5052200002,Ing. en Nanotecnología,Licenciatura,052200,050000,052000,052200,
195,5052200002,Ingeniería en Nanotecnología,Licenciatura,052200,050000,052000,052200,
196,5052200007,Licenciatura en Química,Licenciatura,052200,050000,052000,052200,
197,5052200007,Licenciatura en Química,Licenciatura,052200,050000,052000,052200,
198,5052200017,Licenciatura en Ciencia de Materiales,Licenciatura,052200,050000,052000,052200,
199,5052200017,Licenciatura en Ciencia de Materiales,Licenciatura,052200,050000,052000,052200,
200,5052200021,Ing. en Diseño Molecular de Materiales,Licenciatura,052200,050000,052000,052200,
201,5052200021,Ingeniería en Diseño Molecular de Materiales,Licenciatura,052200,050000,052000,052200,
202,5052300015,Licenciatura en Geografía,Licenciatura,052300,050000,052000,052300,
203,5052300015,Licenciatura en Geografía,Licenciatura,052300,050000,052000,052300,
204,5053100004,Licenciatura en Matemáticas,Licenciatura,053100,050000,053000,053100,
205,5053100004,Licenciatura en Matemáticas,Licenciatura,053100,050000,053000,053100,
206,5061000002,Ing. en Computación,Licenciatura,061000,060000,061000,061000,
207,5061000002,Ingeniería en Computación,Licenciatura,061000,060000,061000,061000,
208,5061000015,Licenciatura en Desarrollo de Sistemas Web,Licenciatura,061000,060000,061000,061000,
209,5061000015,Licenciatura en Desarrollo de Sistemas Web,Licenciatura,061000,060000,061000,061000,
210,5061100001,Ing. en Ciencias Computacionales,Licenciatura,061100,060000,061000,061100,
211,5061100001,Ingeniería en Ciencias Computacionales,Licenciatura,061100,060000,061000,061100,
212,5062100009,Ing. en Comunicaciones y Electrónica,Licenciatura,062100,060000,062000,062100,
213,5062100009,Ingeniería en Comunicaciones y Electrónica,Licenciatura,062100,060000,062000,062100,
214,5062100033,Ing. en Teleinformática,Licenciatura,062100,060000,062000,062100,
215,5062100033,Ingeniería en Teleinformática,Licenciatura,062100,060000,062000,062100,
216,5062100034,Ing. en Telemática,Licenciatura,062100,060000,062000,062100,
217,5062100034,Ingeniería en Telemática,Licenciatura,062100,060000,062000,062100,
218,5062200055,Ing. Informática,Licenciatura,062200,060000,062000,062200,
219,5062200055,Ingeniería Informática,Licenciatura,062200,060000,062000,062200,
220,5062200073,Ing. en Electrónica y Computación,Licenciatura,062200,060000,062000,062200,
221,5062200073,Ingeniería en Electrónica y Computación,Licenciatura,062200,060000,062000,062200,
222,5062200082,Licenciatura en Tecnologías de la Información,Licenciatura,062200,060000,062000,062200,
223,5062200082,Licenciatura en Tecnologías de la Información,Licenciatura,062200,060000,062000,062200,
224,5062200105,Licenciatura en Tecnologías e Información,Licenciatura,062200,060000,062000,062200,
225,5062200105,Licenciatura en Tecnologías e Información,Licenciatura,062200,060000,062000,062200,
226,5071000020,Ing. Biomédica,Licenciatura,071000,070000,071000,071000,
227,5071000020,Ingeniería Biomédica,Licenciatura,071000,070000,071000,071000,
228,5071000047,Ing. en Videojuegos,Licenciatura,071000,070000,071000,071000,
229,5071000047,Ingeniería en Videojuegos,Licenciatura,071000,070000,071000,071000,
230,5071100005,Ing. en Diseño Industrial,Licenciatura,071100,070000,071000,071100,
231,5071100005,Ingeniería en Diseño Industrial,Licenciatura,071100,070000,071000,071100,
232,5071100005,Ingeniería en Diseño Industrial (dual),Licenciatura,071100,070000,071000,071100,
233,5071100019,Licenciatura en Diseño Industrial,Licenciatura,071100,070000,071000,071100,
234,5071100019,Licenciatura en Diseño Industrial,Licenciatura,071100,070000,071000,071100,
235,5071200009,Ing. en Energía,Licenciatura,071200,070000,071000,071200,
236,5071200009,Ingeniería en Energía,Licenciatura,071200,070000,071000,071200,
237,5071200034,Ing. Fotónica,Licenciatura,071200,070000,071000,071200,
238,5071200034,Ingeniería Fotónica,Licenciatura,071200,070000,071000,071200,
239,5071300009,Ing. Mecánica Eléctrica,Licenciatura,071300,070000,071000,071300,
240,5071300009,Ingeniería Mecánica Eléctrica,Licenciatura,071300,070000,071000,071300,
241,5071300014,Ing. Mecatrónica,Licenciatura,071300,070000,071000,071300,
242,5071300014,Ingeniería Mecatrónica,Licenciatura,071300,070000,071000,071300,
243,5071300014,Ingeniería Mecatrónica (cuatrimestre) ,Licenciatura,071300,070000,071000,071300,
244,5071300014,Ingeniería Mecatrónica (semestre),Licenciatura,071300,070000,071000,071300,
245,5071300082,Ing. Robótica,Licenciatura,071300,070000,071000,071300,
246,5071300082,Ingeniería Robótica,Licenciatura,071300,070000,071000,071300,
247,5071300091,Ing. en Instrumentación Electrónica y Nanosensores,Licenciatura,071300,070000,071000,071300,
248,5071300091,Ingeniería en Instrumentación Electrónica y Nanosensores,Licenciatura,071300,070000,071000,071300,
249,5071300147,Ingeniería Mecatrónica DUAL,Licenciatura,071300,070000,071000,071300,
250,5071400008,Ing. Bioquímica,Licenciatura,071400,070000,071000,071400,
251,5071400008,Ingeniería Bioquímica,Licenciatura,071400,070000,071000,071400,
252,5071400015,Ing. Química,Licenciatura,071400,070000,071000,071400,
253,5071400015,Ingeniería Química,Licenciatura,071400,070000,071000,071400,
254,5071700019,Ing. Industrial,Licenciatura,071700,070000,071000,071700,
255,5071700019,Ingeniería Industrial,Licenciatura,071700,070000,071000,071700,
256,5072100002,Ing. Agroindustrial,Licenciatura,072100,070000,072000,072100,
257,5072100002,Ingeniería Agroindustrial,Licenciatura,072100,070000,072000,072100,
258,5072100018,Licenciatura en Ciencia de los Alimentos,Licenciatura,072100,070000,072000,072100,
259,5072100018,Licenciatura en Ciencia de los Alimentos,Licenciatura,072100,070000,072000,072100,
260,5072100033,Licenciatura en Ing. en Alimentos y Biotecnología,Licenciatura,072100,070000,072000,072100,
261,5072100033,Licenciatura en Ingeniería en Alimentos y Biotecnología,Licenciatura,072100,070000,072000,072100,
262,5072100049,Licenciatura en Ciencias y Artes Culinarias,Licenciatura,072100,070000,072000,072100,
263,5072100049,Licenciatura en Ciencias y Artes Culinarias,Licenciatura,072100,070000,072000,072100,
264,5072400001,Ing. en Geofísica,Licenciatura,072400,070000,072000,072400,
265,5072400001,Ingeniería en Geofísica,Licenciatura,072400,070000,072000,072400,
266,5073100009,Licenciatura en Arquitectura,Licenciatura,073100,070000,073000,073100,
267,5073100009,Licenciatura en Arquitectura,Licenciatura,073100,070000,073000,073100,
268,5073100024,Licenciatura en Urbanística y Medio Ambiente,Licenciatura,073100,070000,073000,073100,
269,5073100024,Licenciatura en Urbanística y Medio Ambiente,Licenciatura,073100,070000,073000,073100,
270,5073200005,Ing. Civil,Licenciatura,073200,070000,073000,073200,
271,5073200005,Ingeniería Civil (cuatrimestre),Licenciatura,073200,070000,073000,073200,
272,5073200005,Ingeniería Civil (semestre),Licenciatura,073200,070000,073000,073200,
273,5073200005,Ingeniería Civil,Licenciatura,073200,070000,073000,073200,
274,5073200010,Ing. en Obras y Servicios,Licenciatura,073200,070000,073000,073200,
275,5073200010,Ingeniería en Obras y Servicios,Licenciatura,073200,070000,073000,073200,
276,5073200035,Ing. en Topografía Geomática,Licenciatura,073200,070000,073000,073200,
277,5073200035,Ingeniería en Topografía Geomática,Licenciatura,073200,070000,073000,073200,
278,5081100010,Licenciatura en Agrobiotecnología,Licenciatura,081100,080000,081000,081100,
