name,row,ciclo,clave_plantel,cve_programa,modalidad,egresados_h,egresados_m,egresados_nb,egresados_t,e_discapacidad_h,e_discapacidad_m,e_discapacidad_nb,e_discapacidad_t,e_habla_indigena_h,e_habla_indigena_m,e_habla_indigena_nb,e_habla_indigena_t,titulados_h,titulados_m,titulados_nb,titulados_t,ti_discapacidad_h,ti_discapacidad_m,ti_discapacidad_nb,ti_discapacidad_t,ti_habla_indigena_h,ti_habla_indigena_m,ti_habla_indigena_nb,ti_habla_indigena_t
67 2021-2022 14MMS0645Z BGAI,67,2021-2022,14MMS0645Z,BGAI,Escolarizada,25,34,,59,,,,1,,,,0,,,,,,,,,,,,
68 2021-2022 14MMS0645Z BGC,68,2021-2022,14MMS0645Z,BGC,Escolarizada,247,396,,643,,,,14,,,,0,,,,,,,,,,,,
69 2021-2022 14MMS0645Z BGC,69,2021-2022,14MMS0645Z,BGC,Escolarizada,233,410,,643,,,,13,,,,0,,,,,,,,,,,,
70 2021-2022 14MMS0623O BGAI,70,2021-2022,14MMS0623O,BGAI,Escolarizada,0,0,,0,,,,0,,,,0,,,,,,,,,,,,
71 2021-2022 14MMS0623O BGC,71,2021-2022,14MMS0623O,BGC,Escolarizada,291,414,,705,,,,13,,,,0,,,,,,,,,,,,
72 2021-2022 14MMS0623O BGC,72,2021-2022,14MMS0623O,BGC,Escolarizada,257,445,,702,,,,8,,,,0,,,,,,,,,,,,
73 2021-2022 14MMS0614G BGC,73,2021-2022,14MMS0614G,BGC,Escolarizada,402,646,,1048,,,,23,,,,1,,,,,,,,,,,,
74 2021-2022 14MMS0614G BGC,74,2021-2022,14MMS0614G,BGC,Escolarizada,396,650,,1046,,,,26,,,,1,,,,,,,,,,,,
75 2021-2022 14MMS0643B BGAI,75,2021-2022,14MMS0643B,BGAI,Escolarizada,36,24,,60,,,,0,,,,0,,,,,,,,,,,,
76 2021-2022 14MMS0643B BGC,76,2021-2022,14MMS0643B,BGC,Escolarizada,109,132,,241,,,,2,,,,0,,,,,,,,,,,,
77 2021-2022 14MMS0643B BGC,77,2021-2022,14MMS0643B,BGC,Escolarizada,99,140,,239,,,,5,,,,0,,,,,,,,,,,,
78 2021-2022 14MMS0705Y BGAI,78,2021-2022,14MMS0705Y,BGAI,Escolarizada,0,0,,0,,,,0,,,,0,,,,,,,,,,,,
79 2021-2022 14MMS0705Y BGC,79,2021-2022,14MMS0705Y,BGC,Escolarizada,74,94,,168,,,,6,,,,0,,,,,,,,,,,,
80 2021-2022 14MMS0705Y BGC,80,2021-2022,14MMS0705Y,BGC,Escolarizada,71,96,,167,,,,4,,,,0,,,,,,,,,,,,
81 2021-2022 14MMS0617D BGC,81,2021-2022,14MMS0617D,BGC,Escolarizada,98,147,,245,,,,5,,,,1,,,,,,,,,,,,
82 2021-2022 14MMS0617D BGC,82,2021-2022,14MMS0617D,BGC,Escolarizada,86,158,,244,,,,3,,,,0,,,,,,,,,,,,
83 2021-2022 14MMS0662Q BGC,83,2021-2022,14MMS0662Q,BGC,Escolarizada,64,93,,157,,,,0,,,,0,,,,,,,,,,,,
84 2021-2022 14MMS0663P BGC,84,2021-2022,14MMS0663P,BGC,Escolarizada,13,19,,32,,,,0,,,,0,,,,,,,,,,,,
85 2021-2022 14MMS0663P BGC,85,2021-2022,14MMS0663P,BGC,Escolarizada,14,18,,32,,,,1,,,,0,,,,,,,,,,,,
86 2021-2022 14MMS0664O BGC,86,2021-2022,14MMS0664O,BGC,Escolarizada,21,35,,56,,,,0,,,,0,,,,,,,,,,,,
87 2021-2022 14MMS0665N BGC,87,2021-2022,14MMS0665N,BGC,Escolarizada,27,36,,63,,,,0,,,,0,,,,,,,,,,,,
88 2021-2022 14MMS0665N BGC,88,2021-2022,14MMS0665N,BGC,Escolarizada,33,29,,62,,,,0,,,,0,,,,,,,,,,,,
89 2021-2022 14MMS0619B BGAI,89,2021-2022,14MMS0619B,BGAI,Escolarizada,12,14,,26,,,,0,,,,0,,,,,,,,,,,,
90 2021-2022 14MMS0619B BGC,90,2021-2022,14MMS0619B,BGC,Escolarizada,107,179,,286,,,,3,,,,1,,,,,,,,,,,,
91 2021-2022 14MMS0619B BGC,91,2021-2022,14MMS0619B,BGC,Escolarizada,112,171,,283,,,,6,,,,0,,,,,,,,,,,,
92 2021-2022 14MMS0666M BGC,92,2021-2022,14MMS0666M,BGC,Escolarizada,28,38,,66,,,,0,,,,0,,,,,,,,,,,,
93 2021-2022 14MMS0666M BGC,93,2021-2022,14MMS0666M,BGC,Escolarizada,24,42,,66,,,,4,,,,0,,,,,,,,,,,,
94 2021-2022 14MMS0667L BGC,94,2021-2022,14MMS0667L,BGC,Escolarizada,22,52,,74,,,,0,,,,0,,,,,,,,,,,,
95 2021-2022 14MMS0667L BGC,95,2021-2022,14MMS0667L,BGC,Escolarizada,14,59,,73,,,,0,,,,0,,,,,,,,,,,,
96 2021-2022 14MMS0728I BGC,96,2021-2022,14MMS0728I,BGC,Escolarizada,25,36,,61,,,,1,,,,0,,,,,,,,,,,,
97 2021-2022 14MMS0750K BGC,97,2021-2022,14MMS0750K,BGC,Escolarizada,47,73,,120,,,,12,,,,0,,,,,,,,,,,,
98 2021-2022 14MMS0618C BGAI,98,2021-2022,14MMS0618C,BGAI,Escolarizada,6,7,,13,,,,0,,,,0,,,,,,,,,,,,
99 2021-2022 14MMS0618C BGC,99,2021-2022,14MMS0618C,BGC,Escolarizada,144,221,,365,,,,10,,,,0,,,,,,,,,,,,
100 2021-2022 14MMS0618C BGC,100,2021-2022,14MMS0618C,BGC,Escolarizada,141,222,,363,,,,5,,,,0,,,,,,,,,,,,
101 2021-2022 14MMS0747X BGC,101,2021-2022,14MMS0747X,BGC,Escolarizada,58,71,,129,,,,0,,,,0,,,,,,,,,,,,
102 2021-2022 14MMS0668K BGC,102,2021-2022,14MMS0668K,BGC,Escolarizada,58,68,,126,,,,3,,,,0,,,,,,,,,,,,
103 2021-2022 14MMS0668K BGC,103,2021-2022,14MMS0668K,BGC,Escolarizada,41,85,,126,,,,2,,,,0,,,,,,,,,,,,
104 2021-2022 14MMS0621Q BGC,104,2021-2022,14MMS0621Q,BGC,Escolarizada,154,206,,360,,,,2,,,,1,,,,,,,,,,,,
105 2021-2022 14MMS0621Q BGC,105,2021-2022,14MMS0621Q,BGC,Escolarizada,142,215,,357,,,,6,,,,0,,,,,,,,,,,,
106 2021-2022 14MMS0635T BGC,106,2021-2022,14MMS0635T,BGC,Escolarizada,137,206,,343,,,,8,,,,0,,,,,,,,,,,,
107 2021-2022 14MMS0635T BGC,107,2021-2022,14MMS0635T,BGC,Escolarizada,157,186,,343,,,,10,,,,0,,,,,,,,,,,,
