name,row,anio,entidad_universitaria,programa_educativo_vigente,total
422 PE que requieren PP-952 - 2019 - CUCEI,952,2019,CUCEI,Licenciatura en Ciencia de Materiales,1
422 PE que requieren PP-953 - 2019 - CUCEI,953,2019,CUCEI,Licenciatura en Física,1
422 PE que requieren PP-954 - 2019 - CUCEI,954,2019,CUCEI,Licenciatura en Matemáticas,1
422 PE que requieren PP-955 - 2019 - CUCEI,955,2019,CUCEI,Licenciatura en Química,1
422 PE que requieren PP-956 - 2019 - CUCEI,956,2019,CUCEI,Licenciatura en Químico Farmacéutico Biólogo,1
422 PE que requieren PP-957 - 2019 - CUCEI,957,2019,CUCEI,Ingeniería Biomédica,1
422 PE que requieren PP-958 - 2019 - CUCEI,958,2019,CUCEI,Ingeniería Robótica,1
422 PE que requieren PP-959 - 2019 - CUCS,959,2019,CUCS,Licenciatura en Cirujano Dentista ,1
422 PE que requieren PP-960 - 2019 - CUCS,960,2019,CUCS,Licenciatura en Psicología,1
422 PE que requieren PP-961 - 2019 - CUCS,961,2019,CUCS,Licenciatura en Cultura Física y Deportes,1
422 PE que requieren PP-962 - 2019 - CUCS,962,2019,CUCS,"Médico, Cirujano y Partero",1
422 PE que requieren PP-963 - 2019 - CUCS,963,2019,CUCS,Licenciatura en Nutrición,1
422 PE que requieren PP-964 - 2019 - CUCS,964,2019,CUCS,Licenciatura en Enfermería,1
422 PE que requieren PP-965 - 2019 - CUCS,965,2019,CUCS,Licenciatura en Enfermería en la modalidad a distancia,1
422 PE que requieren PP-966 - 2019 - CUCS,966,2019,CUCS,Licenciatura en Ciencias Forenses,1
422 PE que requieren PP-967 - 2019 - CUCS,967,2019,CUCS,Licenciatura en Podología,1
422 PE que requieren PP-968 - 2019 - CUCS,968,2019,CUCS,Nivelación de la Licenciatura en Enfermería en la modalidad a distancia,1
422 PE que requieren PP-969 - 2019 - CUCS,969,2019,CUCS,Técnico Superior en Enfermería,1
422 PE que requieren PP-970 - 2019 - CUCS,970,2019,CUCS,Técnico Superior Universitario en Radiología e Imagen,1
422 PE que requieren PP-971 - 2019 - CUCS,971,2019,CUCS,Técnico Superior Universitario en Prótesis Dental,1
422 PE que requieren PP-972 - 2019 - CUCS,972,2019,CUCS,"Técnico Superior Universitario en Emergencias, Seguridad Laboral y Rescates",1
422 PE que requieren PP-973 - 2019 - CUCS,973,2019,CUCS,Técnico Superior Universitario en Terapia Física,1
422 PE que requieren PP-974 - 2019 - CUCS,974,2019,CUCS,Técnico Superior Universitario en Terapia Respiratoria,1
