name,row,anio,entidad_universitaria,pa_categoria_t,pa_categoria,pa_nivel,academicos_h,academicos_m,academicos_nb,academicos_t
712-2023-173 PA DMT Asistente A de CUCEI,173,2023,CUCEI,DMT,Asistente,A,0,0,,0
712-2023-174 PA DMT Asistente A de CUCSH,174,2023,CUCSH,DMT,Asistente,A,0,0,,0
712-2023-175 PA DMT Asistente A de CUCS,175,2023,CUCS,DMT,Asistente,A,0,0,,0
712-2023-176 PA DMT Asistente A de CUAAD,176,2023,CUAAD,DMT,Asistente,A,0,0,,0
712-2023-177 PA DMT Asistente A de CUCBA,177,2023,CUCBA,DMT,Asistente,A,0,0,,0
712-2023-178 PA DMT Asistente A de CUALTOS,178,2023,CUALTOS,DMT,Asistente,A,0,0,,0
712-2023-179 PA DMT Asistente A de CUCIÉNEGA,179,2023,CUCIÉNEGA,DMT,Asistente,A,0,0,,0
712-2023-180 PA DMT Asistente A de CUSUR,180,2023,CUSUR,DMT,Asistente,A,0,0,,0
712-2023-181 PA DMT Asistente A de CUCOSTA,181,2023,CUCOSTA,DMT,Asistente,A,0,0,,0
712-2023-182 PA DMT Asistente A de CUCOSTASUR,182,2023,CUCOSTASUR,DMT,Asistente,A,0,0,,0
712-2023-183 PA DMT Asistente A de CUVALLES,183,2023,CUVALLES,DMT,Asistente,A,0,0,,0
712-2023-184 PA DMT Asistente A de CUNORTE,184,2023,CUNORTE,DMT,Asistente,A,0,0,,0
712-2023-185 PA DMT Asistente A de CULAGOS,185,2023,CULAGOS,DMT,Asistente,A,0,0,,0
712-2023-186 PA DMT Asistente A de CUTONALÁ,186,2023,CUTONALÁ,DMT,Asistente,A,0,0,,0
712-2023-187 PA DMT Asistente A de CUTLAJOMULCO,187,2023,CUTLAJOMULCO,DMT,Asistente,A,0,0,,0
712-2023-188 PA DMT Asistente A de SUV,188,2023,SUV,DMT,Asistente,A,0,0,,0
712-2023-189 PA DMT Asistente A de SEMS,189,2023,SEMS,DMT,Asistente,A,0,0,,0
712-2023-190 PA DMT Asistente A de AG,190,2023,AG,DMT,Asistente,A,0,0,,0
712-2023-191 PA DMT Asistente B de CUCEA,191,2023,CUCEA,DMT,Asistente,B,0,0,,0
712-2023-192 PA DMT Asistente B de CUCEI,192,2023,CUCEI,DMT,Asistente,B,0,0,,0
712-2023-193 PA DMT Asistente B de CUCSH,193,2023,CUCSH,DMT,Asistente,B,0,0,,0
712-2023-194 PA DMT Asistente B de CUCS,194,2023,CUCS,DMT,Asistente,B,0,0,,0
712-2023-195 PA DMT Asistente B de CUAAD,195,2023,CUAAD,DMT,Asistente,B,0,0,,0
712-2023-196 PA DMT Asistente B de CUCBA,196,2023,CUCBA,DMT,Asistente,B,0,0,,0
712-2023-197 PA DMT Asistente B de CUALTOS,197,2023,CUALTOS,DMT,Asistente,B,0,0,,0
712-2023-198 PA DMT Asistente B de CUCIÉNEGA,198,2023,CUCIÉNEGA,DMT,Asistente,B,0,0,,0
712-2023-199 PA DMT Asistente B de CUSUR,199,2023,CUSUR,DMT,Asistente,B,0,0,,0
712-2023-200 PA DMT Asistente B de CUCOSTA,200,2023,CUCOSTA,DMT,Asistente,B,0,0,,0
712-2023-201 PA DMT Asistente B de CUCOSTASUR,201,2023,CUCOSTASUR,DMT,Asistente,B,0,0,,0
712-2023-202 PA DMT Asistente B de CUVALLES,202,2023,CUVALLES,DMT,Asistente,B,0,0,,0
712-2023-203 PA DMT Asistente B de CUNORTE,203,2023,CUNORTE,DMT,Asistente,B,0,0,,0
712-2023-204 PA DMT Asistente B de CULAGOS,204,2023,CULAGOS,DMT,Asistente,B,0,0,,0
712-2023-205 PA DMT Asistente B de CUTONALÁ,205,2023,CUTONALÁ,DMT,Asistente,B,0,0,,0
712-2023-206 PA DMT Asistente B de CUTLAJOMULCO,206,2023,CUTLAJOMULCO,DMT,Asistente,B,0,0,,0
712-2023-207 PA DMT Asistente B de SUV,207,2023,SUV,DMT,Asistente,B,0,0,,0
712-2023-208 PA DMT Asistente B de SEMS,208,2023,SEMS,DMT,Asistente,B,3,0,,3
712-2023-209 PA DMT Asistente B de AG,209,2023,AG,DMT,Asistente,B,0,0,,0
712-2023-210 PA DMT Asistente C de CUCEA,210,2023,CUCEA,DMT,Asistente,C,0,0,,0
712-2023-211 PA DMT Asistente C de CUCEI,211,2023,CUCEI,DMT,Asistente,C,2,1,,3
712-2023-212 PA DMT Asistente C de CUCSH,212,2023,CUCSH,DMT,Asistente,C,1,1,,2
712-2023-213 PA DMT Asistente C de CUCS,213,2023,CUCS,DMT,Asistente,C,1,1,,2
712-2023-214 PA DMT Asistente C de CUAAD,214,2023,CUAAD,DMT,Asistente,C,4,0,,4
712-2023-215 PA DMT Asistente C de CUCBA,215,2023,CUCBA,DMT,Asistente,C,0,0,,0
712-2023-216 PA DMT Asistente C de CUALTOS,216,2023,CUALTOS,DMT,Asistente,C,0,0,,0
712-2023-217 PA DMT Asistente C de CUCIÉNEGA,217,2023,CUCIÉNEGA,DMT,Asistente,C,0,0,,0
712-2023-218 PA DMT Asistente C de CUSUR,218,2023,CUSUR,DMT,Asistente,C,0,0,,0
712-2023-219 PA DMT Asistente C de CUCOSTA,219,2023,CUCOSTA,DMT,Asistente,C,0,0,,0
712-2023-220 PA DMT Asistente C de CUCOSTASUR,220,2023,CUCOSTASUR,DMT,Asistente,C,0,0,,0
712-2023-221 PA DMT Asistente C de CUVALLES,221,2023,CUVALLES,DMT,Asistente,C,0,0,,0
712-2023-222 PA DMT Asistente C de CUNORTE,222,2023,CUNORTE,DMT,Asistente,C,0,0,,0
712-2023-223 PA DMT Asistente C de CULAGOS,223,2023,CULAGOS,DMT,Asistente,C,0,0,,0
712-2023-224 PA DMT Asistente C de CUTONALÁ,224,2023,CUTONALÁ,DMT,Asistente,C,0,0,,0
712-2023-225 PA DMT Asistente C de CUTLAJOMULCO,225,2023,CUTLAJOMULCO,DMT,Asistente,C,0,0,,0
712-2023-226 PA DMT Asistente C de SUV,226,2023,SUV,DMT,Asistente,C,0,0,,0
712-2023-227 PA DMT Asistente C de SEMS,227,2023,SEMS,DMT,Asistente,C,7,5,,12
712-2023-228 PA DMT Asistente C de AG,228,2023,AG,DMT,Asistente,C,0,0,,0
712-2023-229 PA DMT Asociado A de CUCEA,229,2023,CUCEA,DMT,Asociado,A,5,6,,11
712-2023-230 PA DMT Asociado A de CUCEI,230,2023,CUCEI,DMT,Asociado,A,1,3,,4
712-2023-231 PA DMT Asociado A de CUCSH,231,2023,CUCSH,DMT,Asociado,A,6,3,,9
712-2023-232 PA DMT Asociado A de CUCS,232,2023,CUCS,DMT,Asociado,A,5,2,,7
712-2023-233 PA DMT Asociado A de CUAAD,233,2023,CUAAD,DMT,Asociado,A,2,4,,6
712-2023-234 PA DMT Asociado A de CUCBA,234,2023,CUCBA,DMT,Asociado,A,0,0,,0
712-2023-235 PA DMT Asociado A de CUALTOS,235,2023,CUALTOS,DMT,Asociado,A,0,0,,0
712-2023-236 PA DMT Asociado A de CUCIÉNEGA,236,2023,CUCIÉNEGA,DMT,Asociado,A,6,5,,11
712-2023-237 PA DMT Asociado A de CUSUR,237,2023,CUSUR,DMT,Asociado,A,0,1,,1
712-2023-238 PA DMT Asociado A de CUCOSTA,238,2023,CUCOSTA,DMT,Asociado,A,5,0,,5
712-2023-239 PA DMT Asociado A de CUCOSTASUR,239,2023,CUCOSTASUR,DMT,Asociado,A,3,4,,7
712-2023-240 PA DMT Asociado A de CUVALLES,240,2023,CUVALLES,DMT,Asociado,A,0,0,,0
712-2023-241 PA DMT Asociado A de CUNORTE,241,2023,CUNORTE,DMT,Asociado,A,0,0,,0
712-2023-242 PA DMT Asociado A de CULAGOS,242,2023,CULAGOS,DMT,Asociado,A,1,2,,3
712-2023-243 PA DMT Asociado A de CUTONALÁ,243,2023,CUTONALÁ,DMT,Asociado,A,1,0,,1
712-2023-244 PA DMT Asociado A de CUTLAJOMULCO,244,2023,CUTLAJOMULCO,DMT,Asociado,A,0,0,,0
712-2023-245 PA DMT Asociado A de SUV,245,2023,SUV,DMT,Asociado,A,0,0,,0
712-2023-246 PA DMT Asociado A de SEMS,246,2023,SEMS,DMT,Asociado,A,78,56,,134
712-2023-247 PA DMT Asociado A de AG,247,2023,AG,DMT,Asociado,A,0,0,,0
712-2023-248 PA DMT Asociado B de CUCEA,248,2023,CUCEA,DMT,Asociado,B,0,1,,1
712-2023-249 PA DMT Asociado B de CUCEI,249,2023,CUCEI,DMT,Asociado,B,0,0,,0
712-2023-250 PA DMT Asociado B de CUCSH,250,2023,CUCSH,DMT,Asociado,B,3,0,,3
712-2023-251 PA DMT Asociado B de CUCS,251,2023,CUCS,DMT,Asociado,B,0,1,,1
712-2023-252 PA DMT Asociado B de CUAAD,252,2023,CUAAD,DMT,Asociado,B,0,0,,0
712-2023-253 PA DMT Asociado B de CUCBA,253,2023,CUCBA,DMT,Asociado,B,0,0,,0
