name,row,anio,concepto_ingreso,pesos_corrientes,
b13 Subsidio público ordinario de la UdeG -56 - 2020 - Donativos,56,2020,Donativos,36351096.14,
b13 Subsidio público ordinario de la UdeG -57 - 2020 - Entidades universitarias,57,2020,Entidades universitarias,514616.38,
b13 Subsidio público ordinario de la UdeG -58 - 2021 - Productos financieros,58,2021,Productos financieros,119811385.8,
b13 Subsidio público ordinario de la UdeG -59 - 2021 - Servicios escolares,59,2021,Servicios escolares,832085821,
b13 Subsidio público ordinario de la UdeG -60 - 2021 - Matrículas,60,2021,Matrículas,285798936.8,
b13 Subsidio público ordinario de la UdeG -61 - 2021 - Exámenes,61,2021,Exámenes,92087569.94,
b13 Subsidio público ordinario de la UdeG -62 - 2021 - Expedición de títulos,62,2021,Expedición de títulos,51562705.19,
b13 Subsidio público ordinario de la UdeG -63 - 2021 - Expedición de credenciales,63,2021,Expedición de credenciales,78542009.48,
b13 Subsidio público ordinario de la UdeG -64 - 2021 - Aportaciones voluntarias,64,2021,Aportaciones voluntarias,20851279.61,
b13 Subsidio público ordinario de la UdeG -65 - 2021 - Aportaciones especiales (extraordinarias),65,2021,Aportaciones especiales (extraordinarias),278316293.2,
b13 Subsidio público ordinario de la UdeG -66 - 2021 - Certificaciones,66,2021,Certificaciones,23733701.58,
b13 Subsidio público ordinario de la UdeG -67 - 2021 - Revalidaciones,67,2021,Revalidaciones,1193325.2,
b13 Subsidio público ordinario de la UdeG -68 - 2021 - Servicios no escolares,68,2021,Servicios no escolares,95216100.22,
b13 Subsidio público ordinario de la UdeG -69 - 2021 - Servicios,69,2021,Servicios,62039354.91,
b13 Subsidio público ordinario de la UdeG -70 - 2021 - Arrendamientos,70,2021,Arrendamientos,11651691.42,
b13 Subsidio público ordinario de la UdeG -71 - 2021 - Venta de formas,71,2021,Venta de formas,15481493.51,
b13 Subsidio público ordinario de la UdeG -72 - 2021 - Servicios de apoyo técnico,72,2021,Servicios de apoyo técnico,1833668.84,
