name,row,ciclo,cve_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
116 2019-2020 14MMS0685A BGAI Escolarizada,116,2019-2020,14MMS0685A,BGAI,Escolarizada,0,0,,0,0,0,,0,0,0,,0
117 2019-2020 14MMS0685A BGC Escolarizada,117,2019-2020,14MMS0685A,BGC,Escolarizada,133,172,,305,1,1,,2,3,3,,6
118 2019-2020 14MMS0686Z BGC Escolarizada,118,2019-2020,14MMS0686Z,BGC,Escolarizada,120,110,,230,2,0,,2,50,30,,80
119 2019-2020 14MMS0687Z BGC Escolarizada,119,2019-2020,14MMS0687Z,BGC,Escolarizada,39,53,,92,0,1,,1,2,2,,4
120 2019-2020 14MMS0688Y BGC Escolarizada,120,2019-2020,14MMS0688Y,BGC,Escolarizada,81,102,,183,1,0,,1,6,7,,13
121 2019-2020 14MMS0689X BGC Escolarizada,121,2019-2020,14MMS0689X,BGC,Escolarizada,62,55,,117,0,0,,0,0,0,,0
122 2019-2020 14MMS0690M BGC Escolarizada,122,2019-2020,14MMS0690M,BGC,Escolarizada,26,38,,64,0,0,,0,0,0,,0
123 2019-2020 14MMS0691L BGC Escolarizada,123,2019-2020,14MMS0691L,BGC,Escolarizada,74,97,,171,0,0,,0,0,0,,0
124 2019-2020 14MMS0692K BGC Escolarizada,124,2019-2020,14MMS0692K,BGC,Escolarizada,126,104,,230,3,1,,4,0,0,,0
125 2019-2020 14MMS0693J BGC Escolarizada,125,2019-2020,14MMS0693J,BGC,Escolarizada,342,338,,680,3,1,,4,0,1,,1
126 2019-2020 14MMS0694I BGC Escolarizada,126,2019-2020,14MMS0694I,BGC,Escolarizada,86,116,,202,2,1,,3,0,0,,0
127 2019-2020 14MMS0695H BGC Escolarizada,127,2019-2020,14MMS0695H,BGC,Escolarizada,195,229,,424,4,5,,9,0,0,,0
128 2019-2020 14MMS0696G BGC Escolarizada,128,2019-2020,14MMS0696G,BGC,Escolarizada,223,313,,536,0,1,,1,0,0,,0
129 2019-2020 14MMS0697F BGC Escolarizada,129,2019-2020,14MMS0697F,BGC,Escolarizada,81,93,,174,0,0,,0,0,0,,0
130 2019-2020 14MMS0698E BGC Escolarizada,130,2019-2020,14MMS0698E,BGC,Escolarizada,174,194,,368,0,0,,0,0,0,,0
131 2019-2020 14MMS0699D 3081100003 Escolarizada,131,2019-2020,14MMS0699D,3081100003,Escolarizada,44,57,,101,0,0,,0,0,0,,0
132 2019-2020 14MMS0699D BGC Escolarizada,132,2019-2020,14MMS0699D,BGC,Escolarizada,125,152,,277,1,1,,2,0,0,,0
133 2019-2020 14MMS0700C BGC Escolarizada,133,2019-2020,14MMS0700C,BGC,Escolarizada,108,130,,238,0,0,,0,0,0,,0
134 2019-2020 14MMS0701B BGC Escolarizada,134,2019-2020,14MMS0701B,BGC,Escolarizada,312,387,,699,2,7,,9,2,0,,2
135 2019-2020 14MMS0702A BGC Escolarizada,135,2019-2020,14MMS0702A,BGC,Escolarizada,76,74,,150,2,1,,3,0,0,,0
136 2019-2020 14MMS0703Z BGC Escolarizada,136,2019-2020,14MMS0703Z,BGC,Escolarizada,123,142,,265,0,0,,0,0,0,,0
137 2019-2020 14MMS0704Z BGC Escolarizada,137,2019-2020,14MMS0704Z,BGC,Escolarizada,73,57,,130,0,0,,0,0,0,,0
138 2019-2020 14MMS0705Y BGC Escolarizada,138,2019-2020,14MMS0705Y,BGC,Escolarizada,309,348,,657,7,5,,12,0,0,,0
139 2019-2020 14MMS0706X BGC Escolarizada,139,2019-2020,14MMS0706X,BGC,Escolarizada,384,457,,841,14,6,,20,0,0,,0
140 2019-2020 14MMS0707W BGC Escolarizada,140,2019-2020,14MMS0707W,BGC,Escolarizada,315,373,,688,0,1,,1,0,0,,0
141 2019-2020 14MMS0708V BGC Escolarizada,141,2019-2020,14MMS0708V,BGC,Escolarizada,297,307,,604,1,2,,3,0,0,,0
142 2019-2020 14MMS0709U BGC Escolarizada,142,2019-2020,14MMS0709U,BGC,Escolarizada,187,186,,373,0,0,,0,1,2,,3
143 2019-2020 14MMS0710J BGC Escolarizada,143,2019-2020,14MMS0710J,BGC,Escolarizada,152,172,,324,0,0,,0,2,0,,2
144 2019-2020 14MMS0711I BGC Escolarizada,144,2019-2020,14MMS0711I,BGC,Escolarizada,93,106,,199,1,0,,1,0,0,,0
145 2019-2020 14MMS0712H BGC Escolarizada,145,2019-2020,14MMS0712H,BGC,Escolarizada,208,275,,483,0,1,,1,0,0,,0
146 2019-2020 14MMS0713G BGC Escolarizada,146,2019-2020,14MMS0713G,BGC,Escolarizada,244,277,,521,6,2,,8,0,0,,0
147 2019-2020 14MMS0714F BGC Escolarizada,147,2019-2020,14MMS0714F,BGC,Escolarizada,180,231,,411,3,9,,12,0,0,,0
148 2019-2020 14MMS0715E BGC Escolarizada,148,2019-2020,14MMS0715E,BGC,Escolarizada,110,130,,240,3,3,,6,0,0,,0
149 2019-2020 14MMS0716D BGC Escolarizada,149,2019-2020,14MMS0716D,BGC,Escolarizada,129,176,,305,0,0,,0,0,0,,0
150 2019-2020 14MMS0717C 3042000001 Escolarizada,150,2019-2020,14MMS0717C,3042000001,Escolarizada,38,53,,91,0,0,,0,0,0,,0
151 2019-2020 14MMS0717C 3101600003 Escolarizada,151,2019-2020,14MMS0717C,3101600003,Escolarizada,12,26,,38,0,0,,0,0,0,,0
152 2019-2020 14MMS0717C BGC Escolarizada,152,2019-2020,14MMS0717C,BGC,Escolarizada,242,216,,458,1,0,,1,0,0,,0
153 2019-2020 14MMS0718B 3042000001 Escolarizada,153,2019-2020,14MMS0718B,3042000001,Escolarizada,38,39,,77,0,0,,0,0,0,,0
154 2019-2020 14MMS0718B 3101600003 Escolarizada,154,2019-2020,14MMS0718B,3101600003,Escolarizada,48,89,,137,0,0,,0,0,0,,0
155 2019-2020 14MMS0718B BGC Escolarizada,155,2019-2020,14MMS0718B,BGC,Escolarizada,214,224,,438,0,0,,0,0,0,,0
156 2019-2020 14MMS0719A BGC Escolarizada,156,2019-2020,14MMS0719A,BGC,Escolarizada,109,119,,228,0,0,,0,0,0,,0
157 2019-2020 14MMS0720Q BGC Escolarizada,157,2019-2020,14MMS0720Q,BGC,Escolarizada,154,206,,360,0,0,,0,0,0,,0
158 2019-2020 14MMS0721P BGC Escolarizada,158,2019-2020,14MMS0721P,BGC,Escolarizada,194,315,,509,4,8,,12,0,1,,1
159 2019-2020 14MMS0722O BGC Escolarizada,159,2019-2020,14MMS0722O,BGC,Escolarizada,243,260,,503,2,4,,6,0,0,,0
160 2019-2020 14MMS0723N BGC Escolarizada,160,2019-2020,14MMS0723N,BGC,Escolarizada,61,65,,126,1,0,,1,0,0,,0
161 2019-2020 14MMS0724M BGC Escolarizada,161,2019-2020,14MMS0724M,BGC,Escolarizada,124,152,,276,0,0,,0,0,0,,0
162 2019-2020 14MMS0725L BGC Escolarizada,162,2019-2020,14MMS0725L,BGC,Escolarizada,48,66,,114,0,2,,2,0,0,,0
163 2019-2020 14MMS0726K BGC Escolarizada,163,2019-2020,14MMS0726K,BGC,Escolarizada,59,58,,117,0,0,,0,0,0,,0
164 2019-2020 14MMS0727J BGC Escolarizada,164,2019-2020,14MMS0727J,BGC,Escolarizada,53,86,,139,0,0,,0,0,0,,0
165 2019-2020 14MMS0728I BGC Escolarizada,165,2019-2020,14MMS0728I,BGC,Escolarizada,67,74,,141,3,2,,5,0,0,,0
166 2019-2020 14MMS0730X BGC Escolarizada,166,2019-2020,14MMS0730X,BGC,Escolarizada,86,68,,154,0,0,,0,0,0,,0
167 2019-2020 14MMS0731W BGC Escolarizada,167,2019-2020,14MMS0731W,BGC,Escolarizada,64,52,,116,0,0,,0,2,2,,4
168 2019-2020 14MMS0732V BGC Escolarizada,168,2019-2020,14MMS0732V,BGC,Escolarizada,89,95,,184,1,2,,3,0,0,,0
169 2019-2020 14MMS0733U BGC Escolarizada,169,2019-2020,14MMS0733U,BGC,Escolarizada,57,41,,98,0,0,,0,0,0,,0
170 2019-2020 14MMS0734T BGC Escolarizada,170,2019-2020,14MMS0734T,BGC,Escolarizada,42,43,,85,0,0,,0,1,1,,2
171 2019-2020 14MMS0735S BGC Escolarizada,171,2019-2020,14MMS0735S,BGC,Escolarizada,51,53,,104,1,3,,4,0,0,,0
172 2019-2020 14MMS0736R BGC Escolarizada,172,2019-2020,14MMS0736R,BGC,Escolarizada,58,52,,110,0,0,,0,0,0,,0
173 2019-2020 14MMS0737Q BGC Escolarizada,173,2019-2020,14MMS0737Q,BGC,Escolarizada,40,55,,95,1,1,,2,0,0,,0
174 2019-2020 14MMS0738P BGC Escolarizada,174,2019-2020,14MMS0738P,BGC,Escolarizada,34,53,,87,0,0,,0,7,3,,10
175 2019-2020 14MMS0739O BGC Escolarizada,175,2019-2020,14MMS0739O,BGC,Escolarizada,117,121,,238,1,0,,1,2,0,,2
176 2019-2020 14MMS0740D BGC Escolarizada,176,2019-2020,14MMS0740D,BGC,Escolarizada,39,49,,88,0,0,,0,0,0,,0
177 2019-2020 14MMS0741C BGC Escolarizada,177,2019-2020,14MMS0741C,BGC,Escolarizada,45,80,,125,0,0,,0,0,0,,0
178 2019-2020 14MMS0742B BGC Escolarizada,178,2019-2020,14MMS0742B,BGC,Escolarizada,42,49,,91,0,0,,0,0,0,,0
179 2019-2020 14MMS0743A BGC Escolarizada,179,2019-2020,14MMS0743A,BGC,Escolarizada,57,41,,98,0,0,,0,0,0,,0
180 2019-2020 14MMS0744Z BGC Escolarizada,180,2019-2020,14MMS0744Z,BGC,Escolarizada,340,348,,688,4,3,,7,0,0,,0
181 2019-2020 14MMS0745Z BGC Escolarizada,181,2019-2020,14MMS0745Z,BGC,Escolarizada,45,46,,91,1,0,,1,0,0,,0
