row,name,ciclo,clave_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t,
167,2022-2023 14USU0190I 5021000114,2022-2023,14USU0190I,5021000114,Escolarizada,29,54,,83,2,2,,4,0,0,,0,
168,2022-2023 14USU0190I 5021500002,2022-2023,14USU0190I,5021500002,Escolarizada,161,127,,288,10,3,,13,0,1,,1,
169,2022-2023 14USU0190I 5021500044,2022-2023,14USU0190I,5021500044,Escolarizada,62,148,,210,3,5,,8,0,0,,0,
170,2022-2023 14USU0190I 5021700002,2022-2023,14USU0190I,5021700002,Escolarizada,26,106,,132,3,8,,11,0,0,,0,
171,2022-2023 14USU0190I 5031100007,2022-2023,14USU0190I,5031100007,Escolarizada,101,433,,534,6,13,,19,0,1,,1,
172,2022-2023 14USU0190I 5033100003,2022-2023,14USU0190I,5033100003,Escolarizada,209,338,,547,5,14,,19,1,0,,1,
173,2022-2023 14USU0190I 5041400032,2022-2023,14USU0190I,5041400032,Escolarizada,259,315,,574,13,8,,21,0,2,,2,
174,2022-2023 14USU0190I 5042000002,2022-2023,14USU0190I,5042000002,Escolarizada,218,347,,565,7,12,,19,1,1,,2,
175,2022-2023 14USU0190I 5051100003,2022-2023,14USU0190I,5051100003,Escolarizada,80,140,,220,4,5,,9,0,0,,0,
176,2022-2023 14USU0190I 5061000002,2022-2023,14USU0190I,5061000002,Escolarizada,177,24,,201,7,3,,10,0,1,,1,
177,2022-2023 14USU0190I 5062100034,2022-2023,14USU0190I,5062100034,Escolarizada,115,20,,135,8,0,,8,0,0,,0,
178,2022-2023 14USU0190I 5071000047,2022-2023,14USU0190I,5071000047,Escolarizada,143,16,,159,14,2,,16,0,0,,0,
179,2022-2023 14USU0190I 5072100049,2022-2023,14USU0190I,5072100049,Escolarizada,83,100,,183,4,0,,4,0,0,,0,
180,2022-2023 14USU0190I 5073100009,2022-2023,14USU0190I,5073100009,Escolarizada,335,238,,573,15,10,,25,2,1,,3,
181,2022-2023 14USU0190I 5073200005,2022-2023,14USU0190I,5073200005,Escolarizada,421,101,,522,5,5,,10,1,1,,2,
182,2022-2023 14USU0190I 5091100011,2022-2023,14USU0190I,5091100011,Escolarizada,190,302,,492,4,6,,10,2,0,,2,
183,2022-2023 14USU0190I 5092100006,2022-2023,14USU0190I,5092100006,Escolarizada,67,286,,353,0,9,,9,0,1,,1,
184,2022-2023 14USU0190I 5094200006,2022-2023,14USU0190I,5094200006,Escolarizada,62,260,,322,1,4,,5,0,0,,0,
185,2022-2023 14USU0190I 5101100015,2022-2023,14USU0190I,5101100015,Escolarizada,171,90,,261,6,1,,7,0,0,,0,
186,2022-2023 14USU0190I 5101600013,2022-2023,14USU0190I,5101600013,Escolarizada,135,236,,371,7,7,,14,1,0,,1,
187,2022-2023 14USU0200Z 4071500002,2022-2023,14USU0200Z,4071500002,Escolarizada,148,3,,151,1,0,,1,0,0,,0,
188,2022-2023 14USU0200Z 5021000002,2022-2023,14USU0200Z,5021000002,Escolarizada,84,48,,132,3,4,,7,0,0,,0,
189,2022-2023 14USU0200Z 5033100003,2022-2023,14USU0200Z,5033100003,Escolarizada,152,301,,453,4,10,,14,3,1,,4,
190,2022-2023 14USU0200Z 5041100007,2022-2023,14USU0200Z,5041100007,Escolarizada,73,135,,208,3,6,,9,0,1,,1,
191,2022-2023 14USU0200Z 5041300007,2022-2023,14USU0200Z,5041300007,Escolarizada,81,96,,177,3,3,,6,2,1,,3,
192,2022-2023 14USU0200Z 5041400032,2022-2023,14USU0200Z,5041400032,Escolarizada,106,213,,319,1,5,,6,0,1,,1,
193,2022-2023 14USU0200Z 5042000002,2022-2023,14USU0200Z,5042000002,Escolarizada,87,182,,269,3,5,,8,0,1,,1,
194,2022-2023 14USU0200Z 5051300005,2022-2023,14USU0200Z,5051300005,Escolarizada,50,70,,120,2,1,,3,0,1,,1,
195,2022-2023 14USU0200Z 5062100033,2022-2023,14USU0200Z,5062100033,Escolarizada,115,21,,136,2,0,,2,1,0,,1,
196,2022-2023 14USU0200Z 5071300014,2022-2023,14USU0200Z,5071300014,Escolarizada,248,23,,271,5,0,,5,2,1,,3,
197,2022-2023 14USU0200Z 5073200010,2022-2023,14USU0200Z,5073200010,Escolarizada,199,26,,225,3,1,,4,0,0,,0,
198,2022-2023 14USU0200Z 5081300016,2022-2023,14USU0200Z,5081300016,Escolarizada,272,114,,386,2,5,,7,2,2,,4,
199,2022-2023 14USU0200Z 5092100006,2022-2023,14USU0200Z,5092100006,Escolarizada,50,295,,345,1,4,,5,1,1,,2,
