name,row,ciclo,anio,calendario,clave_plantel,cve_programa,aspirantes_h,aspirantes_m,aspirantes_nb,aspirantes_t,admitidos_h,admitidos_m,admitidos_nb,admitidos_t,no_admitidos_h,no_admitidos_m,no_admitidos_nb,no_admitidos_t,por_admision,cupo,puntaje_minimo
2018B 350 14USU0200Z 5071300014,350,2018-2019,2018,B,14USU0200Z,5071300014,,,,93,,,,75,,,,18,80.65,75,120.75
2018B 351 14USU0200Z 5081300016,351,2018-2019,2018,B,14USU0200Z,5081300016,,,,170,,,,80,,,,90,47.06,80,125.25
2018B 352 14USU0200Z 5042000002,352,2018-2019,2018,B,14USU0200Z,5042000002,,,,126,,,,80,,,,46,63.49,80,125.13
2018B 353 14USU0200Z 5041300007,353,2018-2019,2018,B,14USU0200Z,5041300007,,,,11,,,,11,,,,0,100.00,50,113.5167
2018B 354 14USU0007U 5051100006,354,2018-2019,2018,B,14USU0007U,5051100006,,,,72,,,,70,,,,2,97.22,70,105.0767
2018B 355 14USU0200Z 5041400032,355,2018-2019,2018,B,14USU0200Z,5041400032,,,,110,,,,80,,,,30,72.73,80,131.3733
2018B 356 14USU0200Z 5092100006,356,2018-2019,2018,B,14USU0200Z,5092100006,,,,138,,,,40,,,,98,28.99,40,142.0133
2018B 357 14USU0200Z 5041100007,357,2018-2019,2018,B,14USU0200Z,5041100007,,,,66,,,,50,,,,16,75.76,50,119.5
2018B 358 14USU0200Z 5073200010,358,2018-2019,2018,B,14USU0200Z,5073200010,,,,76,,,,50,,,,26,65.79,50,121.5
2018B 359 14USU0200Z 5051300005,359,2018-2019,2018,B,14USU0200Z,5051300005,,,,44,,,,44,,,,0,100.00,50,95.37
2018B 360 14USU0200Z 5062100033,360,2018-2019,2018,B,14USU0200Z,5062100033,,,,31,,,,31,,,,0,100.00,40,103.9433
2018B 361 14USU0200Z 5094200006,361,2018-2019,2018,B,14USU0200Z,5094200006,,,,54,,,,54,,,,0,100.00,55,96.3267
2018B 362 14USU0200Z 5101600013,362,2018-2019,2018,B,14USU0200Z,5101600013,,,,31,,,,31,,,,0,100.00,55,93.4167
2018B 363 14USU0200Z 4071500002,363,2018-2019,2018,B,14USU0200Z,4071500002,,,,95,,,,55,,,,40,57.89,55,117.9333
2018B 364 14USU0221L 5033100003,364,2018-2019,2018,B,14USU0221L,5033100003,,,,69,,,,45,,,,24,65.22,45,116.5833
2018B 365 14USU0221L 5071700019,365,2018-2019,2018,B,14USU0221L,5071700019,,,,85,,,,45,,,,40,52.94,45,130.8367
2018B 366 14USU0221L 5071300009,366,2018-2019,2018,B,14USU0221L,5071300009,,,,31,,,,31,,,,0,100.00,45,105.7333
2018B 367 14USU0221L 5071300014,367,2018-2019,2018,B,14USU0221L,5071300014,,,,110,,,,45,,,,65,40.91,45,150.4967
2018B 368 14USU0221L 5062200073,368,2018-2019,2018,B,14USU0221L,5062200073,,,,32,,,,32,,,,0,100.00,45,107.52
2018B 369 14USU0221L 5042000002,369,2018-2019,2018,B,14USU0221L,5042000002,,,,85,,,,45,,,,40,52.94,45,129.7533
2018B 370 14USU0221L 5022000001,370,2018-2019,2018,B,14USU0221L,5022000001,,,,24,,,,24,,,,0,100.00,45,100.3333
2018B 371 14USU0221L 5071400008,371,2018-2019,2018,B,14USU0221L,5071400008,,,,93,,,,45,,,,48,48.39,45,143.04
2018B 372 14USU0221L 5042400005,372,2018-2019,2018,B,14USU0221L,5042400005,,,,67,,,,45,,,,22,67.16,45,124.8367
2018B 373 14USU0221L 5031100007,373,2018-2019,2018,B,14USU0221L,5031100007,,,,57,,,,45,,,,12,78.95,45,117.22
2018B 374 14USU0222K 5033100003,374,2018-2019,2018,B,14USU0222K,5033100003,,,,47,,,,47,,,,0,100.00,50,87.7233
2018B 375 14USU0222K 5032100038,375,2018-2019,2018,B,14USU0222K,5032100038,,,,3,,,,3,,,,0,100.00,45,127.75
2018B 376 14USU0222K 5031100007,376,2018-2019,2018,B,14USU0222K,5031100007,,,,35,,,,35,,,,0,100.00,45,103.99
2018B 377 14USU0222K 5062200082,377,2018-2019,2018,B,14USU0222K,5062200082,,,,16,,,,16,,,,0,100.00,45,97.8333
2018B 378 14USU0002Z 5033100003,378,2018-2019,2018,B,14USU0002Z,5033100003,,,,96,,,,96,,,,0,100.00,120,83.3567
2018B 379 14USU0002Z 5071300009,379,2018-2019,2018,B,14USU0002Z,5071300009,,,,43,,,,43,,,,0,100.00,70,89.1667
2018B 380 14USU0002Z 5062200073,380,2018-2019,2018,B,14USU0002Z,5062200073,,,,42,,,,42,,,,0,100.00,60,88.25
2018B 381 14USU0002Z 5042000002,381,2018-2019,2018,B,14USU0002Z,5042000002,,,,48,,,,48,,,,0,100.00,70,81.5
2018B 382 14USU0002Z 5041100021,382,2018-2019,2018,B,14USU0002Z,5041100021,,,,35,,,,35,,,,0,100.00,60,82.5833
2018B 383 14USU0002Z 5031200004,383,2018-2019,2018,B,14USU0002Z,5031200004,,,,11,,,,11,,,,0,100.00,30,99.1367
2018B 384 14USU0002Z 5041400032,384,2018-2019,2018,B,14USU0002Z,5041400032,,,,34,,,,34,,,,0,100.00,40,89.9167
2018B 385 14USU0002Z 5092100006,385,2018-2019,2018,B,14USU0002Z,5092100006,,,,114,,,,114,,,,0,100.00,140,89.25
2018B 386 14USU0002Z 5094200006,386,2018-2019,2018,B,14USU0002Z,5094200006,,,,38,,,,38,,,,0,100.00,50,87.4667
2018B 387 14USU0002Z 5031100007,387,2018-2019,2018,B,14USU0002Z,5031100007,,,,67,,,,67,,,,0,100.00,80,84.8333
2018B 388 14USU0002Z 5101600013,388,2018-2019,2018,B,14USU0002Z,5101600013,,,,30,,,,30,,,,0,100.00,40,81.0467
2018B 389 14USU0002Z 5092100006,389,2018-2019,2018,B,14USU0002Z,5092100006,,,,21,,,,21,,,,0,100.00,30,71.36
2018B 390 14USU0210F 5033100003,390,2018-2019,2018,B,14USU0210F,5033100003,,,,203,,,,80,,,,123,39.41,80,136.25
2018B 391 14MMS0777R 2092100004,391,2018-2019,2018,B,14MMS0777R,2092100004,,,,58,,,,40,,,,18,68.97,40,121.8889
