name,ciclo,cve_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
2022-202314USU0008T5041400032,2022-2023,14USU0008T,5041400032,Escolarizada,347,518,0,865,6,13,0,19,0,0,0,0
2022-202314USU0008T5042100012,2022-2023,14USU0008T,5042100012,Escolarizada,408,450,0,858,9,10,0,19,1,0,0,1
2022-202314USU0008T5052200002,2022-2023,14USU0008T,5052200002,Escolarizada,370,200,0,570,9,4,0,13,0,1,0,1
2022-202314USU0008T5061100001,2022-2023,14USU0008T,5061100001,Escolarizada,461,88,0,549,18,3,0,21,0,0,0,0
2022-202314USU0008T5071200009,2022-2023,14USU0008T,5071200009,Escolarizada,402,109,0,511,16,3,0,19,0,0,0,0
2022-202314USU0008T5091100011,2022-2023,14USU0008T,5091100011,Escolarizada,513,850,0,1363,9,10,0,19,0,1,0,1
2022-202314USU0110G5062200055,2022-2023,14USU0110G,5062200055,Escolarizada,1486,259,0,1745,48,10,0,58,4,1,0,5
2022-202314USU0011G5073200005,2022-2023,14USU0011G,5073200005,Escolarizada,120,21,0,141,0,0,0,0,1,0,0,1
2022-202314USU0110G5071000020,2022-2023,14USU0110G,5071000020,Escolarizada,482,316,0,798,14,7,0,21,2,0,0,2
2022-202314USU0110G5071200034,2022-2023,14USU0110G,5071200034,Escolarizada,168,57,0,225,8,1,0,9,0,0,0,0
2022-202314USU0110G5071300009,2022-2023,14USU0110G,5071300009,Escolarizada,1651,99,0,1750,30,2,0,32,1,0,0,1
2022-202314USU0110G5071300082,2022-2023,14USU0110G,5071300082,Escolarizada,386,74,0,460,11,2,0,13,0,1,0,1
2022-202314USU0110G5071400015,2022-2023,14USU0110G,5071400015,Escolarizada,820,672,0,1492,25,22,0,47,2,0,0,2
2022-202314USU0110G5071700019,2022-2023,14USU0110G,5071700019,Escolarizada,1446,573,0,2019,31,11,0,42,4,1,0,5
2022-202314USU0110G5072100033,2022-2023,14USU0110G,5072100033,Escolarizada,188,395,0,583,3,12,0,15,0,0,0,0
2022-202314USU0110G5073200005,2022-2023,14USU0110G,5073200005,Escolarizada,1037,233,0,1270,18,2,0,20,1,2,0,3
2022-202314USU0110G5073200035,2022-2023,14USU0110G,5073200035,Escolarizada,236,79,0,315,7,4,0,11,2,0,0,2
2022-202314USU0110G5095400006,2022-2023,14USU0110G,5095400006,Escolarizada,631,1131,0,1762,18,26,0,44,0,1,0,1
2022-202314USU0110G5102100004,2022-2023,14USU0110G,5102100004,Escolarizada,203,125,0,328,6,1,0,7,0,1,0,1
2022-202314USU0120N5031400003,2022-2023,14USU0120N,5031400003,Escolarizada,491,214,0,705,13,0,0,13,0,0,0,0
2022-202314USU0120N5032100065,2022-2023,14USU0120N,5032100065,Escolarizada,181,495,0,676,3,8,0,11,2,0,0,2
2022-202314USU0110G5052200007,2022-2023,14USU0110G,5052200007,Escolarizada,432,387,0,819,17,10,0,27,1,1,0,2
2022-202314USU0110G5052200017,2022-2023,14USU0110G,5052200017,Escolarizada,132,87,0,219,5,3,0,8,0,0,0,0
2022-202314USU0110G5053100004,2022-2023,14USU0110G,5053100004,Escolarizada,236,95,0,331,11,6,0,17,0,1,0,1
2022-202314USU0110G5061000002,2022-2023,14USU0110G,5061000002,Escolarizada,1848,274,0,2122,65,6,0,71,4,2,0,6
2022-202314USU0110G5062100009,2022-2023,14USU0110G,5062100009,Escolarizada,1184,188,0,1372,26,3,0,29,4,0,0,4
2022-202314USU0011G5091100011,2022-2023,14USU0011G,5091100011,Escolarizada,76,131,0,207,0,2,0,2,0,0,0,0
2022-202314USU0011G5092100006,2022-2023,14USU0011G,5092100006,Escolarizada,34,163,0,197,1,1,0,2,0,0,0,0
2022-202314USU0011G5094200006,2022-2023,14USU0011G,5094200006,Escolarizada,38,162,0,200,1,4,0,5,0,0,0,0
2022-202314USU0100Z5012603011,2022-2023,14USU0100Z,5012603011,Escolarizada,36,105,0,141,1,1,0,2,0,0,0,0
