orden,entidad_universitaria,plantel_adscripcion,clave_plantel,nombre_plantel,nombre_plantel_corto,tipo_plantel,clasificacion_plantel,region_jalisco,municipio,notas
75,SEMS,14MMS0618C,14MMS0747X,Módulo La Ribera,Módulo La Ribera,Módulo,Regional,Región Ciénega,Ayotlán,
76,SEMS,14MMS0618C,14MMS0750K,Módulo San Francisco de Asís,Módulo San Francisco de Asís,Módulo,Regional,Región Ciénega,Atotonilco el Alto,
77,SEMS,,14MMS0621Q,Escuela Preparatoria Regional de Autlán,EPR de Autlán de Navarro,Escuela,Regional,Región Sierra de Amula,Autlán de Navarro,
78,SEMS,,14MMS0622P,Escuela Preparatoria Regional de Casimiro Castillo,EPR de Casimiro Castillo,Escuela,Regional,Región Costa Sur,Casimiro Castillo,
79,SEMS,14MMS0622P,14MMS0732V,Módulo Ayotitlán,Módulo Ayotitlán,Módulo,Regional,Región Costa Sur,Cuautitlán de García Barragán,
80,SEMS,14MMS0622P,14MMS0733U,Módulo Chacala,Módulo Chacala,Módulo,Regional,Región Costa Sur,Cuautitlán de García Barragán,
81,SEMS,14MMS0622P,14MMS0674V,Módulo Cuautitlán de García Barragán,Módulo Cuautitlán,Módulo,Regional,Región Costa Sur,Cuautitlán de García Barragán,
82,SEMS,14MMS0622P,14MMS0675U,Módulo H. Galeana,Módulo Hermenegildo Galeana,Módulo,Regional,Región Costa Sur,Casimiro Castillo,
83,SEMS,14MMS0622P,14MMS0676T,Módulo La Huerta,Módulo La Huerta,Módulo,Regional,Región Costa Sur,La Huerta,
84,SEMS,14MMS0622P,14MMS0736R,Módulo Telcruz,Módulo Telcruz,Módulo,Regional,Región Costa Sur,Cuautitlán de García Barragán,
85,SEMS,14MMS0622P,14MMS0677S,Módulo Villa Purificación,Módulo Villa Purificación,Módulo,Regional,Región Costa Sur,Villa Purificación,
86,SEMS,14MMS0622P,14MMS0734T,Módulo Cuzalapa,Módulo Cuzalapa,Módulo,Regional,Región Costa Sur,Cuautitlán de García Barragán,
87,SEMS,14MMS0622P,14MMS0735S,Módulo Tecomates,Módulo Tecomates,Módulo,Regional,Región Costa Sur,Casimiro Castillo,
88,SEMS,14MMS0622P,14MMS0737Q,Módulo Tequesquitlán,Módulo Tequesquitlán,Módulo,Regional,Región Costa Sur,Cuautitlán de García Barragán,
89,SEMS,,14MMS0651K,Escuela Preparatoria Regional de Chapala,EPR de Chapala,Escuela,Regional,Región Sureste,Chapala,
90,SEMS,14MMS0651K,14MMS0698E,Módulo de Mezcala,Módulo Mezcala de la Asunción,Módulo,Regional,Región Ciénega,Poncitlán,
91,SEMS,,14MMS0624N,Escuela Preparatoria Regional de Cihuatlán,EPR de Cihuatlán,Escuela,Regional,Región Costa Sur,Cihuatlán,
92,SEMS,14MMS0624N,14MMS0682D,Módulo Miguel Hidalgo,Módulo Miguel Hidalgo,Módulo,Regional,Región Costa Sur,La Huerta,
93,SEMS,14MMS0624N,14MMS0683C,Módulo San Patricio Melaque,Módulo San Patricio Melaque,Módulo,Regional,Región Costa Sur,Cihuatlán,
94,SEMS,,14MMS0626L,Escuela Preparatoria Regional de Ciudad Guzmán,EPR de Ciudad Guzmán,Escuela,Regional,Región Sur,Zapotlán el Grande,
95,SEMS,14MMS0626L,14MMS0758C,Módulo Copala,Módulo Copala,Módulo,Regional,Región Sur,Tolimán,
96,SEMS,14MMS0626L,14MMS0680F,Módulo Tolimán,Módulo Tolimán,Módulo,Regional,Región Sur,Tolimán,
97,SEMS,14MMS0626L,14MMS0681E,Módulo Zapotitlán de Vadillo,Módulo Zapotitlán de Vadillo,Módulo,Regional,Región Sur,Zapotitlán de Vadillo,
98,SEMS,,14MMS0707W,Escuela Preparatoria Regional de Cocula,EPR de Cocula,Escuela,Regional,Región Lagunas,Cocula,
