name,row,anio,entidad_universitaria,sector,hombres,mujeres,persoas_nb,total,convenios_vigentes_pp
421 Prácticas profesionales-205 - 2019 - CUTONALÁ - Municipal,205,2019,CUTONALÁ,Municipal,,,,,4
421 Prácticas profesionales-206 - 2019 - CUTONALÁ - Privado,206,2019,CUTONALÁ,Privado,46,49,,95,68
421 Prácticas profesionales-207 - 2019 - CUTONALÁ - Civil,207,2019,CUTONALÁ,Civil,,,,,33
421 Prácticas profesionales-208 - 2019 - CUTLAJOMULCO - Público,208,2019,CUTLAJOMULCO,Público,,,,,
421 Prácticas profesionales-209 - 2019 - CUTLAJOMULCO - Federal,209,2019,CUTLAJOMULCO,Federal,,,,,
421 Prácticas profesionales-210 - 2019 - CUTLAJOMULCO - Estatal,210,2019,CUTLAJOMULCO,Estatal,,,,,
421 Prácticas profesionales-211 - 2019 - CUTLAJOMULCO - Municipal,211,2019,CUTLAJOMULCO,Municipal,,,,,
421 Prácticas profesionales-212 - 2019 - CUTLAJOMULCO - Privado,212,2019,CUTLAJOMULCO,Privado,,,,,
421 Prácticas profesionales-213 - 2019 - CUTLAJOMULCO - Civil,213,2019,CUTLAJOMULCO,Civil,,,,,
421 Prácticas profesionales-214 - 2019 - SUV - Público,214,2019,SUV,Público,0,0,,0,0
421 Prácticas profesionales-215 - 2019 - SUV - Federal,215,2019,SUV,Federal,0,0,,0,0
421 Prácticas profesionales-216 - 2019 - SUV - Estatal,216,2019,SUV,Estatal,0,0,,0,0
421 Prácticas profesionales-217 - 2019 - SUV - Municipal,217,2019,SUV,Municipal,0,0,,0,0
421 Prácticas profesionales-218 - 2019 - SUV - Privado,218,2019,SUV,Privado,0,0,,0,0
421 Prácticas profesionales-219 - 2019 - SUV - Civil,219,2019,SUV,Civil,0,0,,0,0
421 Prácticas profesionales-220 - 2019 - SEMS - Público,220,2019,SEMS,Público,811,1290,,2101,166
421 Prácticas profesionales-221 - 2019 - SEMS - Federal,221,2019,SEMS,Federal,743,1217,,1960,30
421 Prácticas profesionales-222 - 2019 - SEMS - Estatal,222,2019,SEMS,Estatal,36,38,,74,82
421 Prácticas profesionales-223 - 2019 - SEMS - Municipal,223,2019,SEMS,Municipal,32,35,,67,54
421 Prácticas profesionales-224 - 2019 - SEMS - Privado,224,2019,SEMS,Privado,848,737,,1585,303
421 Prácticas profesionales-225 - 2019 - SEMS - Civil,225,2019,SEMS,Civil,0,0,,0,39
421 Prácticas profesionales-226 - 2020 - CUCEA - Público,226,2020,CUCEA,Público,83,160,,243,16
421 Prácticas profesionales-227 - 2020 - CUCEA - Federal,227,2020,CUCEA,Federal,0,0,,0,0
421 Prácticas profesionales-228 - 2020 - CUCEA - Estatal,228,2020,CUCEA,Estatal,0,0,,0,0
421 Prácticas profesionales-229 - 2020 - CUCEA - Municipal,229,2020,CUCEA,Municipal,83,160,,243,16
421 Prácticas profesionales-230 - 2020 - CUCEA - Privado,230,2020,CUCEA,Privado,923,1475,,2398,466
421 Prácticas profesionales-231 - 2020 - CUCEA - Civil,231,2020,CUCEA,Civil,0,0,,0,2
421 Prácticas profesionales-232 - 2020 - CUCEI - Público,232,2020,CUCEI,Público,61,72,,133,5
421 Prácticas profesionales-233 - 2020 - CUCEI - Federal,233,2020,CUCEI,Federal,0,0,,0,0
421 Prácticas profesionales-234 - 2020 - CUCEI - Estatal,234,2020,CUCEI,Estatal,61,72,,133,5
421 Prácticas profesionales-235 - 2020 - CUCEI - Municipal,235,2020,CUCEI,Municipal,0,0,,0,0
421 Prácticas profesionales-236 - 2020 - CUCEI - Privado,236,2020,CUCEI,Privado,366,325,,691,124
421 Prácticas profesionales-237 - 2020 - CUCEI - Civil,237,2020,CUCEI,Civil,0,0,,0,3
421 Prácticas profesionales-238 - 2020 - CUCSH - Público,238,2020,CUCSH,Público,166,105,,271,73
421 Prácticas profesionales-239 - 2020 - CUCSH - Federal,239,2020,CUCSH,Federal,7,5,,12,21
421 Prácticas profesionales-240 - 2020 - CUCSH - Estatal,240,2020,CUCSH,Estatal,96,65,,161,28
421 Prácticas profesionales-241 - 2020 - CUCSH - Municipal,241,2020,CUCSH,Municipal,63,35,,98,24
421 Prácticas profesionales-242 - 2020 - CUCSH - Privado,242,2020,CUCSH,Privado,18,14,,32,72
421 Prácticas profesionales-243 - 2020 - CUCSH - Civil,243,2020,CUCSH,Civil,28,12,,40,18
421 Prácticas profesionales-244 - 2020 - CUCS - No identificado,244,2020,CUCS,No identificado,2088,5700,,7788,
421 Prácticas profesionales-245 - 2020 - CUCS - Público,245,2020,CUCS,Público,,,,,16
421 Prácticas profesionales-246 - 2020 - CUCS - Federal,246,2020,CUCS,Federal,,,,,1
421 Prácticas profesionales-247 - 2020 - CUCS - Estatal,247,2020,CUCS,Estatal,,,,,1
421 Prácticas profesionales-248 - 2020 - CUCS - Municipal,248,2020,CUCS,Municipal,,,,,14
421 Prácticas profesionales-249 - 2020 - CUCS - Privado,249,2020,CUCS,Privado,,,,,89
421 Prácticas profesionales-250 - 2020 - CUCS - Civil,250,2020,CUCS,Civil,,,,,7
