row,clave_programa,programa_educativo,nivel_educativo,campo_clasificacion
218,7011200077,Maestría en Gestión y Políticas de la Educación Superior,Maestría,011000
219,7011200088,Maestría en Procesos Innovadores en el Aprendizaje,Maestría,011000
220,7011400011,Maestría en Tecnologías para el Aprendizaje,Maestría,011000
221,7011400029,Maestría en Gestión del Aprendizaje en Ambientes Virtuales,Maestría,011000
222,7012000087,Maestría en Estudios del Turismo,Maestría,012000
223,7012400001,Maestría en Docencia para la Educación Media Superior,Maestría,012000
224,7012500034,Maestría en Educación Superior Internacional,Maestría,012000
225,7012601008,Maestría en Educación Física y Deporte,Maestría,012000
226,7012602009,Maestría en Educación y Expresión para las Artes,Maestría,012000
227,7012603017,Maestría en la Enseñanza del Inglés como Lengua Extranjera,Maestría,012000
228,7012604029,Maestría en Enseñanza de las Matemáticas,Maestría,012000
229,7012604064,Maestría en Ciencia y Tecnología,Maestría,012000
230,7021000014,Maestría en Gestión de la Cultura,Maestría,021000
231,7021400038,Maestría en Diseño de Información y Comunicación Digital,Maestría,021000
232,7021600019,Maestría en Diseño e Innovación Industrial,Maestría,021000
233,7021600021,Maestría en Diseño y Desarrollo de Nuevos Productos,Maestría,021000
234,7022200011,Maestría en Estudios de las Lenguas y Culturas Inglesas,Maestría,022000
235,7022200019,"Maestría Interinstitucional en Deutsch Als Fremdsprache: Estudios Interculturales de Lengua, Literatura y Cultura Alemanas",Maestría,022000
236,7022300005,Maestría en Estudios de Literatura Mexicana,Maestría,022000
237,7022300034,Maestría en Literaturas Interamericanas,Maestría,022000
238,7022300036,Maestría en Estudios en Literacidad,Maestría,022000
239,7022300037,Maestría en Estudios Críticos del Lenguaje,Maestría,022000
240,7022400002,Maestría en Lingüística Aplicada,Maestría,022000
241,7022500008,Maestria en Estudios Mesoamericanos,Maestría,022000
242,7022500015,Maestría en Historia de México,Maestría,022000
243,7022500032,Maestría en Historia Cultural,Maestría,022000
244,7022600002,Maestría en Bioética,Maestría,022000
245,7022600008,Maestría en Estudios Filosóficos,Maestría,022000
246,7031000001,Maestría en Ciencias Sociales,Maestría,031000
247,7031000052,Maestría en Estudios Transdisciplinares en Ciencia y Tecnología,Maestría,031000
248,7031100001,Maestría en Psicología Educativa,Maestría,031000
249,7031100005,Maestría en Ciencia del Comportamiento,Maestría,031000
250,7031100030,Maestría en Psicología Clínica,Maestría,031000
251,7031100043,Maestría en Psicología de la Salud,Maestría,031000
252,7031100176,Maestría en Psicología con Orientación en Calidad de Vida y Salud,Maestría,031000
253,7031100188,Maestría en Neuropsicología,Maestría,031000
254,7031100252,Maestría en Psicología con Orientación en Psicología Social,Maestría,031000
255,7031200009,Maestría en Antropología,Maestría,031000
256,7031200016,Maestria En Ciencias Antropologicas,Maestría,031000
257,7031200043,Maestría en Gestión y Desarrollo Social,Maestría,031000
258,7031200071,Maestría en Estudios Socioterritoriales,Maestría,031000
259,7031200087,"Maestría en Estudios Francófonos: Pedagogía, Lingüística y Estudios Interculturales",Maestría,031000
260,7031200093,Maestria en Estudios Rurales,Maestría,031000
261,7031300005,Maestría en Ciencia Política,Maestría,031000
262,7031300023,Maestría en Políticas Públicas,Maestría,031000
263,7031300041,Maestría en Transparencia y Protección de Datos Personales,Maestría,031000
264,7031300078,Maestría en Relaciones Internacionales de Gobiernos y Actores Locales,Maestría,031000
265,7031300118,Maestria en Ciencia de la Ciudad,Maestría,031000
266,7031400008,Maestría en Economía,Maestría,031000
267,7031400038,Maestría en Relaciones Económicas Internacionales y Cooperación,Maestría,031000
268,7031500022,Maestría en Gerontología,Maestría,031000
269,7031500062,Maestría en Resolución de Conflictos,Maestría,031000
270,7031500078,Maestria en Neurociencias De Las Adicciones,Maestría,031000
271,7032100004,Maestría en Comunicación,Maestría,032000
272,7032100037,Maestría en Periodismo Digital,Maestría,032000
273,7032100049,Maestría en Global Politics and Transpacific Studies,Maestría,032000
274,7033100026,Maestría en Derecho,Maestría,033000
275,7041100024,Maestría en Negocios Internacionales,Maestría,041000
276,7041100026,Maestría en Negocios y Estudios Económicos,Maestría,041000
277,7041100029,Maestría en Valuación,Maestría,041000
278,7041200034,Maestría en Dirección de Mercadotecnia,Maestría,041000
279,7041300021,Maestría en Finanzas,Maestría,041000
280,7041300024,Maestría en Finanzas Empresariales,Maestría,041000
