name,row,ciclo,clave_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,disc_fis_motriz_h,disc_fis_motriz_m,disc_fis_motriz_nb,disc_fis_motriz_t,disc_intelectual_h,disc_intelectual_m,disc_intelectual_nb,disc_intelectual_t,disc_multiple_h,disc_multiple_m,disc_multiple_nb,disc_multiple_t,disc_aud_hipoacusia_h,disc_aud_hipoacusia_m,disc_aud_hipoacusia_nb,disc_aud_hipoacusia_t,disc_aud_sordera_h,disc_aud_sordera_m,disc_aud_sordera_nb,disc_aud_sordera_t,disc_vis_baja_vision_h,disc_vis_baja_vision_m,disc_vis_baja_vision_nb,disc_vis_baja_vision_t,disc_vis_ceguera_h,disc_vis_ceguera_m,disc_vis_ceguera_nb,disc_vis_ceguera_t,disc_psicosocial_h,disc_psicosocial_m,disc_psicosocial_nb,disc_psicosocial_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
43 2022-2023 14MMS0630Y BGC,43,2022-2023,14MMS0630Y,BGC,Escolarizada,545,601,,1146,0,0,,0,1,0,,1,0,0,,0,0,0,,0,0,0,,0,6,4,,10,1,0,,1,0,0,,0,8,4,,12,0,0,,0
44 2022-2023 14MMS0631X BGC,44,2022-2023,14MMS0631X,BGC,Escolarizada,781,921,,1702,1,2,,3,0,0,,0,0,0,,0,1,1,,2,0,0,,0,8,12,,20,1,1,,2,0,0,,0,11,16,,27,3,7,,10
45 2022-2023 14MMS0631X BGC,45,2022-2023,14MMS0631X,BGC,Escolarizada,770,929,,1699,1,1,,2,1,2,,3,0,0,,0,0,0,,0,0,0,,0,9,14,,23,0,0,,0,0,0,,0,11,17,,28,1,3,,4
46 2022-2023 14MMS0636S BGC,46,2022-2023,14MMS0636S,BGC,Escolarizada,736,774,,1510,2,1,,3,1,1,,2,0,0,,0,0,0,,0,1,1,,2,8,11,,19,0,0,,0,0,0,,0,12,14,,26,1,2,,3
47 2022-2023 14MMS0636S BGC,47,2022-2023,14MMS0636S,BGC,Escolarizada,733,775,,1508,2,0,,2,1,0,,1,1,1,,2,1,0,,1,0,1,,1,9,14,,23,0,0,,0,0,0,,0,14,16,,30,1,1,,2
48 2022-2023 14MMS0752I BGAI,48,2022-2023,14MMS0752I,BGAI,Escolarizada,54,54,,108,0,1,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,2,,2,0,0,,0,0,0,,0,0,3,,3,0,0,,0
49 2022-2023 14MMS0752I BGC,49,2022-2023,14MMS0752I,BGC,Escolarizada,334,631,,965,1,2,,3,0,0,,0,0,0,,0,0,1,,1,0,0,,0,3,12,,15,2,0,,2,1,0,,1,7,15,,22,0,3,,3
50 2022-2023 14MMS0752I BGC,50,2022-2023,14MMS0752I,BGC,Escolarizada,347,615,,962,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,1,,1,4,9,,13,1,0,,1,0,0,,0,5,11,,16,3,0,,3
51 2022-2023 14MMS0753H BGAI,51,2022-2023,14MMS0753H,BGAI,Escolarizada,78,39,,117,0,1,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0,0,0,,0,1,1,,2,0,0,,0
52 2022-2023 14MMS0753H BGC,52,2022-2023,14MMS0753H,BGC,Escolarizada,742,851,,1593,2,2,,4,3,0,,3,0,0,,0,0,0,,0,0,1,,1,13,12,,25,0,0,,0,0,0,,0,18,15,,33,0,0,,0
53 2022-2023 14MMS0753H BGC,53,2022-2023,14MMS0753H,BGC,Escolarizada,737,855,,1592,0,0,,0,1,0,,1,0,0,,0,1,0,,1,0,2,,2,7,8,,15,1,0,,1,0,0,,0,10,10,,20,0,1,,1
54 2022-2023 14MMS0757D BGAI,54,2022-2023,14MMS0757D,BGAI,Escolarizada,17,9,,26,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0,0,0,,0,1,0,,1,0,0,,0
55 2022-2023 14MMS0757D BGC,55,2022-2023,14MMS0757D,BGC,Escolarizada,629,728,,1357,0,1,,1,1,0,,1,0,0,,0,0,0,,0,0,0,,0,9,13,,22,0,1,,1,0,0,,0,10,15,,25,2,2,,4
56 2022-2023 14MMS0757D BGC,56,2022-2023,14MMS0757D,BGC,Escolarizada,614,739,,1353,0,0,,0,1,0,,1,0,1,,1,0,0,,0,0,0,,0,14,14,,28,0,0,,0,3,0,,3,18,15,,33,1,1,,2
57 2022-2023 14MMS0756E BGAI,57,2022-2023,14MMS0756E,BGAI,Escolarizada,18,3,,21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,0,,2,0,0,,0,0,0,,0,2,0,,2,0,0,,0
58 2022-2023 14MMS0756E BGC,58,2022-2023,14MMS0756E,BGC,Escolarizada,731,760,,1491,1,0,,1,2,0,,2,0,1,,1,1,0,,1,0,0,,0,11,9,,20,0,0,,0,1,0,,1,16,10,,26,9,3,,12
59 2022-2023 14MMS0756E BGC,59,2022-2023,14MMS0756E,BGC,Escolarizada,678,811,,1489,2,2,,4,1,0,,1,0,0,,0,0,0,,0,0,0,,0,10,12,,22,0,0,,0,0,0,,0,13,14,,27,3,4,,7
60 2022-2023 14MMS0878P BGC,60,2022-2023,14MMS0878P,BGC,Escolarizada,99,120,,219,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,1,,2
