name,row,ciclo,cve_plantel,cve_programa,modalidad,egresados_h,egresados_m,egresados_nb,egresados_t,e_discapacidad_h,e_discapacidad_m,e_discapacidad_nb,e_discapacidad_t,e_habla_indigena_h,e_habla_indigena_m,e_habla_indigena_nb,e_habla_indigena_t,titulados_h,titulados_m,titulados_nb,titulados_t,ti_discapacidad_h,ti_discapacidad_m,ti_discapacidad_nb,ti_discapacidad_t,ti_habla_indigena_h,ti_habla_indigena_m,ti_habla_indigena_nb,ti_habla_indigena_t,disc_vis_baja_vision_h,disc_vis_baja_vision_m,disc_vis_baja_vision_nb,disc_vis_baja_vision_t,disc_vis_ceguera_h,disc_vis_ceguera_m,disc_vis_ceguera_nb,disc_vis_ceguera_t,disc_psicosocial_h,disc_psicosocial_m,disc_psicosocial_nb,disc_psicosocial_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
65 2022-2023 14MMS0607X BGC,65,2022-2023,14MMS0607X,BGC,Escolarizada,136,225,,361,,,,6,,,,1,,,,,,,,,,,,,11,13,,24,0,0,,0,1,0,,1,18,16,,34,3,4,,7
66 2022-2023 14MMS0607X BGC,66,2022-2023,14MMS0607X,BGC,Escolarizada,142,219,,361,,,,5,,,,0,,,,,,,,,,,,,10,6,,16,0,0,,0,2,0,,2,12,6,,18,1,1,,2
67 2022-2023 14MMS0645Z BGAI,67,2022-2023,14MMS0645Z,BGAI,Escolarizada,45,30,,75,,,,5,,,,0,,,,,,,,,,,,,1,0,,1,0,0,,0,0,0,,0,1,0,,1,3,0,,3
68 2022-2023 14MMS0645Z BGC,68,2022-2023,14MMS0645Z,BGC,Escolarizada,146,268,,414,,,,11,,,,1,,,,,,,,,,,,,8,3,,11,0,1,,1,0,0,,0,10,7,,17,0,2,,2
69 2022-2023 14MMS0645Z BGC,69,2022-2023,14MMS0645Z,BGC,Escolarizada,148,265,,413,,,,8,,,,1,,,,,,,,,,,,,12,15,,27,0,1,,1,0,0,,0,14,17,,31,4,2,,6
70 2022-2023 14MMS0623O BGAI,70,2022-2023,14MMS0623O,BGAI,Escolarizada,24,17,,41,,,,1,,,,0,,,,,,,,,,,,,2,0,,2,0,0,,0,0,0,,0,2,0,,2,0,0,,0
71 2022-2023 14MMS0623O BGC,71,2022-2023,14MMS0623O,BGC,Escolarizada,180,296,,476,,,,14,,,,1,,,,,,,,,,,,,8,17,,25,1,0,,1,0,0,,0,10,17,,27,1,1,,2
72 2022-2023 14MMS0623O BGC,72,2022-2023,14MMS0623O,BGC,Escolarizada,167,309,,476,,,,9,,,,1,,,,,,,,,,,,,11,11,,22,0,2,,2,2,1,,3,14,20,,34,0,3,,3
73 2022-2023 14MMS0614G BGC,73,2022-2023,14MMS0614G,BGC,Escolarizada,242,452,,694,,,,13,,,,0,,,,,,,,,,,,,18,26,,44,0,0,,0,0,0,,0,21,31,,52,1,1,,2
74 2022-2023 14MMS0614G BGC,74,2022-2023,14MMS0614G,BGC,Escolarizada,279,414,,693,,,,10,,,,1,,,,,,,,,,,,,8,24,,32,0,0,,0,1,0,,1,13,27,,40,2,4,,6
75 2022-2023 14MMS0643B BGAI,75,2022-2023,14MMS0643B,BGAI,Escolarizada,0,0,,0,,,,0,,,,0,,,,,,,,,,,,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
76 2022-2023 14MMS0643B BGC,76,2022-2023,14MMS0643B,BGC,Escolarizada,49,66,,115,,,,1,,,,0,,,,,,,,,,,,,0,0,,0,0,0,,0,0,0,,0,2,1,,3,0,1,,1
77 2022-2023 14MMS0643B BGC,77,2022-2023,14MMS0643B,BGC,Escolarizada,50,64,,114,,,,1,,,,0,,,,,,,,,,,,,1,0,,1,0,0,,0,0,0,,0,4,1,,5,0,1,,1
78 2022-2023 14MMS0705Y BGAI,78,2022-2023,14MMS0705Y,BGAI,Escolarizada,5,20,,25,,,,0,,,,0,,,,,,,,,,,,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
79 2022-2023 14MMS0705Y BGC,79,2022-2023,14MMS0705Y,BGC,Escolarizada,33,65,,98,,,,2,,,,2,,,,,,,,,,,,,4,2,,6,0,1,,1,0,0,,0,5,3,,8,0,0,,0
80 2022-2023 14MMS0705Y BGC,80,2022-2023,14MMS0705Y,BGC,Escolarizada,43,55,,98,,,,2,,,,0,,,,,,,,,,,,,0,2,,2,0,0,,0,0,0,,0,2,3,,5,0,0,,0
81 2022-2023 14MMS0617D BGC,81,2022-2023,14MMS0617D,BGC,Escolarizada,61,105,,166,,,,1,,,,0,,,,,,,,,,,,,1,6,,7,0,0,,0,0,0,,0,2,6,,8,0,0,,0
82 2022-2023 14MMS0617D BGC,82,2022-2023,14MMS0617D,BGC,Escolarizada,64,101,,165,,,,4,,,,0,,,,,,,,,,,,,1,2,,3,0,0,,0,1,0,,1,2,4,,6,0,0,,0
83 2022-2023 14MMS0662Q BGC,83,2022-2023,14MMS0662Q,BGC,Escolarizada,37,36,,73,,,,0,,,,0,,,,,,,,,,,,,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,0,,0
84 2022-2023 14MMS0663P BGC,84,2022-2023,14MMS0663P,BGC,Escolarizada,5,13,,18,,,,1,,,,0,,,,,,,,,,,,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
85 2022-2023 14MMS0663P BGC,85,2022-2023,14MMS0663P,BGC,Escolarizada,9,9,,18,,,,0,,,,0,,,,,,,,,,,,,0,0,,0,0,0,,0,0,0,,0,1,1,,2,0,0,,0
86 2022-2023 14MMS0664O BGC,86,2022-2023,14MMS0664O,BGC,Escolarizada,11,20,,31,,,,1,,,,0,,,,,,,,,,,,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,,1
87 2022-2023 14MMS0665N BGC,87,2022-2023,14MMS0665N,BGC,Escolarizada,11,27,,38,,,,1,,,,0,,,,,,,,,,,,,1,0,,1,0,0,,0,0,0,,0,1,0,,1,0,0,,0
88 2022-2023 14MMS0665N BGC,88,2022-2023,14MMS0665N,BGC,Escolarizada,15,22,,37,,,,1,,,,0,,,,,,,,,,,,,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,0,,0
89 2022-2023 14MMS0619B BGAI,89,2022-2023,14MMS0619B,BGAI,Escolarizada,2,0,,2,,,,0,,,,0,,,,,,,,,,,,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
90 2022-2023 14MMS0619B BGC,90,2022-2023,14MMS0619B,BGC,Escolarizada,55,106,,161,,,,7,,,,0,,,,,,,,,,,,,7,8,,15,0,0,,0,0,0,,0,11,10,,21,0,0,,0
91 2022-2023 14MMS0619B BGC,91,2022-2023,14MMS0619B,BGC,Escolarizada,54,106,,160,,,,4,,,,0,,,,,,,,,,,,,10,5,,15,0,1,,1,0,0,,0,11,6,,17,1,1,,2
92 2022-2023 14MMS0666M BGC,92,2022-2023,14MMS0666M,BGC,Escolarizada,7,24,,31,,,,3,,,,0,,,,,,,,,,,,,3,0,,3,0,0,,0,0,0,,0,3,0,,3,2,0,,2
93 2022-2023 14MMS0666M BGC,93,2022-2023,14MMS0666M,BGC,Escolarizada,15,16,,31,,,,1,,,,0,,,,,,,,,,,,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,2,,2
