name,row,ciclo,entidad_universitaria,nivel_estudiante,por_total,por_hombres,por_mujeres,por_personas_nb,por_dif_total,por_dif_hombres,por_dif_mujeres,por_dif_personas_nb
123 Porcentaje en PEC -68 - 2022-2023 - CUCS - Pregrado,68,2022-2023,CUCS,Pregrado,"98,39","98,79","98,19",,"1,61","1,21","1,81",
123 Porcentaje en PEC -69 - 2022-2023 - CUAAD - Pregrado,69,2022-2023,CUAAD,Pregrado,"79,57","81,76","78,00",,"20,43","18,24","22,00",
123 Porcentaje en PEC -70 - 2022-2023 - CUCBA - Pregrado,70,2022-2023,CUCBA,Pregrado,"100,00","100,00","100,00",,"0,00","0,00","0,00",
123 Porcentaje en PEC -71 - 2022-2023 - CUALTOS - Pregrado,71,2022-2023,CUALTOS,Pregrado,"100,00","100,00","100,00",,"0,00","0,00","0,00",
123 Porcentaje en PEC -72 - 2022-2023 - CUCIÉNEGA - Pregrado,72,2022-2023,CUCIÉNEGA,Pregrado,"90,29","84,84","94,73",,"9,71","15,16","5,27",
123 Porcentaje en PEC -73 - 2022-2023 - CUSUR - Pregrado,73,2022-2023,CUSUR,Pregrado,"96,71","94,16","98,05",,"3,29","5,84","1,95",
123 Porcentaje en PEC -74 - 2022-2023 - CUCOSTA - Pregrado,74,2022-2023,CUCOSTA,Pregrado,"87,64","94,34","82,06",,"12,36","5,66","17,94",
123 Porcentaje en PEC -75 - 2022-2023 - CUCOSTASUR - Pregrado,75,2022-2023,CUCOSTASUR,Pregrado,"100,00","100,00","100,00",,"0,00","0,00","0,00",
123 Porcentaje en PEC -76 - 2022-2023 - CUVALLES - Pregrado,76,2022-2023,CUVALLES,Pregrado,"100,00","100,00","100,00",,"0,00","0,00","0,00",
123 Porcentaje en PEC -77 - 2022-2023 - CUNORTE - Pregrado,77,2022-2023,CUNORTE,Pregrado,"100,00","100,00","100,00",,"0,00","0,00","0,00",
123 Porcentaje en PEC -78 - 2022-2023 - CULAGOS - Pregrado,78,2022-2023,CULAGOS,Pregrado,"86,91","82,19","91,44",,"13,09","17,81","8,56",
123 Porcentaje en PEC -79 - 2022-2023 - CUTONALÁ - Pregrado,79,2022-2023,CUTONALÁ,Pregrado,"82,62","85,18","80,59",,"17,38","14,82","19,41",
123 Porcentaje en PEC -80 - 2022-2023 - SUV - Pregrado,80,2022-2023,SUV,Pregrado,"100,00","100,00","100,00",,"0,00","0,00","0,00",
123 Porcentaje en PEC -81 - 2023-2024 - CUCEA - Pregrado,81,2023-2024,CUCEA,Pregrado,"100,00","100,00","100,00",,"0,00","0,00","0,00",
123 Porcentaje en PEC -82 - 2023-2024 - CUCEI - Pregrado,82,2023-2024,CUCEI,Pregrado,"100,00","100,00","100,00",,"0,00","0,00","0,00",
123 Porcentaje en PEC -83 - 2023-2024 - CUCSH - Pregrado,83,2023-2024,CUCSH,Pregrado,"95,69","96,21","95,35",,"4,31","3,79","4,65",
123 Porcentaje en PEC -84 - 2023-2024 - CUCS - Pregrado,84,2023-2024,CUCS,Pregrado,"100,00","100,00","100,00",,"0,00","0,00","0,00",
123 Porcentaje en PEC -85 - 2023-2024 - CUAAD - Pregrado,85,2023-2024,CUAAD,Pregrado,"85,57","87,99","83,89",,"14,43","12,01","16,11",
123 Porcentaje en PEC -86 - 2023-2024 - CUCBA - Pregrado,86,2023-2024,CUCBA,Pregrado,"100,00","100,00","100,00",,"0,00","0,00","0,00",
123 Porcentaje en PEC -87 - 2023-2024 - CUALTOS - Pregrado,87,2023-2024,CUALTOS,Pregrado,"100,00","100,00","100,00",,"0,00","0,00","0,00",
123 Porcentaje en PEC -88 - 2023-2024 - CUCIÉNEGA - Pregrado,88,2023-2024,CUCIÉNEGA,Pregrado,"90,13","84,44","94,64",,"9,87","15,56","5,36",
123 Porcentaje en PEC -89 - 2023-2024 - CUSUR - Pregrado,89,2023-2024,CUSUR,Pregrado,"96,67","94,35","97,97",,"3,33","5,65","2,03",
123 Porcentaje en PEC -90 - 2023-2024 - CUCOSTA - Pregrado,90,2023-2024,CUCOSTA,Pregrado,"96,64","98,10","95,41",,"3,36","1,90","4,59",
123 Porcentaje en PEC -91 - 2023-2024 - CUCOSTASUR - Pregrado,91,2023-2024,CUCOSTASUR,Pregrado,"100,00","100,00","100,00",,"0,00","0,00","0,00",
123 Porcentaje en PEC -92 - 2023-2024 - CUVALLES - Pregrado,92,2023-2024,CUVALLES,Pregrado,"100,00","100,00","100,00",,"0,00","0,00","0,00",
123 Porcentaje en PEC -93 - 2023-2024 - CUNORTE - Pregrado,93,2023-2024,CUNORTE,Pregrado,"100,00","100,00","100,00",,"0,00","0,00","0,00",
123 Porcentaje en PEC -94 - 2023-2024 - CULAGOS - Pregrado,94,2023-2024,CULAGOS,Pregrado,"88,78","91,47","86,58",,"11,22","8,53","13,42",
123 Porcentaje en PEC -95 - 2023-2024 - CUTONALÁ - Pregrado,95,2023-2024,CUTONALÁ,Pregrado,"100,00","100,00","100,00",,"0,00","0,00","0,00",
123 Porcentaje en PEC -96 - 2023-2024 - SUV - Pregrado,96,2023-2024,SUV,Pregrado,"100,00","100,00","100,00",,"0,00","0,00","0,00",
123 Porcentaje en PEC -97 - 2018-2019 - CUCEA - Posgrado,97,2018-2019,CUCEA,Posgrado,"80,86","79,54","82,65",,"19,14","20,46","17,35",
123 Porcentaje en PEC -98 - 2018-2019 - CUCEI - Posgrado,98,2018-2019,CUCEI,Posgrado,"95,36","94,44","97,67",,"4,64","5,56","2,33",
123 Porcentaje en PEC -99 - 2018-2019 - CUCSH - Posgrado,99,2018-2019,CUCSH,Posgrado,"94,29","93,16","95,42",,"5,71","6,84","4,58",
123 Porcentaje en PEC -100 - 2018-2019 - CUCS - Posgrado,100,2018-2019,CUCS,Posgrado,"61,79","66,04","57,83",,"38,21","33,96","42,17",
123 Porcentaje en PEC -101 - 2018-2019 - CUAAD - Posgrado,101,2018-2019,CUAAD,Posgrado,"73,20","73,12","73,27",,"26,80","26,88","26,73",
123 Porcentaje en PEC -102 - 2018-2019 - CUCBA - Posgrado,102,2018-2019,CUCBA,Posgrado,"90,98","90,55","91,45",,"9,02","9,45","8,55",
123 Porcentaje en PEC -103 - 2018-2019 - CUALTOS - Posgrado,103,2018-2019,CUALTOS,Posgrado,"72,73","61,76","84,38",,"27,27","38,24","15,63",
123 Porcentaje en PEC -104 - 2018-2019 - CUCIÉNEGA - Posgrado,104,2018-2019,CUCIÉNEGA,Posgrado,"34,88","33,33","37,50",,"65,12","66,67","62,50",
123 Porcentaje en PEC -105 - 2018-2019 - CUSUR - Posgrado,105,2018-2019,CUSUR,Posgrado,"74,58","73,17","75,32",,"25,42","26,83","24,68",
123 Porcentaje en PEC -106 - 2018-2019 - CUCOSTA - Posgrado,106,2018-2019,CUCOSTA,Posgrado,"100,00","100,00","100,00",,"0,00","0,00","0,00",
123 Porcentaje en PEC -107 - 2018-2019 - CUCOSTASUR - Posgrado,107,2018-2019,CUCOSTASUR,Posgrado,"41,67","36,36","47,76",,"58,33","63,64","52,24",
123 Porcentaje en PEC -108 - 2018-2019 - CUVALLES - Posgrado,108,2018-2019,CUVALLES,Posgrado,"87,01","80,43","96,77",,"12,99","19,57","3,23",
123 Porcentaje en PEC -109 - 2018-2019 - CUNORTE - Posgrado,109,2018-2019,CUNORTE,Posgrado,"0,00","0,00","0,00",,"100,00","100,00","100,00",
123 Porcentaje en PEC -110 - 2018-2019 - CULAGOS - Posgrado,110,2018-2019,CULAGOS,Posgrado,"100,00","100,00","100,00",,"0,00","0,00","0,00",
123 Porcentaje en PEC -111 - 2018-2019 - CUTONALÁ - Posgrado,111,2018-2019,CUTONALÁ,Posgrado,"33,33","28,92","45,16",,"66,67","71,08","54,84",
123 Porcentaje en PEC -112 - 2018-2019 - SUV - Posgrado,112,2018-2019,SUV,Posgrado,"45,51","39,08","53,02",,"54,49","60,92","46,98",
123 Porcentaje en PEC -113 - 2019-2020 - CUCEA - Posgrado,113,2019-2020,CUCEA,Posgrado,"83,65","83,52","83,82",,"16,35","16,48","16,18",
123 Porcentaje en PEC -114 - 2019-2020 - CUCEI - Posgrado,114,2019-2020,CUCEI,Posgrado,"97,52","97,02","98,86",,"2,48","2,98","1,14",
123 Porcentaje en PEC -115 - 2019-2020 - CUCSH - Posgrado,115,2019-2020,CUCSH,Posgrado,"98,71","97,87","99,57",,"1,29","2,13","0,43",
123 Porcentaje en PEC -116 - 2019-2020 - CUCS - Posgrado,116,2019-2020,CUCS,Posgrado,"61,37","66,06","57,18",,"38,63","33,94","42,82",
123 Porcentaje en PEC -117 - 2019-2020 - CUAAD - Posgrado,117,2019-2020,CUAAD,Posgrado,"76,38","75,00","77,62",,"23,62","25,00","22,38",
123 Porcentaje en PEC -118 - 2019-2020 - CUCBA - Posgrado,118,2019-2020,CUCBA,Posgrado,"93,12","92,75","93,58",,"6,88","7,25","6,42",
123 Porcentaje en PEC -119 - 2019-2020 - CUALTOS - Posgrado,119,2019-2020,CUALTOS,Posgrado,"58,54","41,86","76,92",,"41,46","58,14","23,08",
123 Porcentaje en PEC -120 - 2019-2020 - CUCIÉNEGA - Posgrado,120,2019-2020,CUCIÉNEGA,Posgrado,"27,59","29,41","25,00",,"72,41","70,59","75,00",
123 Porcentaje en PEC -121 - 2019-2020 - CUSUR - Posgrado,121,2019-2020,CUSUR,Posgrado,"74,10","68,85","78,21",,"25,90","31,15","21,79",
123 Porcentaje en PEC -122 - 2019-2020 - CUCOSTA - Posgrado,122,2019-2020,CUCOSTA,Posgrado,"86,27","87,50","85,19",,"13,73","12,50","14,81",
123 Porcentaje en PEC -123 - 2019-2020 - CUCOSTASUR - Posgrado,123,2019-2020,CUCOSTASUR,Posgrado,"48,48","39,29","58,02",,"51,52","60,71","41,98",
123 Porcentaje en PEC -124 - 2019-2020 - CUVALLES - Posgrado,124,2019-2020,CUVALLES,Posgrado,"83,51","73,21","97,56",,"16,49","26,79","2,44",
123 Porcentaje en PEC -125 - 2019-2020 - CUNORTE - Posgrado,125,2019-2020,CUNORTE,Posgrado,"0,00","0,00","0,00",,"100,00","100,00","100,00",
123 Porcentaje en PEC -126 - 2019-2020 - CULAGOS - Posgrado,126,2019-2020,CULAGOS,Posgrado,"89,66","87,50","100,00",,"10,34","12,50","0,00",
123 Porcentaje en PEC -127 - 2019-2020 - CUTONALÁ - Posgrado,127,2019-2020,CUTONALÁ,Posgrado,"26,13","26,62","25,00",,"73,87","73,38","75,00",
123 Porcentaje en PEC -128 - 2019-2020 - SUV - Posgrado,128,2019-2020,SUV,Posgrado,"53,85","47,10","60,00",,"46,15","52,90","40,00",
123 Porcentaje en PEC -129 - 2020-2021 - CUCEA - Posgrado,129,2020-2021,CUCEA,Posgrado,"88,82","86,77","91,24",,"11,18","13,23","8,76",
123 Porcentaje en PEC -130 - 2020-2021 - CUCEI - Posgrado,130,2020-2021,CUCEI,Posgrado,"97,56","98,46","95,45",,"2,44","1,54","4,55",
