name,row,ciclo,anio,calendario,clave_plantel,cve_programa,aspirantes_h,aspirantes_m,aspirantes_nb,aspirantes_t,admitidos_h,admitidos_m,admitidos_nb,admitidos_t,no_admitidos_h,no_admitidos_m,no_admitidos_nb,no_admitidos_t,por_admision,cupo,puntaje_minimo
13 Admisión 2024A 249 14USU0120N 5032100065,249,2024-2025,2024,B,14USU0120N,5032100065,,,,181,,,,104,,,,77,57.45856354,104,126.4167
13 Admisión 2024A 250 14USU0120N 5062200082,250,2024-2025,2024,B,14USU0120N,5062200082,,,,141,,,,114,,,,27,80.85106383,114,117.0833
13 Admisión 2024A 251 14USU0120N 5101600013,251,2024-2025,2024,B,14USU0120N,5101600013,,,,199,,,,178,,,,21,89.44723618,178,106.9167
13 Admisión 2024A 252 14USU0120N 4062200010,252,2024-2025,2024,B,14USU0120N,4062200010,,,,21,,,,21,,,,0,100,21,108.8733
13 Admisión 2024A 253 CUTLAQUEPAQUE 5041100009,253,2024-2025,2024,B,CUTLAQUEPAQUE,5041100009,,,,35,,,,35,,,,0,100,40,81.44
13 Admisión 2024A 254 CUTLAQUEPAQUE 5101600013,254,2024-2025,2024,B,CUTLAQUEPAQUE,5101600013,,,,36,,,,36,,,,0,100,40,93.5033
13 Admisión 2024A 255 14USU0120N 5041200075,255,2024-2025,2024,B,14USU0120N,5041200075,,,,198,,,,177,,,,21,89.39393939,191,60
13 Admisión 2024A 256 14USU0110G 5071000020,256,2024-2025,2024,B,14USU0110G,5071000020,,,,401,,,,110,,,,291,27.43142145,110,167.3333
13 Admisión 2024A 257 14USU0110G 5073200005,257,2024-2025,2024,B,14USU0110G,5073200005,,,,617,,,,140,,,,477,22.6904376,140,158.18
13 Admisión 2024A 258 14USU0110G 5061000002,258,2024-2025,2024,B,14USU0110G,5061000002,,,,731,,,,340,,,,391,46.51162791,340,144.5833
13 Admisión 2024A 259 14USU0110G 5062100009,259,2024-2025,2024,B,14USU0110G,5062100009,,,,194,,,,90,,,,104,46.39175258,130,140.25
13 Admisión 2024A 260 14USU0110G 5102100004,260,2024-2025,2024,B,14USU0110G,5102100004,,,,74,,,,46,,,,28,62.16216216,60,125.4867
13 Admisión 2024A 261 14USU0110G 5073200035,261,2024-2025,2024,B,14USU0110G,5073200035,,,,49,,,,30,,,,19,61.2244898,54,126.5833
13 Admisión 2024A 262 14USU0110G 5071200034,262,2024-2025,2024,B,14USU0110G,5071200034,,,,35,,,,24,,,,11,68.57142857,35,135.12
13 Admisión 2024A 263 14USU0110G 5071700019,263,2024-2025,2024,B,14USU0110G,5071700019,,,,676,,,,220,,,,456,32.5443787,220,148.2567
13 Admisión 2024A 264 14USU0110G 5062200055,264,2024-2025,2024,B,14USU0110G,5062200055,,,,614,,,,280,,,,334,45.60260586,280,143.08
13 Admisión 2024A 265 14USU0110G 5071300009,265,2024-2025,2024,B,14USU0110G,5071300009,,,,619,,,,210,,,,409,33.92568659,210,146.45
13 Admisión 2024A 266 14USU0110G 5071400015,266,2024-2025,2024,B,14USU0110G,5071400015,,,,256,,,,170,,,,86,66.40625,170,135.5
13 Admisión 2024A 267 14USU0110G 5071300082,267,2024-2025,2024,B,14USU0110G,5071300082,,,,283,,,,100,,,,183,35.33568905,100,153.6833
13 Admisión 2024A 268 14USU0110G 5052200017,268,2024-2025,2024,B,14USU0110G,5052200017,,,,16,,,,8,,,,8,50,20,145.5333
13 Admisión 2024A 269 14USU0110G 5052100005,269,2024-2025,2024,B,14USU0110G,5052100005,,,,106,,,,82,,,,24,77.35849057,90,140.1133
13 Admisión 2024A 270 14USU0110G 5072100033,270,2024-2025,2024,B,14USU0110G,5072100033,,,,201,,,,80,,,,121,39.80099502,80,146.8933
13 Admisión 2024A 271 14USU0110G 5053100004,271,2024-2025,2024,B,14USU0110G,5053100004,,,,58,,,,38,,,,20,65.51724138,60,144.8933
13 Admisión 2024A 272 14USU0110G 5052200007,272,2024-2025,2024,B,14USU0110G,5052200007,,,,101,,,,67,,,,34,66.33663366,95,125.1833
13 Admisión 2024A 273 14USU0110G 5095400006,273,2024-2025,2024,B,14USU0110G,5095400006,,,,664,,,,195,,,,469,29.36746988,195,156.0233
13 Admisión 2024A 274 14USU0110G 4072000010,274,2024-2025,2024,B,14USU0110G,4072000010,,,,4,,,,4,,,,0,100,4,106.5833
13 Admisión 2024A 275 CUTLAQUEPAQUE 4061300006,275,2024-2025,2024,B,CUTLAQUEPAQUE,4061300006,,,,34,,,,34,,,,0,100,34,102.5
13 Admisión 2024A 276 CUTLAQUEPAQUE 5071700019,276,2024-2025,2024,B,CUTLAQUEPAQUE,5071700019,,,,69,,,,40,,,,29,57.97101449,40,126.5
13 Admisión 2024A 277 CUTLAQUEPAQUE 5062200055,277,2024-2025,2024,B,CUTLAQUEPAQUE,5062200055,,,,73,,,,40,,,,33,54.79452055,40,123.8333
