name,row,ciclo,clave_plantel,cve_programa,modalidad,egresados_h,egresados_m,egresados_nb,egresados_t,e_discapacidad_h,e_discapacidad_m,e_discapacidad_nb,e_discapacidad_t,e_habla_indigena_h,e_habla_indigena_m,e_habla_indigena_nb,e_habla_indigena_t
532 2020-2021 14MMS0708V BGC,532,2020-2021,14MMS0708V,BGC,Escolarizada,72,84,,156,,,,1,,,,0
533 2020-2021 14MMS0709U BGC,533,2020-2021,14MMS0709U,BGC,Escolarizada,43,49,,92,,,,0,,,,2
534 2020-2021 14MMS0710J BGC,534,2020-2021,14MMS0710J,BGC,Escolarizada,47,57,,104,,,,0,,,,0
535 2020-2021 14MMS0711I BGC,535,2020-2021,14MMS0711I,BGC,Escolarizada,24,31,,55,,,,0,,,,0
536 2020-2021 14MMS0712H BGC,536,2020-2021,14MMS0712H,BGC,Escolarizada,56,84,,140,,,,0,,,,0
537 2020-2021 14MMS0713G BGC,537,2020-2021,14MMS0713G,BGC,Escolarizada,62,87,,149,,,,0,,,,0
538 2020-2021 14MMS0714F BGC,538,2020-2021,14MMS0714F,BGC,Escolarizada,42,80,,122,,,,0,,,,0
539 2020-2021 14MMS0715E BGC,539,2020-2021,14MMS0715E,BGC,Escolarizada,31,38,,69,,,,0,,,,0
540 2020-2021 14MMS0716D BGC,540,2020-2021,14MMS0716D,BGC,Escolarizada,27,42,,69,,,,0,,,,0
541 2020-2021 14MMS0717C BGC,541,2020-2021,14MMS0717C,BGC,Escolarizada,54,54,,108,,,,0,,,,0
542 2020-2021 14MMS0687Z BGC,542,2020-2021,14MMS0687Z,BGC,Escolarizada,8,16,,24,,,,0,,,,3
543 2020-2021 14MMS0688Y BGC,543,2020-2021,14MMS0688Y,BGC,Escolarizada,26,22,,48,,,,0,,,,7
544 2020-2021 14MMS0689X BGC,544,2020-2021,14MMS0689X,BGC,Escolarizada,12,18,,30,,,,0,,,,0
545 2020-2021 14MMS0690M BGC,545,2020-2021,14MMS0690M,BGC,Escolarizada,8,10,,18,,,,0,,,,0
546 2020-2021 14MMS0691L BGC,546,2020-2021,14MMS0691L,BGC,Escolarizada,23,32,,55,,,,1,,,,0
547 2020-2021 14MMS0692K BGC,547,2020-2021,14MMS0692K,BGC,Escolarizada,44,35,,79,,,,0,,,,0
548 2020-2021 14MMS0693J BGC,548,2020-2021,14MMS0693J,BGC,Escolarizada,90,89,,179,,,,0,,,,0
549 2020-2021 14MMS0694I BGC,549,2020-2021,14MMS0694I,BGC,Escolarizada,28,32,,60,,,,1,,,,0
550 2020-2021 14MMS0695H BGC,550,2020-2021,14MMS0695H,BGC,Escolarizada,73,69,,142,,,,0,,,,0
