row,clave_programa,programa_educativo,nivel_educativo,campo_clasificacion,campo_amplio,campo_especifico,campo_detallado
267,6092208015,Especialidad en Enfermería en Cuidados Paliativos,Especialidad,092208,090000,092000,092200
268,6093201002,Especialidad en Cirugía Maxilofacial,Especialidad,093201,090000,093000,093200
269,6093201005,Especialidad en Prótesis Maxilofacial,Especialidad,093201,090000,093000,093200
270,6093202001,Especialidad en Endodoncia,Especialidad,093202,090000,093000,093200
271,6093203005,Especialidad en Odontopediatría,Especialidad,093203,090000,093000,093200
272,6093204001,Especialidad en Ortodoncia,Especialidad,093204,090000,093000,093200
273,6093205004,Especialidad en Periodoncia,Especialidad,093205,090000,093000,093200
274,6093206003,Especialidad en Prostodoncia,Especialidad,093206,090000,093000,093200
275,6093207002,Especialidad en Patología y Medicina Bucal,Especialidad,093207,090000,093000,093200
276,6095600002,Especialidad en Epidemiología,Especialidad,095600,090000,095000,095600
277,7011000002,Maestría en Educación Ambiental,Maestría,011000,010000,011000,011000
278,7011000042,Maestría en Innovación Social y Gestión del Bienestar,Maestría,011000,010000,011000,011000
279,7011200033,Maestría en Investigación Educativa,Maestría,011200,010000,011000,011200
280,7011200037,Maestría en Planeación de la Educación Superior,Maestría,011200,010000,011000,011200
281,7011200077,Maestría en Gestión y Políticas de la Educación Superior,Maestría,011200,010000,011000,011200
282,7011200088,Maestría en Procesos Innovadores en el Aprendizaje,Maestría,011200,010000,011000,011200
283,7011400011,Maestría en Tecnologías para el Aprendizaje,Maestría,011400,010000,011000,011400
284,7011400029,Maestría en Gestión del Aprendizaje en Ambientes Virtuales,Maestría,011400,010000,011000,011400
285,7011500003,Maestría en Educación,Maestría,011500,010000,011000,011500
286,7011500004,Maestría en Investigación en Ciencias de la Educación,Maestría,011500,010000,011000,011500
287,7012000087,Maestría en Estudios del Turismo,Maestría,012000,010000,012000,012000
288,7012400001,Maestría en Docencia para la Educación Media Superior,Maestría,012400,010000,012000,012400
289,7012500034,Maestría en Educación Superior Internacional,Maestría,012500,010000,012000,012500
290,7012601008,Maestría en Educación Física y Deporte,Maestría,012601,010000,012000,012600
291,7012601010,Maestría en Ciencias de la Educación Física y del Deporte,Maestría,012601,010000,012000,012600
292,7012602002,Maestría en Didáctica de las Artes,Maestría,012602,010000,012000,012600
293,7012602009,Maestría en Educación y Expresión para las Artes,Maestría,012602,010000,012000,012600
294,7012603017,Maestría en la Enseñanza del Inglés como Lengua Extranjera,Maestría,012603,010000,012000,012600
295,7012604029,Maestría en Enseñanza de las Matemáticas,Maestría,012604,010000,012000,012600
296,7012604064,Maestría en Ciencia y Tecnología,Maestría,012604,010000,012000,012600
297,7021000014,Maestría en Gestión de la Cultura,Maestría,021000,020000,021000,021000
298,7021300007,Maestría en Etnomusicología,Maestría,021300,020000,021000,021300
299,7021400005,Maestría en Estudios Cinematográficos,Maestría,021400,020000,021000,021400
300,7021400038,Maestría en Diseño de Información y Comunicación Digital,Maestría,021400,020000,021000,021400
301,7021600006,Maestría en Diseño y Desarrollo de Nuevos Productos,Maestría,021600,020000,021000,021600
302,7021600019,Maestría en Diseño e Innovación Industrial,Maestría,021600,020000,021000,021600
303,7021600021,Maestría en Diseño y Desarrollo de Nuevos Productos,Maestría,021600,020000,021000,021600
304,7022200011,Maestría en Estudios de las Lenguas y Culturas Inglesas,Maestría,022200,020000,022000,022200
305,7022200019,"Maestría Interinstitucional en Deutsch Als Fremdsprache: Estudios Interculturales de Lengua, Literatura y Cultura Alemanas",Maestría,022200,020000,022000,022200
306,7022300005,Maestría en Estudios de Literatura Mexicana,Maestría,022300,020000,022000,022300
307,7022300015,Maestría en Literaturas Comparadas,Maestría,022300,020000,022000,022300
308,7022300017,Maestría en Literatura del Siglo XX,Maestría,022300,020000,022000,022300
309,7022300034,Maestría en Literaturas Interamericanas,Maestría,022300,020000,022000,022300
310,7022300036,Maestría en Estudios en Literacidad,Maestría,022300,020000,022000,022300
