row,clave_carrera,nombre_carrera_911,nivel_educativo,campo_clasificacion,modalidad
98,6091313004,Esp. en Gastroenterología,Especialidad,Medicina de especialidad,Escolarizada
99,6091313008,Esp. en Gastroenterología y Nutrición Pediátrica,Especialidad,Medicina de especialidad,Escolarizada
100,6091314001,Esp. en Genética Médica,Especialidad,Medicina de especialidad,Escolarizada
101,6091315001,Esp. en Geriatría,Especialidad,Medicina de especialidad,Escolarizada
102,6091316007,Esp. en Ginecología Oncológica,Especialidad,Medicina de especialidad,Escolarizada
103,6091316002,Esp. en Ginecología y Obstetricia,Especialidad,Medicina de especialidad,Escolarizada
104,6091317001,Esp. en Hematología,Especialidad,Medicina de especialidad,Escolarizada
105,6091304018,Esp. en Hemodinamia y Cardiología Intervencionista,Especialidad,Medicina de especialidad,Escolarizada
106,6091342012,Esp. en Imagenología Diagnóstica y Terapéutica,Especialidad,Medicina de especialidad,Escolarizada
107,6091318001,Esp. en Infectología,Especialidad,Medicina de especialidad,Escolarizada
108,6091318002,Esp. en Infectología Pediátrica,Especialidad,Medicina de especialidad,Escolarizada
109,6091322003,Esp. en Medicina de Rehabilitación,Especialidad,Medicina de especialidad,Escolarizada
110,6091323001,Esp. en Medicina de Urgencias,Especialidad,Medicina de especialidad,Escolarizada
111,6091321003,Esp. en Medicina del Enfermo en Estado Crítico,Especialidad,Medicina de especialidad,Escolarizada
112,6091325001,Esp. en Medicina del Trabajo,Especialidad,Medicina de especialidad,Escolarizada
113,6091325002,Esp. en Medicina del Trabajo y Ambiental,Especialidad,Medicina de especialidad,Escolarizada
114,6091326001,Esp. en Medicina Familiar,Especialidad,Medicina de especialidad,Escolarizada
115,6091327002,Esp. en Medicina Interna,Especialidad,Medicina de especialidad,Escolarizada
116,6091316004,Esp. en Medicina Materno-Fetal,Especialidad,Medicina de especialidad,Escolarizada
117,6091301008,Esp. en Medicina Paliativa y del Dolor,Especialidad,Medicina de especialidad,Escolarizada
118,6091331003,Esp. en Nefrología,Especialidad,Medicina de especialidad,Escolarizada
119,6091340004,Esp. en Neonatología,Especialidad,Medicina de especialidad,Escolarizada
120,6091332001,Esp. en Neumología,Especialidad,Medicina de especialidad,Escolarizada
121,6091307001,Esp. en Neurocirugía,Especialidad,Medicina de especialidad,Escolarizada
122,6091334001,Esp. en Neurología,Especialidad,Medicina de especialidad,Escolarizada
123,6093203005,Esp. en Odontopediatría,Especialidad,Estomatología y odontología de especialidad,Escolarizada
124,6091335001,Esp. en Oftalmología,Especialidad,Medicina de especialidad,Escolarizada
125,6091336005,Esp. en Oncología Médica,Especialidad,Medicina de especialidad,Escolarizada
126,6091336007,Esp. en Oncología Pediátrica,Especialidad,Medicina de especialidad,Escolarizada
127,6091336009,"Esp. en Oncología, Hematología Pediátrica",Especialidad,Medicina de especialidad,Escolarizada
128,6093204001,Esp. en Ortodoncia,Especialidad,Estomatología y odontología de especialidad,Escolarizada
129,6091337002,Esp. en Ortopedia,Especialidad,Medicina de especialidad,Escolarizada
130,6091338002,Esp. en Otorrinolaringología Pediátrica,Especialidad,Medicina de especialidad,Escolarizada
131,6091338003,Esp. en Otorrinolaringología y Cirugía de Cabeza y Cuello,Especialidad,Medicina de especialidad,Escolarizada
132,6091339001,Esp. en Patología Clínica,Especialidad,Medicina de especialidad,Escolarizada
133,6091340001,Esp. en Pediatría,Especialidad,Medicina de especialidad,Escolarizada
134,6093205004,Esp. en Periodoncia,Especialidad,Estomatología y odontología de especialidad,Escolarizada
135,6081100002,Esp. en Producción Animal,Especialidad,Producción y explotación agrícola y ganadera,Escolarizada
136,6081100005,Esp. en Producción Porcina,Especialidad,Producción y explotación agrícola y ganadera,Escolarizada
137,6093206003,Esp. en Prostodoncia,Especialidad,Estomatología y odontología de especialidad,Escolarizada
138,6093201005,Esp. en Prótesis Maxilofacial,Especialidad,Estomatología y odontología de especialidad,Escolarizada
139,6091341001,Esp. en Psiquiatría,Especialidad,Medicina de especialidad,Escolarizada
140,6091342013,Esp. en Radiología e Imagen,Especialidad,Medicina de especialidad,Escolarizada
141,6091336013,Esp. en Radio-Oncología,Especialidad,Medicina de especialidad,Escolarizada
142,6091335003,Esp. en Retina Médica y Quirúrgica,Especialidad,Medicina de especialidad,Escolarizada
143,6091343001,Esp. en Reumatología,Especialidad,Medicina de especialidad,Escolarizada
144,6091337005,Esp. en Traumatología y Ortopedia,Especialidad,Medicina de especialidad,Escolarizada
145,6091323002,Esp. en Urgencias Médicas,Especialidad,Medicina de especialidad,Escolarizada
146,6091344001,Esp. en Urología,Especialidad,Medicina de especialidad,Escolarizada
147,6091344002,Esp. en Urología Ginecológica,Especialidad,Medicina de especialidad,Escolarizada
148,6041100014,Esp. en Valuación,Especialidad,Negocios y comercio,Escolarizada
149,5072100002,Ing. Agroindustrial,Licenciatura,Industria de la alimentación,Escolarizada
150,5081300016,Ing. Agrónomo,Licenciatura,Silvicultura,Escolarizada
151,5071000020,Ing. Biomédica,Licenciatura,"Planes multidisciplinarios o generales del campo de ingeniería mecánica, eléctrica, electrónica, química y profesiones afines",Escolarizada
152,5071400008,Ing. Bioquímica,Licenciatura,Ingeniería de procesos químicos,Escolarizada
