name,row,anio,entidad_universitaria,programa_educativo
422 PE que requieren PP-900 - 2021 - CUALTOS,900,2021,CUALTOS,Licenciatura en Sistemas Pecuarios
422 PE que requieren PP-901 - 2021 - CUALTOS,901,2021,CUALTOS,Licenciatura en Médico Veterinario Zootecnista
422 PE que requieren PP-902 - 2021 - CUALTOS,902,2021,CUALTOS,Ingeniería Agroindustrial
422 PE que requieren PP-903 - 2021 - CUALTOS,903,2021,CUALTOS,Licenciatura en Contaduría Pública
422 PE que requieren PP-904 - 2021 - CUALTOS,904,2021,CUALTOS,Licenciatura en Administración
422 PE que requieren PP-905 - 2021 - CUALTOS,905,2021,CUALTOS,Abogado
422 PE que requieren PP-906 - 2021 - CUALTOS,906,2021,CUALTOS,Médico Cirujano y Partero
422 PE que requieren PP-907 - 2021 - CUCIÉNEGA,907,2021,CUCIÉNEGA,Abogado
422 PE que requieren PP-908 - 2021 - CUCIÉNEGA,908,2021,CUCIÉNEGA,Ingeniería Industrial
422 PE que requieren PP-909 - 2021 - CUCIÉNEGA,909,2021,CUCIÉNEGA,Ingeniería Química
422 PE que requieren PP-910 - 2021 - CUCIÉNEGA,910,2021,CUCIÉNEGA,Licenciatura en Administración
422 PE que requieren PP-911 - 2021 - CUCIÉNEGA,911,2021,CUCIÉNEGA,Licenciatura en Agronegocios
422 PE que requieren PP-912 - 2021 - CUCIÉNEGA,912,2021,CUCIÉNEGA,Licenciatura en Contaduría Pública
422 PE que requieren PP-913 - 2021 - CUCIÉNEGA,913,2021,CUCIÉNEGA,Licenciatura en Mercadotecnia
422 PE que requieren PP-914 - 2021 - CUCIÉNEGA,914,2021,CUCIÉNEGA,Licenciatura en Negocios Internacionales
422 PE que requieren PP-915 - 2021 - CUCIÉNEGA,915,2021,CUCIÉNEGA,Licenciatura en Periodismo
422 PE que requieren PP-916 - 2021 - CUCIÉNEGA,916,2021,CUCIÉNEGA,Licenciatura en Psicología
