name,row,anio,entidad_universitaria,sector,hombres,mujeres,persoas_nb,total,convenios_vigentes_pp
421 Prácticas profesionales-96 - 2024 - CUTLAJOMULCO - Civil,96,2024,CUTLAJOMULCO,Civil,0,0,,0,0
421 Prácticas profesionales-97 - 2024 - CUGUADALAJARA - Público,97,2024,CUGUADALAJARA,Público,0,0,,0,0
421 Prácticas profesionales-98 - 2024 - CUGUADALAJARA - Federal,98,2024,CUGUADALAJARA,Federal,0,0,,0,0
421 Prácticas profesionales-99 - 2024 - CUGUADALAJARA - Estatal,99,2024,CUGUADALAJARA,Estatal,0,0,,0,0
421 Prácticas profesionales-100 - 2024 - CUGUADALAJARA - Municipal,100,2024,CUGUADALAJARA,Municipal,0,0,,0,0
421 Prácticas profesionales-101 - 2024 - CUGUADALAJARA - Privado,101,2024,CUGUADALAJARA,Privado,0,0,,0,0
421 Prácticas profesionales-102 - 2024 - CUGUADALAJARA - Civil,102,2024,CUGUADALAJARA,Civil,0,0,,0,0
421 Prácticas profesionales-103 - 2024 - CUCHAPALA - Público,103,2024,CUCHAPALA,Público,0,0,,0,0
421 Prácticas profesionales-104 - 2024 - CUCHAPALA - Federal,104,2024,CUCHAPALA,Federal,0,0,,0,0
421 Prácticas profesionales-105 - 2024 - CUCHAPALA - Estatal,105,2024,CUCHAPALA,Estatal,0,0,,0,0
421 Prácticas profesionales-106 - 2024 - CUCHAPALA - Municipal,106,2024,CUCHAPALA,Municipal,0,0,,0,0
421 Prácticas profesionales-107 - 2024 - CUCHAPALA - Privado,107,2024,CUCHAPALA,Privado,0,0,,0,0
421 Prácticas profesionales-108 - 2024 - CUCHAPALA - Civil,108,2024,CUCHAPALA,Civil,0,0,,0,0
421 Prácticas profesionales-109 - 2024 - CUTLAQUEPAQUE - Público,109,2024,CUTLAQUEPAQUE,Público,0,0,,0,0
421 Prácticas profesionales-110 - 2024 - CUTLAQUEPAQUE - Federal,110,2024,CUTLAQUEPAQUE,Federal,0,0,,0,0
421 Prácticas profesionales-111 - 2024 - CUTLAQUEPAQUE - Estatal,111,2024,CUTLAQUEPAQUE,Estatal,0,0,,0,0
421 Prácticas profesionales-112 - 2024 - CUTLAQUEPAQUE - Municipal,112,2024,CUTLAQUEPAQUE,Municipal,0,0,,0,0
421 Prácticas profesionales-113 - 2024 - CUTLAQUEPAQUE - Privado,113,2024,CUTLAQUEPAQUE,Privado,0,0,,0,0
421 Prácticas profesionales-114 - 2024 - CUTLAQUEPAQUE - Civil,114,2024,CUTLAQUEPAQUE,Civil,0,0,,0,0
421 Prácticas profesionales-115 - 2024 - SEMS - Público,115,2024,SEMS,Público,520,532,,1052,89
421 Prácticas profesionales-116 - 2024 - SEMS - Federal,116,2024,SEMS,Federal,84,61,,145,14
421 Prácticas profesionales-117 - 2024 - SEMS - Estatal,117,2024,SEMS,Estatal,383,413,,796,55
421 Prácticas profesionales-118 - 2024 - SEMS - Municipal,118,2024,SEMS,Municipal,53,58,,111,20
421 Prácticas profesionales-119 - 2024 - SEMS - Privado,119,2024,SEMS,Privado,1102,1116,,2218,403
421 Prácticas profesionales-120 - 2024 - SEMS - Civil,120,2024,SEMS,Civil,1,1,,2,2
