name,row,entidad_universitaria,plantel_adscripcion,clave_plantel,nombre_plantel,nombre_plantel_corto,tipo_plantel,conteo,clasificacion_plantel,region_jalisco,municipio,localidad,domicilio,num_ext,num_int,codigo_postal,enlace_plantel,nombre_portal,enlace_ubicacion,mapa,notas
Prepa Tonalá-14MMS0645Z,53,SEMS,,14MMS0645Z,"Escuela Preparatoria de Tonalá “Dra. Ruth Padilla Muñoz""",Prepa Tonalá,Escuela,1,Metropolitano,Región Centro,Tonalá,Tonalá,Calle Independencia,232,N/A,45400,http://prepatonala.sems.udg.mx,prepatonala.sems.udg.mx,,,
Prepa Tonalá Norte-14MMS0623O,54,SEMS,,14MMS0623O,Escuela Preparatoria Regional Tonalá Norte,Prepa Tonalá Norte,Escuela,1,Metropolitano,Región Centro,Tonalá,Tonalá,Avenida Juan Gil Preciado,S/N,N/A,45409,http://prepatonalanorte.sems.udg.mx,prepatonalanorte.sems.udg.mx,,,
Poli de Guadalajara-14MMS0776S,55,SEMS,,14MMS0776S,Escuela Politécnica de Guadalajara,Poli de Guadalajara,Escuela,1,Metropolitano,Región Centro,Guadalajara,Guadalajara,Avenida Revolución,1500,N/A,44420,http://politecnica.sems.udg.mx,politecnica.sems.udg.mx,,,
Poli Ing. Jorge Matute Remus-14MMS0799C,56,SEMS,,14MMS0799C,Escuela Politécnica “Ing. Jorge Matute Remus”,Poli Ing. Jorge Matute Remus,Escuela,1,Metropolitano,Región Centro,Zapopan,Zapopan,Calle La Grana,430,1,45132,http://www.politecnicamatute.sems.udg.mx,www.politecnicamatute.sems.udg.mx,,,
Prepa 21-14MMS0878P,57,SEMS,,14MMS0878P,Escuela Preparatoria No. 21 de Zapopan,Prepa 21,Escuela,1,Metropolitano,Región Centro,Zapopan,Zapopan,Carretera Guadalajara-Colotlán,Km 6.5,N/A,45200,http://prepa21.sems.udg.mx,prepa21.sems.udg.mx,,,
Prepa 22-14MMS0844Z,58,SEMS,,14MMS0844Z,Escuela Preparatoria No. 22 de Tlaquepaque,Prepa 22,Escuela,1,Metropolitano,Región Centro,San Pedro Tlaquepaque,San Pedro Tlaquepaque,Calle Pedro Coronel,S/N,N/A,45559,http://prepa22.sems.udg.mx,prepa22.sems.udg.mx,,,
Escuela Tlaquepaque-EscuelaTlaque,59,SEMS,,EscuelaTlaque,Escuela Preparatoria de Tlaquepaque,Escuela Tlaquepaque,Escuela,1,Metropolitano,Región Centro,San Pedro Tlaquepaque,San Pedro Tlaquepaque,,,,,,,,,
EPR de Ahualulco de Mercado-14MMS0643B,60,SEMS,,14MMS0643B,Escuela Preparatoria Regional de Ahualulco de Mercado,EPR de Ahualulco de Mercado,Escuela,1,Regional,Región Valles,Ahualulco de Mercado,Ahualulco de Mercado,Calle 20 de Noviembre,110,N/A,46730,http://prepaahualulco.sems.udg.mx,prepaahualulco.sems.udg.mx,,,
Módulo Teuchitlán-14MMS0727J,61,SEMS,14MMS0643B,14MMS0727J,Módulo Teuchitlán,Módulo Teuchitlán,Módulo,1,Regional,Región Valles,Teuchitlán,Teuchitlán,Calle 16 de Septiembre,16 de Septiembre,N/A,46760,http://prepaahualulco.sems.udg.mx,prepaahualulco.sems.udg.mx,,,
EPR de Amatitán-14MMS0717C,62,SEMS,,14MMS0717C,Escuela Preparatoria Regional de Amatitán,EPR de Amatitán,Escuela,1,Regional,Región Valles,Amatitán,Amatitán,Calle López Mateos,165,N/A,45380,http://prepaamatitan.sems.udg.mx,prepaamatitan.sems.udg.mx,,,
Módulo El Salvador-14MMS0741C,63,SEMS,14MMS0717C,14MMS0741C,Módulo “El Salvador”,Módulo El Salvador,Módulo,1,Regional,Región Valles,Tequila,Tequila,Calle Iturbide,S/N,N/A,46408,http://prepaamatitan.sems.udg.mx,prepaamatitan.sems.udg.mx,,,
EPR de Ameca-14MMS0617D,64,SEMS,,14MMS0617D,Escuela Preparatoria Regional de Ameca,EPR de Ameca,Escuela,1,Regional,Región Valles,Ameca,Ameca,Calle Lic. Enrique Díaz de León,205,N/A,46600,http://prepaameca.sems.udg.mx,prepaameca.sems.udg.mx,,,
Módulo Atenguillo-14MMS0662Q,65,SEMS,14MMS0617D,14MMS0662Q,"Módulo de Atenguillo “Mtro. José Alfredo Peña Ramos""",Módulo Atenguillo,Módulo,1,Regional,Región Costa-Sierra Occidental,Atenguillo,Atenguillo,Avenida Ameca,1000,N/A,48100,http://prepaameca.sems.udg.mx,prepaameca.sems.udg.mx,,,
Módulo Mascota-14MMS0663P,66,SEMS,14MMS0617D,14MMS0663P,Módulo Mascota,Módulo Mascota,Módulo,1,Regional,Región Costa-Sierra Occidental,Mascota,Mascota,Calle Salvador Chávez Magaña,68,N/A,46900,http://prepaameca.sems.udg.mx,prepaameca.sems.udg.mx,,,
Módulo San Antonio Matute-14MMS0664O,67,SEMS,14MMS0617D,14MMS0664O,Módulo San Antonio Matute,Módulo San Antonio Matute,Módulo,1,Regional,Región Valles,Ameca,Ameca,Avenida Ameca,S/N,N/A,46700,http://prepaameca.sems.udg.mx,prepaameca.sems.udg.mx,,,
Módulo Talpa de Allende-14MMS0665N,68,SEMS,14MMS0617D,14MMS0665N,Módulo Talpa de Allende,Módulo Talpa de Allende,Módulo,1,Regional,Región Costa-Sierra Occidental,Talpa de Allende,Talpa de Allende,Calle Manuela Navarro Alatorre,1,N/A,48200,http://prepaameca.sems.udg.mx,prepaameca.sems.udg.mx,,,
EPR de Arandas-14MMS0619B,69,SEMS,,14MMS0619B,Escuela Preparatoria Regional de Arandas,EPR de Arandas,Escuela,1,Regional,Región Altos Sur,Arandas,Arandas,Calle General Arteaga,345,N/A,47180,http://prepaarandas.sems.udg.mx,prepaarandas.sems.udg.mx,,,
Módulo Jesús María-14MMS0666M,70,SEMS,14MMS0619B,14MMS0666M,Módulo Jesús María,Módulo Jesús María,Módulo,1,Regional,Región Altos Sur,Jesús María,Jesús María,Avenida Prolongación Jalisco,4,N/A,47950,http://prepaarandas.sems.udg.mx,prepaarandas.sems.udg.mx,,,
Módulo San Ignacio Cerro Gordo-14MMS0667L,71,SEMS,14MMS0619B,14MMS0667L,Módulo San Ignacio Cerro Gordo,Módulo San Ignacio Cerro Gordo,Módulo,1,Regional,Región Altos Sur,San Ignacio Cerro Gordo,San Ignacio Cerro Gordo,Calle Niños Héroes,120,N/A,47190,http://prepaarandas.sems.udg.mx,prepaarandas.sems.udg.mx,,,
Módulo Santa María del Valle-14MMS0728I,72,SEMS,14MMS0619B,14MMS0728I,Módulo Santa María del Valle,Módulo Santa María del Valle,Módulo,1,Regional,Región Altos Sur,Arandas,Arandas,Calle Jesús Campos,S/N,N/A,47196,http://prepaarandas.sems.udg.mx,prepaarandas.sems.udg.mx,,,
EPR de Atotonilco-14MMS0618C,73,SEMS,,14MMS0618C,Escuela Preparatoria Regional de Atotonilco,EPR de Atotonilco,Escuela,1,Regional,Región Ciénega,Atotonilco el Alto,Atotonilco el Alto,Carretera Guadalajara - México,Km 84,N/A,47750,http://prepaatotonilco.sems.udg.mx,prepaatotonilco.sems.udg.mx,,,
Módulo Ayotlán-14MMS0668K,74,SEMS,14MMS0618C,14MMS0668K,Módulo Ayotlán,Módulo Ayotlán,Módulo,1,Regional,Región Ciénega,Ayotlán,Ayotlan,Carretera Ayotlan - La Piedad,Km 0.5,N/A,47930,http://prepaatotonilco.sems.udg.mx,prepaatotonilco.sems.udg.mx,,,
Módulo La Ribera-14MMS0747X,75,SEMS,14MMS0618C,14MMS0747X,Módulo La Ribera,Módulo La Ribera,Módulo,1,Regional,Región Ciénega,Ayotlán,Ayotlan,Calle Benito Juárez,S/N,N/A,47930,http://prepaatotonilco.sems.udg.mx,prepaatotonilco.sems.udg.mx,,,
Módulo San Francisco de Asís-14MMS0750K,76,SEMS,14MMS0618C,14MMS0750K,Módulo San Francisco de Asís,Módulo San Francisco de Asís,Módulo,1,Regional,Región Ciénega,Atotonilco el Alto,Atotonilco el Alto,Calle Orozco ,S/N,N/A,47755,http://prepaatotonilco.sems.udg.mx,prepaatotonilco.sems.udg.mx,,,
EPR de Autlán de Navarro-14MMS0621Q,77,SEMS,,14MMS0621Q,Escuela Preparatoria Regional de Autlán,EPR de Autlán de Navarro,Escuela,1,Regional,Región Sierra de Amula,Autlán de Navarro,Autlán de Navarro,Avenida Universidad ,407,N/A,48900,http://prepaautlan.sems.udg.mx,prepaautlan.sems.udg.mx,,,
EPR de Casimiro Castillo-14MMS0622P,78,SEMS,,14MMS0622P,Escuela Preparatoria Regional de Casimiro Castillo,EPR de Casimiro Castillo,Escuela,1,Regional,Región Costa Sur,Casimiro Castillo,Casimiro Castillo,Carretera Guadalajara - Barra de Navidad,Km 1.5,N/A,48930,http://prepacasimiro.sems.udg.mx,prepacasimiro.sems.udg.mx,,,
Módulo Ayotitlán-14MMS0732V,79,SEMS,14MMS0622P,14MMS0732V,Módulo Ayotitlán,Módulo Ayotitlán,Módulo,1,Regional,Región Costa Sur,Cuautitlán de García Barragán,Cuautitlán de García Barragán,Carretera El Rincón de Ayotitlán,Km 1,N/A,48962,http://prepacasimiro.sems.udg.mx,prepacasimiro.sems.udg.mx,,,
Módulo Chacala-14MMS0733U,80,SEMS,14MMS0622P,14MMS0733U,Módulo Chacala,Módulo Chacala,Módulo,1,Regional,Región Costa Sur,Cuautitlán de García Barragán,Cuautitlán de García Barragán,Calle Independencia,S/N,N/A,48967,http://prepacasimiro.sems.udg.mx,prepacasimiro.sems.udg.mx,,,
Módulo Cuautitlán-14MMS0674V,81,SEMS,14MMS0622P,14MMS0674V,Módulo Cuautitlán de García Barragán,Módulo Cuautitlán,Módulo,1,Regional,Región Costa Sur,Cuautitlán de García Barragán,Cuautitlán de García Barragán,Avenida Prolongación Hidalgo,150,N/A,48950,http://prepacasimiro.sems.udg.mx,prepacasimiro.sems.udg.mx,,,
Módulo Hermenegildo Galeana-14MMS0675U,82,SEMS,14MMS0622P,14MMS0675U,Módulo H. Galeana,Módulo Hermenegildo Galeana,Módulo,1,Regional,Región Costa Sur,Casimiro Castillo,Casimiro Castillo,Calle Juan De Dios Peza,1,N/A,48940,http://prepacasimiro.sems.udg.mx,prepacasimiro.sems.udg.mx,,,
Módulo La Huerta-14MMS0676T,83,SEMS,14MMS0622P,14MMS0676T,Módulo La Huerta,Módulo La Huerta,Módulo,1,Regional,Región Costa Sur,La Huerta,La Huerta,Calle Lic. Luis Echeverría Álvarez,S/N,N/A,48850,http://prepacasimiro.sems.udg.mx,prepacasimiro.sems.udg.mx,,,
Módulo Telcruz-14MMS0736R,84,SEMS,14MMS0622P,14MMS0736R,Módulo Telcruz,Módulo Telcruz,Módulo,1,Regional,Región Costa Sur,Cuautitlán de García Barragán,Cuautitlán de García Barragán,Camino Al campo de fútbol,S/N,N/A,48963,http://prepacasimiro.sems.udg.mx,prepacasimiro.sems.udg.mx,,,
