name,row,ciclo,cve_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,disc_fis_motriz_h,disc_fis_motriz_m,disc_fis_motriz_nb,disc_fis_motriz_t,disc_intelectual_h,disc_intelectual_m,disc_intelectual_nb,disc_intelectual_t,disc_multiple_h,disc_multiple_m,disc_multiple_nb,disc_multiple_t,disc_aud_hipoacusia_h,disc_aud_hipoacusia_m,disc_aud_hipoacusia_nb,disc_aud_hipoacusia_t,disc_aud_sordera_h,disc_aud_sordera_m,disc_aud_sordera_nb,disc_aud_sordera_t,disc_vis_baja_vision_h,disc_vis_baja_vision_m,disc_vis_baja_vision_nb,disc_vis_baja_vision_t,disc_vis_ceguera_h,disc_vis_ceguera_m,disc_vis_ceguera_nb,disc_vis_ceguera_t,disc_psicosocial_h,disc_psicosocial_m,disc_psicosocial_nb,disc_psicosocial_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
318 2021-2022 14MMS0705Y BGC,318,2021-2022,14MMS0705Y,BGC,Escolarizada,4,21,,25,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
321 2021-2022 14MMS0879O BGC,321,2021-2022,14MMS0879O,BGC,Escolarizada,34,35,,69,0,0,,0,2,0,,2,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,0,,2,0,0,,0
323 2021-2022 14MMS0774U 2092100004,323,2021-2022,14MMS0774U,2092100004,Escolarizada,340,962,,1302,0,1,,1,1,0,,1,0,0,,0,0,1,,1,1,0,,1,5,6,,11,0,0,,0,0,0,,0,7,8,,15,1,6,,7
325 2021-2022 14MMS0776S 2062200007,325,2021-2022,14MMS0776S,2062200007,Escolarizada,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
327 2021-2022 14MMS0776S 2071100002,327,2021-2022,14MMS0776S,2071100002,Escolarizada,463,23,,486,0,0,,0,1,0,,1,0,0,,0,0,0,,0,0,0,,0,7,0,,7,0,0,,0,0,0,,0,8,0,,8,0,0,,0
328 2021-2022 14MMS0776S 2071200002,328,2021-2022,14MMS0776S,2071200002,Escolarizada,257,8,,265,0,0,,0,2,0,,2,0,0,,0,0,0,,0,0,0,,0,5,0,,5,0,0,,0,0,0,,0,7,0,,7,0,0,,0
334 2021-2022 14MMS0776S 2072400003,334,2021-2022,14MMS0776S,2072400003,Escolarizada,78,26,,104,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,0,,2,0,0,,0,0,0,,0,2,0,,2,0,0,,0
346 2021-2022 14MMS0776S 2101500001,346,2021-2022,14MMS0776S,2101500001,Escolarizada,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
360 2021-2022 14MMS0799C 2071200002,360,2021-2022,14MMS0799C,2071200002,Escolarizada,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
368 2021-2022 14MMS0799C 2071200011,368,2021-2022,14MMS0799C,2071200011,Escolarizada,110,32,,142,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,2,,3,0,0,,0,0,0,,0,1,2,,3,0,1,,1
374 2021-2022 14MMS0645Z 3021700001,374,2021-2022,14MMS0645Z,3021700001,Escolarizada,70,87,,157,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
378 2021-2022 14MMS0660S 3042000001,378,2021-2022,14MMS0660S,3042000001,Escolarizada,30,36,,66,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
382 2021-2022 14MMS0614G 3101600003,382,2021-2022,14MMS0614G,3101600003,Escolarizada,141,347,,488,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,8,,10,0,0,,0,0,0,,0,3,8,,11,0,1,,1
383 2021-2022 14MMS0614G 3101600003,383,2021-2022,14MMS0614G,3101600003,Escolarizada,144,344,,488,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,4,,6,0,0,,0,0,0,,0,3,4,,7,0,0,,0
404 2021-2022 14MMS0616E 3081100003,404,2021-2022,14MMS0616E,3081100003,Escolarizada,151,117,,268,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,2,,3,0,0,,0,0,0,,0,1,2,,3,0,0,,0
