orden,entidad_universitaria,plantel_adscripcion,clave_plantel,nombre_plantel,nombre_plantel_corto,tipo_plantel,clasificacion_plantel,region_jalisco,municipio,notas
187,CUAAD,14USU0140A,14USU0006V,"Centro Universitario de Arte, Arquitectura y Diseño sede San Agustín",CUAAD-San Agustín,Sede CU,Regional,Región Centro,Guadalajara,
188,CUCBA,,14USU0130U,Centro Universitario de Ciencias Biológicas y Agropecuarias,CUCBA,Centro Universitario,Regional,Región Centro,Zapopan,
189,CUALTOS,,14USU0220M,Centro Universitario de los Altos,CUALTOS,Centro Universitario,Regional,Región Altos Sur,Tepatitlán de Morelos,
190,CUCIÉNEGA,,14USU0160O,Centro Universitario de la Ciénega sede Ocotlán,CUCIÉNEGA-Ocotlán,Centro Universitario,Regional,Región Ciénega,Ocotlán,
191,CUCIÉNEGA,14USU0160O,14USU0150H,Centro Universitario de la Ciénega sede Atotonilco,CUCIÉNEGA-Atotonilco,Sede CU,Regional,Región Ciénega,Atotonilco El Alto,
192,CUCIÉNEGA,14USU0160O,14USU0170V,Centro Universitario de la Ciénega sede La Barca,CUCIÉNEGA-La Barca,Sede CU,Regional,Región Ciénega,La Barca,
193,CUSUR,,14USU0210F,Centro Universitario del Sur,CUSUR,Centro Universitario,Regional,Región Sur,Zapotlán el Grande,
194,CUCOSTA,,14USU0190I,Centro Universitario de la Costa sede Puerto Vallarta,CUCOSTA-Puerto Vallarta,Centro Universitario,Regional,Región Costa-Sierra Occidental,Puerto Vallarta,
195,CUCOSTA,14USU0190I,14USU0009S,Centro Universitario de la Costa sede Tomatlán,CUCOSTA-Tomatlán,Sede CU,Regional,Región Costa Sur,Tomatlán,
196,CUCOSTASUR,,14USU0200Z,Centro Universitario de la Costa Sur sede Autlán,CUCOSTASUR-Autlán,Centro Universitario,Regional,Región Sierra de Amula,Autlán de Navarro,
197,CUCOSTASUR,14USU0200Z,14USU0007U,Centro Universitario de la Costa Sur sede San Patricio Melaque,CUCOSTASUR-San Patricio Melaque,Sede CU,Regional,Región Costa Sur,Cihuatlán,
198,CUVALLES,,14USU0003Y,Centro Universitario de los Valles,CUVALLES,Centro Universitario,Regional,Región Valles,Ameca,
199,CUNORTE,,14USU0002Z,Centro Universitario del Norte,CUNORTE,Centro Universitario,Regional,Región Norte,Colotlán,
200,CULAGOS,,14USU0221L,Centro Universitario de los Lagos sede Lagos de Moreno,CULAGOS-Lagos de Moreno,Centro Universitario,Regional,Región Altos Norte,Lagos de Moreno,
201,CULAGOS,14USU0221L,14USU0222K,Centro Universitario de los Lagos sede San Juan de los Lagos,CULAGOS-San Juan de los Lagos,Sede CU,Regional,Región Altos Norte,San Juan de Los Lagos,
202,CUTONALÁ,,14USU0008T,Centro Universitario de Tonalá,CUTONALÁ,Centro Universitario,Regional,Región Centro,Tonalá,
203,CUTLAJOMULCO,,14USU0011G,Centro Universitario de Tlajomulco,CUTLAJOMULCO,Centro Universitario,Regional,Región Centro,Tlajomulco de Zúñiga,
204,SUV,,14USU0004X,Sistema de Universidad Virtual,SUV,Virtual,Regional,Región Centro,Guadalajara,
