name,row,ciclo,cve_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,disc_fis_motriz_h,disc_fis_motriz_m,disc_fis_motriz_nb,disc_fis_motriz_t,disc_intelectual_h,disc_intelectual_m,disc_intelectual_nb,disc_intelectual_t,disc_multiple_h,disc_multiple_m,disc_multiple_nb,disc_multiple_t,disc_aud_hipoacusia_h,disc_aud_hipoacusia_m,disc_aud_hipoacusia_nb,disc_aud_hipoacusia_t,disc_aud_sordera_h,disc_aud_sordera_m,disc_aud_sordera_nb,disc_aud_sordera_t,disc_vis_baja_vision_h,disc_vis_baja_vision_m,disc_vis_baja_vision_nb,disc_vis_baja_vision_t,disc_vis_ceguera_h,disc_vis_ceguera_m,disc_vis_ceguera_nb,disc_vis_ceguera_t,disc_psicosocial_h,disc_psicosocial_m,disc_psicosocial_nb,disc_psicosocial_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
56 2019-2020 14MMS0629I BGC,56,2019-2020,14MMS0629I,BGC,Escolarizada,282,441,,723,0,1,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,5,9,,14,0,1,,1,0,0,,0,5,11,,16,0,0,,0
57 2019-2020 14MMS0629I BGC,57,2019-2020,14MMS0629I,BGC,Escolarizada,390,494,,884,0,2,,2,0,0,,0,0,0,,0,0,0,,0,1,0,,1,5,2,,7,0,0,,0,0,1,,1,6,5,,11,0,0,,0
58 2019-2020 14MMS0629I BGAI,58,2019-2020,14MMS0629I,BGAI,Escolarizada,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
59 2019-2020 14MMS0630Y BGC,59,2019-2020,14MMS0630Y,BGC,Escolarizada,471,592,,1063,0,1,,1,0,0,,0,0,0,,0,1,0,,1,0,1,,1,5,6,,11,0,0,,0,0,0,,0,6,8,,14,0,0,,0
60 2019-2020 14MMS0630Y BGC,60,2019-2020,14MMS0630Y,BGC,Escolarizada,461,533,,994,1,1,,2,0,1,,1,0,0,,0,0,0,,0,0,0,,0,10,4,,14,0,0,,0,0,0,,0,11,6,,17,0,0,,0
61 2019-2020 14MMS0631X BGC,61,2019-2020,14MMS0631X,BGC,Escolarizada,463,596,,1059,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,5,4,,9,0,0,,0,0,0,,0,5,4,,9,0,1,,1
62 2019-2020 14MMS0631X BGC,62,2019-2020,14MMS0631X,BGC,Escolarizada,925,1027,,1952,0,0,,0,0,0,,0,0,0,,0,2,0,,2,0,0,,0,5,6,,11,1,0,,1,0,0,,0,8,6,,14,3,1,,4
63 2019-2020 14MMS0632W BGC,63,2019-2020,14MMS0632W,BGC,Escolarizada,651,693,,1344,1,0,,1,3,0,,3,0,0,,0,0,0,,0,0,0,,0,6,8,,14,1,0,,1,0,0,,0,11,8,,19,0,0,,0
64 2019-2020 14MMS0632W BGC,64,2019-2020,14MMS0632W,BGC,Escolarizada,548,695,,1243,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,11,4,,15,0,0,,0,0,0,,0,12,4,,16,0,0,,0
65 2019-2020 14MMS0632W BGAI,65,2019-2020,14MMS0632W,BGAI,Escolarizada,10,13,,23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
66 2019-2020 14MMS0633V BGC,66,2019-2020,14MMS0633V,BGC,Escolarizada,112,174,,286,0,1,,1,0,0,,0,0,0,,0,1,0,,1,0,0,,0,1,5,,6,0,0,,0,0,0,,0,2,6,,8,0,1,,1
67 2019-2020 14MMS0633V BGC,67,2019-2020,14MMS0633V,BGC,Escolarizada,66,91,,157,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,,1,5,0,,5,0,0,,0,0,0,,0,5,1,,6,0,0,,0
68 2019-2020 14MMS0634U BGC,68,2019-2020,14MMS0634U,BGC,Escolarizada,392,568,,960,1,0,,1,0,0,,0,0,0,,0,0,1,,1,0,0,,0,8,11,,19,1,1,,2,1,0,,1,11,13,,24,0,1,,1
69 2019-2020 14MMS0634U BGC,69,2019-2020,14MMS0634U,BGC,Escolarizada,360,527,,887,2,1,,3,0,0,,0,0,0,,0,1,0,,1,0,0,,0,5,9,,14,0,1,,1,0,0,,0,8,11,,19,0,0,,0
70 2019-2020 14MMS0635T BGC,70,2019-2020,14MMS0635T,BGC,Escolarizada,311,427,,738,0,1,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,6,8,,14,0,0,,0,0,0,,0,6,9,,15,0,0,,0
71 2019-2020 14MMS0635T BGC,71,2019-2020,14MMS0635T,BGC,Escolarizada,312,376,,688,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,8,9,,17,0,0,,0,0,0,,0,9,9,,18,0,0,,0
72 2019-2020 14MMS0636S BGC,72,2019-2020,14MMS0636S,BGC,Escolarizada,581,711,,1292,0,0,,0,1,0,,1,0,0,,0,0,0,,0,0,0,,0,3,4,,7,0,0,,0,0,0,,0,4,4,,8,0,0,,0
73 2019-2020 14MMS0636S BGC,73,2019-2020,14MMS0636S,BGC,Escolarizada,463,575,,1038,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,5,3,,8,0,0,,0,0,0,,0,6,3,,9,0,1,,1
74 2019-2020 14MMS0637R BGC,74,2019-2020,14MMS0637R,BGC,Escolarizada,180,238,,418,0,1,,1,0,2,,2,0,0,,0,0,0,,0,0,0,,0,2,0,,2,0,0,,0,0,0,,0,2,3,,5,0,0,,0
75 2019-2020 14MMS0637R BGC,75,2019-2020,14MMS0637R,BGC,Escolarizada,149,176,,325,0,0,,0,1,0,,1,0,0,,0,0,0,,0,0,2,,2,2,1,,3,0,0,,0,0,0,,0,3,3,,6,1,0,,1
