row,name,nombre_prueba,plantel_adscripcion,clave_plantel,termino padre
2791,2791 Módulo Valle de Guadalupe,Módulo Valle de Guadalupe,,14USU02627,
2792,2792 Módulo Yahualica,Módulo Yahualica,,14USU02628,
2793,2793 Escuela Preparatoria Regional de Tequila,Escuela Preparatoria Regional de Tequila,,14USU02629,
2794,2794 Módulo Hostotipaquillo,Módulo Hostotipaquillo,,14USU02630,
2795,2795 Módulo La Venta de Mochitiltic,Módulo La Venta de Mochitiltic,,14USU02631,
2796,2796 Módulo Magdalena,Módulo Magdalena,,14USU02632,
2797,2797 Módulo San Andrés,Módulo San Andrés,,14USU02633,
2798,2798 Escuela Preparatoria Regional de Tlajomulco de Zúñiga,Escuela Preparatoria Regional de Tlajomulco de Zúñiga,,14USU02634,
2799,2799 Módulo Cajititlán,Módulo Cajititlán,,14USU02635,
2800,2800 Módulo San Agustín,Módulo San Agustín,,14USU02636,
2801,2801 Módulo El Zapote,Módulo El Zapote,,14USU02637,
2802,2802 Escuela Preparatoria Regional de Toluquilla,Escuela Preparatoria Regional de Toluquilla,,14USU02638,
2803,2803 Escuela Preparatoria Regional de Tuxpan,Escuela Preparatoria Regional de Tuxpan,,14USU02639,
2804,2804 Módulo Pihuamo,Módulo Pihuamo,,14USU02640,
2805,2805 Módulo Tecalitlán,Módulo Tecalitlán,,14USU02641,
2806,2806 Módulo Tonila,Módulo Tonila,,14USU02642,
2807,2807 Escuela Preparatoria Regional de Unión de Tula,Escuela Preparatoria Regional de Unión de Tula,,14USU02643,
2808,2808 Módulo Ayutla,Módulo Ayutla,,14USU02644,
2809,2809 Módulo Ejutla,Módulo Ejutla,,14USU02645,
2810,2810 Escuela Preparatoria Regional de Villa Corona,Escuela Preparatoria Regional de Villa Corona,,14USU02646,
2811,2811 Módulo Acatlán de Juárez,Módulo Acatlán de Juárez,,14USU02647,
2812,2812 Escuela Preparatoria Regional de Zacoalco de Torres,Escuela Preparatoria Regional de Zacoalco de Torres,,14USU02648,
2813,2813 Módulo Atemajac de Brizuela,Módulo Atemajac de Brizuela,,14USU02649,
2814,2814 Módulo Cítala,Módulo Cítala,,14USU02650,
2815,2815 Módulo Teocuitatlán de Corona,Módulo Teocuitatlán de Corona,,14USU02651,
2816,2816 Módulo Villa Atoyac,Módulo Villa Atoyac,,14USU02652,
2817,2817 Escuela Preparatoria Regional de Zapotiltic,Escuela Preparatoria Regional de Zapotiltic,,14USU02653,
2818,2818 Escuela Preparatoria Regional de Zapotlanejo,Escuela Preparatoria Regional de Zapotlanejo,,14USU02654,
2819,2819 Módulo Matatlán,Módulo Matatlán,,14USU02655,
2820,2820 Escuela Regional de Educación Media Superior de Ocotlán,Escuela Regional de Educación Media Superior de Ocotlán,,14USU02656,
2821,2821 Módulo Atequiza,Módulo Atequiza,,14USU02657,
2822,2822 Módulo Poncitlán,Módulo Poncitlán,,14USU02658,
2823,2823 Módulo Tototlán,Módulo Tototlán,,14USU02659,
2824,2824 Módulo Zapotlán del Rey,Módulo Zapotlán del Rey,,14USU02660,
2825,2825 Escuela Regional de Educación Media Superior Wixárika ,Escuela Regional de Educación Media Superior Wixárika ,,14USU02661,
2826,2826 Módulo Ocota de la Sierra,Módulo Ocota de la Sierra,,14USU02662,
2827,2827 Escuela Preparatoria de San José del Valle,Escuela Preparatoria de San José del Valle,,14USU02663,
2828,"2828 Centro Universitario de Arte, Arquitectura y Diseño sede San Agustín","Centro Universitario de Arte, Arquitectura y Diseño sede San Agustín",,14USU02664,
2829,2829 Centro Universitario de Ciencias de la Salud,Centro Universitario de Ciencias de la Salud,,14USU02665,
2830,2830 Centro Universitario del Sur,Centro Universitario del Sur,,14USU02666,
2831,2831 Sistema de Universidad Virtual,Sistema de Universidad Virtual,,14USU02667,
2832,2832 Centro Universitario de Ciencias Económico Administrativas,Centro Universitario de Ciencias Económico Administrativas,,14USU02668,
2833,2833 Centro Universitario de Ciencias Exactas e Ingenierías,Centro Universitario de Ciencias Exactas e Ingenierías,,14USU02669,
2834,2834 Centro Universitario de Ciencias Sociales y Humanidades sede Belenes,Centro Universitario de Ciencias Sociales y Humanidades sede Belenes,,14USU02670,
2835,2835 Centro Universitario de Ciencias Sociales y Humanidades sede La Normal,Centro Universitario de Ciencias Sociales y Humanidades sede La Normal,,14USU02671,
2836,2836 Centro Universitario de Ciencias de la Salud,Centro Universitario de Ciencias de la Salud,,14USU02672,
2837,"2837 Centro Universitario de Arte, Arquitectura y Diseño sede Huentitán","Centro Universitario de Arte, Arquitectura y Diseño sede Huentitán",,14USU02673,
2838,"2838 Centro Universitario de Arte, Arquitectura y Diseño sede Santa María de Gracia","Centro Universitario de Arte, Arquitectura y Diseño sede Santa María de Gracia",,14USU02674,
2839,"2839 Centro Universitario de Arte, Arquitectura y Diseño sede San Agustín","Centro Universitario de Arte, Arquitectura y Diseño sede San Agustín",,14USU02675,
2840,2840 Centro Universitario de Ciencias Biológicas y Agropecuarias,Centro Universitario de Ciencias Biológicas y Agropecuarias,,14USU02676,
2841,2841 Centro Universitario de los Altos,Centro Universitario de los Altos,,14USU02677,
2842,2842 Centro Universitario de la Ciénega sede Ocotlán,Centro Universitario de la Ciénega sede Ocotlán,,14USU02678,
2843,2843 Centro Universitario de la Ciénega sede Atotonilco,Centro Universitario de la Ciénega sede Atotonilco,,14USU02679,
