ciclo,cve_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,disc_fis_motriz_h,disc_fis_motriz_m,disc_fis_motriz_nb,disc_fis_motriz_t,disc_intelectual_h,disc_intelectual_m,disc_intelectual_nb,disc_intelectual_t,disc_multiple_h,disc_multiple_m,disc_multiple_nb,disc_multiple_t,disc_aud_hipoacusia_h,disc_aud_hipoacusia_m,disc_aud_hipoacusia_nb,disc_aud_hipoacusia_t,disc_aud_sordera_h,disc_aud_sordera_m,disc_aud_sordera_nb,disc_aud_sordera_t,disc_vis_baja_vision_h,disc_vis_baja_vision_m,disc_vis_baja_vision_nb,disc_vis_baja_vision_t,disc_vis_ceguera_h,disc_vis_ceguera_m,disc_vis_ceguera_nb,disc_vis_ceguera_t,disc_psicosocial_h,disc_psicosocial_m,disc_psicosocial_nb,disc_psicosocial_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
2020-2021,14MMS0632W,BGC,Escolarizada,566,712,,1278,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,6,7,,13,2,0,,2,0,0,,0,9,7,,16,0,0,,0
2020-2021,14MMS0632W,BGC,Escolarizada,540,705,,1245,2,0,,2,3,0,,3,0,0,,0,1,0,,1,0,0,,0,8,12,,20,0,0,,0,1,0,,1,15,12,,27,0,0,,0
2020-2021,14MMS0632W,BGAI,Escolarizada,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
2020-2021,14MMS0633V,BGC,Escolarizada,127,171,,298,0,1,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,3,3,,6,0,0,,0,0,0,,0,3,4,,7,0,1,,1
2020-2021,14MMS0633V,BGC,Escolarizada,87,113,,200,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0,2,3,,5,0,0,,0,0,0,,0,3,3,,6,0,1,,1
2020-2021,14MMS0634U,BGC,Escolarizada,414,622,,1036,2,0,,2,0,0,,0,0,0,,0,2,1,,3,0,0,,0,9,11,,20,1,1,,2,1,0,,1,15,13,,28,0,1,,1
2020-2021,14MMS0634U,BGC,Escolarizada,385,602,,987,3,0,,3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,6,16,,22,1,1,,2,1,0,,1,11,17,,28,0,1,,1
2020-2021,14MMS0635T,BGC,Escolarizada,299,407,,706,1,1,,2,0,0,,0,0,0,,0,0,0,,0,0,0,,0,6,13,,19,0,0,,0,0,0,,0,7,14,,21,0,0,,0
2020-2021,14MMS0635T,BGC,Escolarizada,321,355,,676,0,2,,2,0,0,,0,0,0,,0,0,0,,0,0,1,,1,12,9,,21,0,0,,0,0,0,,0,12,12,,24,0,0,,0
2020-2021,14MMS0636S,BGC,Escolarizada,634,743,,1377,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,4,9,,13,0,0,,0,0,0,,0,5,9,,14,1,1,,2
2020-2021,14MMS0636S,BGC,Escolarizada,614,727,,1341,2,0,,2,1,0,,1,0,0,,0,0,0,,0,0,0,,0,5,8,,13,0,0,,0,0,0,,0,8,8,,16,0,0,,0
2020-2021,14MMS0637R,BGC,Escolarizada,185,208,,393,0,0,,0,0,1,,1,0,0,,0,0,0,,0,0,0,,0,4,3,,7,0,0,,0,0,0,,0,4,4,,8,1,0,,1
2020-2021,14MMS0637R,BGC,Escolarizada,174,209,,383,0,1,,1,1,1,,2,0,0,,0,0,0,,0,0,1,,1,1,0,,1,0,0,,0,0,0,,0,2,3,,5,0,0,,0
2020-2021,14MMS0638Q,BGC,Escolarizada,168,264,,432,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0
2020-2021,14MMS0638Q,BGC,Escolarizada,162,205,,367,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
2020-2021,14MMS0639P,BGC,Escolarizada,139,155,,294,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,0,,0,1,1,,2,0,0,,0,0,0,,0,1,2,,3,0,0,,0
2020-2021,14MMS0639P,BGC,Escolarizada,123,136,,259,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,3,0,,3,0,0,,0,0,0,,0,4,0,,4,0,0,,0
2020-2021,14MMS0640E,BGC,Escolarizada,230,303,,533,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,,1,5,4,,9,0,1,,1,0,0,,0,5,6,,11,0,0,,0
2020-2021,14MMS0640E,BGC,Escolarizada,195,285,,480,1,1,,2,1,1,,2,0,0,,0,0,0,,0,0,0,,0,3,4,,7,0,0,,0,0,0,,0,5,6,,11,0,0,,0
2020-2021,14MMS0641D,BGC,Escolarizada,113,157,,270,0,0,,0,1,0,,1,0,0,,0,0,0,,0,0,0,,0,1,1,,2,0,0,,0,0,0,,0,2,1,,3,0,0,,0
2020-2021,14MMS0641D,BGC,Escolarizada,90,110,,200,2,0,,2,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,3,,3,0,0,,0,0,0,,0,2,3,,5,0,1,,1
2020-2021,14MMS0642C,BGC,Escolarizada,139,185,,324,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,6,,7,0,0,,0,0,0,,0,1,6,,7,0,0,,0
2020-2021,14MMS0642C,BGC,Escolarizada,128,185,,313,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,3,5,,8,0,0,,0,0,0,,0,3,5,,8,0,0,,0
2020-2021,14MMS0643B,BGAI,Escolarizada,17,10,,27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
2020-2021,14MMS0643B,BGC,Escolarizada,251,277,,528,0,0,,0,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,2,,2,0,0,,0,0,0,,0,1,2,,3,0,0,,0
2020-2021,14MMS0643B,BGC,Escolarizada,222,257,,479,0,0,,0,1,1,,2,0,0,,0,0,0,,0,0,0,,0,1,1,,2,0,0,,0,0,0,,0,2,2,,4,0,0,,0
2020-2021,14MMS0644A,BGC,Escolarizada,205,236,,441,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,1,,3,0,0,,0,0,0,,0,2,1,,3,0,0,,0
2020-2021,14MMS0644A,BGC,Escolarizada,181,180,,361,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
2020-2021,14MMS0645Z,BGAI,Escolarizada,54,57,,111,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,,1,0,0,,0
2020-2021,14MMS0645Z,BGC,Escolarizada,612,940,,1552,1,0,,1,0,0,,0,0,0,,0,1,0,,1,0,0,,0,9,20,,29,1,1,,2,0,0,,0,12,21,,33,0,0,,0
2020-2021,14MMS0645Z,BGC,Escolarizada,559,943,,1502,0,1,,1,0,0,,0,0,0,,0,0,1,,1,0,0,,0,8,12,,20,0,0,,0,0,0,,0,8,14,,22,0,0,,0
2020-2021,14MMS0646Z,BGC,Escolarizada,1321,1303,,2624,2,1,,3,3,0,,3,0,0,,0,0,1,,1,0,0,,0,9,7,,16,0,1,,1,0,0,,0,14,10,,24,1,1,,2
2020-2021,14MMS0646Z,BGC,Escolarizada,1291,1263,,2554,0,0,,0,0,2,,2,0,0,,0,1,1,,2,1,0,,1,17,7,,24,0,0,,0,2,0,,2,21,10,,31,1,1,,2
2020-2021,14MMS0647Y,BGAI,Escolarizada,10,11,,21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
2020-2021,14MMS0647Y,BGC,Escolarizada,675,898,,1573,1,4,,5,0,0,,0,0,0,,0,0,0,,0,0,0,,0,8,9,,17,0,0,,0,0,0,,0,9,13,,22,3,0,,3
2020-2021,14MMS0647Y,BGC,Escolarizada,593,918,,1511,1,1,,2,0,0,,0,0,0,,0,0,1,,1,0,0,,0,2,6,,8,1,0,,1,0,0,,0,4,8,,12,0,1,,1
2020-2021,14MMS0648X,BGC,Escolarizada,617,957,,1574,1,1,,2,0,0,,0,0,0,,0,0,0,,0,0,0,,0,10,9,,19,1,1,,2,0,1,,1,12,12,,24,0,5,,5
2020-2021,14MMS0648X,BGC,Escolarizada,638,934,,1572,0,1,,1,0,0,,0,0,0,,0,0,1,,1,0,0,,0,5,10,,15,1,0,,1,0,0,,0,6,12,,18,0,1,,1
2020-2021,14MMS0649W,BGAI,Escolarizada,36,37,,73,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
2020-2021,14MMS0649W,BGC,Escolarizada,925,1256,,2181,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,12,11,,23,0,0,,0,0,0,,0,13,11,,24,2,1,,3
2020-2021,14MMS0649W,BGC,Escolarizada,889,1222,,2111,1,1,,2,0,0,,0,0,0,,0,0,1,,1,0,0,,0,9,14,,23,0,2,,2,0,0,,0,10,18,,28,1,3,,4
2020-2021,14MMS0650L,BGAI,Escolarizada,82,71,,153,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
2020-2021,14MMS0650L,BGC,Escolarizada,665,884,,1549,0,0,,0,1,0,,1,0,0,,0,0,0,,0,0,0,,0,8,12,,20,0,0,,0,0,0,,0,9,12,,21,0,0,,0
2020-2021,14MMS0650L,BGC,Escolarizada,640,860,,1500,0,1,,1,1,0,,1,0,0,,0,0,1,,1,1,0,,1,7,9,,16,1,0,,1,0,0,,0,10,11,,21,0,0,,0
2020-2021,14MMS0651K,BGAI,Escolarizada,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
2020-2021,14MMS0651K,BGC,Escolarizada,226,341,,567,0,0,,0,0,1,,1,0,0,,0,0,0,,0,0,0,,0,4,5,,9,0,0,,0,1,0,,1,5,6,,11,0,1,,1
2020-2021,14MMS0651K,BGC,Escolarizada,206,274,,480,0,1,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,4,,6,0,2,,2,0,0,,0,2,7,,9,0,1,,1
2020-2021,14MMS0652J,BGC,Escolarizada,132,170,,302,0,0,,0,2,0,,2,0,0,,0,0,0,,0,0,0,,0,2,8,,10,1,0,,1,0,0,,0,5,8,,13,0,0,,0
2020-2021,14MMS0652J,BGC,Escolarizada,124,151,,275,0,2,,2,1,0,,1,0,0,,0,0,0,,0,0,0,,0,1,4,,5,0,1,,1,0,0,,0,2,7,,9,0,0,,0
2020-2021,14MMS0653I,BGC,Escolarizada,272,315,,587,0,1,,1,0,0,,0,0,0,,0,1,0,,1,1,0,,1,0,1,,1,1,0,,1,0,0,,0,3,2,,5,0,1,,1
2020-2021,14MMS0653I,BGC,Escolarizada,248,330,,578,0,2,,2,0,0,,0,0,0,,0,0,0,,0,0,1,,1,2,2,,4,1,1,,2,0,0,,0,3,6,,9,0,0,,0
2020-2021,14MMS0654H,BGAI,Escolarizada,26,23,,49,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
2020-2021,14MMS0654H,BGC,Escolarizada,306,558,,864,0,0,,0,0,0,,0,0,0,,0,1,1,,2,0,0,,0,4,7,,11,0,1,,1,0,0,,0,5,9,,14,0,1,,1
2020-2021,14MMS0654H,BGC,Escolarizada,301,465,,766,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,3,4,,7,0,0,,0,0,0,,0,3,4,,7,0,0,,0
2020-2021,14MMS0655G,BGC,Escolarizada,380,447,,827,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,0,,0,1,2,,3,0,0,,0,0,0,,0,1,3,,4,1,1,,2
2020-2021,14MMS0655G,BGC,Escolarizada,360,409,,769,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,1,,1,3,1,,4,0,0,,0,0,0,,0,3,2,,5,0,2,,2
