name,row,ciclo,anio,calendario,clave_plantel,cve_programa,aspirantes_h,aspirantes_m,aspirantes_nb,aspirantes_t,admitidos_h,admitidos_m,admitidos_nb,admitidos_t,no_admitidos_h,no_admitidos_m,no_admitidos_nb,no_admitidos_t,por_admision,cupo,puntaje_minimo
2020A 386 14USU0210F 5031100007,386,2019-2020,2020,A,14USU0210F,5031100007,,,,104,,,,80,,,,24,76.92,80,118.0033
2020A 387 14USU0210F 5103100007,387,2019-2020,2020,A,14USU0210F,5103100007,,,,55,,,,40,,,,15,72.73,40,115.4933
2020A 388 14USU0210F 5031500010,388,2019-2020,2020,A,14USU0210F,5031500010,,,,61,,,,40,,,,21,65.57,40,116.25
2020A 389 14USU0210F 5091100011,389,2019-2020,2020,A,14USU0210F,5091100011,,,,438,,,,60,,,,378,13.70,60,178.3
2020A 390 14USU0008T 5033100003,390,2019-2020,2020,A,14USU0008T,5033100003,,,,450,,,,180,,,,270,40.00,180,135.25
2020A 391 14USU0008T 5061100001,391,2019-2020,2020,A,14USU0008T,5061100001,,,,139,,,,80,,,,59,57.55,80,136.01
2020A 392 14USU0008T 5071200009,392,2019-2020,2020,A,14USU0008T,5071200009,,,,94,,,,80,,,,14,85.11,80,128.6567
2020A 393 14USU0008T 5052200002,393,2019-2020,2020,A,14USU0008T,5052200002,,,,182,,,,80,,,,102,43.96,80,148.88
2020A 394 14USU0008T 5073100009,394,2019-2020,2020,A,14USU0008T,5073100009,,,,78,,,,40,,,,38,51.28,40,130.4267
2020A 395 14USU0008T 5042100012,395,2019-2020,2020,A,14USU0008T,5042100012,,,,290,,,,120,,,,170,41.38,120,133.6967
2020A 396 14USU0008T 5033200024,396,2019-2020,2020,A,14USU0008T,5033200024,,,,229,,,,35,,,,194,15.28,35,153.3967
2020A 397 14USU0008T 5041400032,397,2019-2020,2020,A,14USU0008T,5041400032,,,,218,,,,120,,,,98,55.05,120,131.4167
2020A 398 14USU0008T 5021600062,398,2019-2020,2020,A,14USU0008T,5021600062,,,,32,,,,30,,,,2,93.75,30,118.2933
2020A 399 14USU0008T 5022500001,399,2019-2020,2020,A,14USU0008T,5022500001,,,,24,,,,30,,,,-6,125.00,30,116.97
2020A 400 14USU0008T 5031500008,400,2019-2020,2020,A,14USU0008T,5031500008,,,,98,,,,35,,,,63,35.71,35,150.75
2020A 401 14USU0008T 5021000010,401,2019-2020,2020,A,14USU0008T,5021000010,,,,30,,,,30,,,,0,100.00,30,110.3733
2020A 402 14USU0008T 5094200006,402,2019-2020,2020,A,14USU0008T,5094200006,,,,190,,,,70,,,,120,36.84,70,141.9467
2020A 403 14USU0008T 5095600005,403,2019-2020,2020,A,14USU0008T,5095600005,,,,64,,,,35,,,,29,54.69,35,141.2467
2020A 404 14USU0008T 5091100011,404,2019-2020,2020,A,14USU0008T,5091100011,,,,640,,,,100,,,,540,15.63,100,176.0667
2020A 405 14USU0003Y 5033100003,405,2019-2020,2020,A,14USU0003Y,5033100003,,,,102,,,,40,,,,62,39.22,40,129.05
2020A 406 14USU0003Y 5052200021,406,2019-2020,2020,A,14USU0003Y,5052200021,,,,16,,,,16,,,,0,100.00,20,111.6667
2020A 407 14USU0003Y 5062200073,407,2019-2020,2020,A,14USU0003Y,5062200073,,,,32,,,,30,,,,2,93.75,30,104.6667
2020A 408 14USU0003Y 5072400001,408,2019-2020,2020,A,14USU0003Y,5072400001,,,,12,,,,12,,,,0,100.00,20,104.8933
2020A 409 14USU0003Y 5071300091,409,2019-2020,2020,A,14USU0003Y,5071300091,,,,15,,,,15,,,,0,100.00,30,100.9167
2020A 410 14USU0003Y 5051100015,410,2019-2020,2020,A,14USU0003Y,5051100015,,,,37,,,,37,,,,0,100.00,40,92.6667
2020A 411 14USU0003Y 5071300014,411,2019-2020,2020,A,14USU0003Y,5071300014,,,,54,,,,40,,,,14,74.07,40,125
2020A 412 14USU0003Y 5042000002,412,2019-2020,2020,A,14USU0003Y,5042000002,,,,86,,,,40,,,,46,46.51,40,125.6667
2020A 413 14USU0003Y 5041100021,413,2019-2020,2020,A,14USU0003Y,5041100021,,,,37,,,,37,,,,0,100.00,40,98.5833
2020A 414 14USU0003Y 5041400032,414,2019-2020,2020,A,14USU0003Y,5041400032,,,,113,,,,40,,,,73,35.40,40,135.6667
2020A 415 14USU0003Y 5011500002,415,2019-2020,2020,A,14USU0003Y,5011500002,,,,132,,,,40,,,,92,30.30,40,131.97
2020A 416 14USU0003Y 5094200006,416,2019-2020,2020,A,14USU0003Y,5094200006,,,,91,,,,40,,,,51,43.96,40,126.6133
2020A 417 14USU0003Y 5031100007,417,2019-2020,2020,A,14USU0003Y,5031100007,,,,99,,,,40,,,,59,40.40,40,129.58
2020A 418 14USU0003Y 5062200082,418,2019-2020,2020,A,14USU0003Y,5062200082,,,,22,,,,22,,,,0,100.00,30,98.3267
2020A 419 14USU0003Y 5031500010,419,2019-2020,2020,A,14USU0003Y,5031500010,,,,82,,,,40,,,,42,48.78,40,117.3033
2020A 420 14USU0003Y 5101600013,420,2019-2020,2020,A,14USU0003Y,5101600013,,,,23,,,,23,,,,0,100.00,30,99.45
2020A 421 14MMS0749V BGAI,421,2019-2020,2020,A,14MMS0749V,BGAI,,,,92,,,,78,,,,14,84.78,80,60
2020A 422 14USU0004X 5041200075,422,2019-2020,2020,A,14USU0004X,5041200075,,,,135,,,,112,,,,23,82.96,120,60
